Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SA34 0TY,Yes,51.940397,-4.637941,218770,230165,SN187301,1/1/1980 12:00:00 AM,,201,6,2,Clunderwen,12.8,,Dwr Cymru Welsh Water,,Pembrokeshire,Crymych and Mynachlog-ddu,
SA34 0UA,Yes,51.935142,-4.643122,218393,229594,SN183295,1/1/1980 12:00:00 AM,,209,24,10,Clunderwen,12.1,,Dwr Cymru Welsh Water,,Pembrokeshire,Crymych and Mynachlog-ddu,
SA34 0UB,Yes,51.943856,-4.636500,218883,230546,SN188305,1/1/1980 12:00:00 AM,,206,2,1,Clunderwen,13.2,,Dwr Cymru Welsh Water,,Pembrokeshire,Crymych and Mynachlog-ddu,
SA34 0UD,Yes,51.936233,-4.659365,217281,229756,SN172297,1/1/1980 12:00:00 AM,,282,13,5,Clunderwen,11.7,,Dwr Cymru Welsh Water,,Pembrokeshire,Crymych and Mynachlog-ddu,
SA34 0UE,Yes,51.929198,-4.651515,217792,228954,SN177289,1/1/1980 12:00:00 AM,,214,9,3,Clunderwen,11.3,,Dwr Cymru Welsh Water,,Pembrokeshire,Crymych and Mynachlog-ddu,
SA34 0XY,Yes,51.926143,-4.632305,219100,228566,SN191285,1/1/1980 12:00:00 AM,,109,32,13,Clunderwen,11.7,,Dwr Cymru Welsh Water,,Pembrokeshire,Crymych and Mynachlog-ddu,
SA34 0YD,Yes,51.931985,-4.627220,219473,229203,SN194292,1/1/1980 12:00:00 AM,,113,59,24,Clunderwen,12.4,,Dwr Cymru Welsh Water,,Pembrokeshire,Crymych and Mynachlog-ddu,
SA34 0YE,Yes,51.929165,-4.631322,219180,228900,SN191288,1/1/1980 12:00:00 AM,,118,6,3,Clunderwen,12.0,,Dwr Cymru Welsh Water,,Pembrokeshire,Crymych and Mynachlog-ddu,
SA34 0YG,Yes,51.931194,-4.633885,219012,229132,SN190291,1/1/1980 12:00:00 AM,,149,3,2,Clunderwen,12.1,,Dwr Cymru Welsh Water,,Pembrokeshire,Crymych and Mynachlog-ddu,
SA34 0YH,Yes,51.937688,-4.636666,218847,229861,SN188298,1/1/1980 12:00:00 AM,,180,7,1,Clunderwen,12.6,,Dwr Cymru Welsh Water,,Pembrokeshire,Crymych and Mynachlog-ddu,
SA34 0YJ,Yes,51.926603,-4.642140,218426,228642,SN184286,1/1/1980 12:00:00 AM,,143,9,4,Clunderwen,11.4,,Dwr Cymru Welsh Water,,Pembrokeshire,Crymych and Mynachlog-ddu,
SA34 0YQ,No,51.934446,-4.635268,218930,229497,SN189294,12/1/2001 12:00:00 AM,6/1/2003 12:00:00 AM,157,,,Clunderwen,12.4,,,,Pembrokeshire,Crymych and Mynachlog-ddu,
SA35 0AA,Yes,51.988064,-4.505207,228075,235143,SN280351,1/1/1980 12:00:00 AM,,180,28,9,Carmarthen,20.3,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AB,Yes,51.977096,-4.502373,228228,233917,SN282339,1/1/1980 12:00:00 AM,,180,9,4,Carmarthen,19.2,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AD,Yes,51.967448,-4.495094,228691,232827,SN286328,1/1/1980 12:00:00 AM,,210,12,6,Carmarthen,18.1,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AE,Yes,51.968389,-4.509211,227725,232965,SN277329,1/1/1980 12:00:00 AM,,184,20,6,Whitland,18.2,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AG,Yes,51.962172,-4.512002,227509,232280,SN275322,1/1/1980 12:00:00 AM,,207,5,2,Whitland,17.5,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AH,Yes,51.968464,-4.544274,225317,233057,SN253330,1/1/1980 12:00:00 AM,,225,11,6,Whitland,17.4,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AJ,Yes,51.962850,-4.541466,225488,232426,SN254324,1/1/1980 12:00:00 AM,,217,2,1,Whitland,16.9,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AL,Yes,51.977752,-4.544771,225319,234091,SN253340,1/1/1980 12:00:00 AM,,214,11,5,Whitland,18.4,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AN,Yes,51.982648,-4.550941,224914,234650,SN249346,1/1/1980 12:00:00 AM,,151,2,1,Whitland,18.8,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AP,Yes,51.990250,-4.564314,224026,235528,SN240355,1/1/1980 12:00:00 AM,,156,2,1,Whitland,19.4,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AQ,Yes,51.967686,-4.529889,226302,232936,SN263329,1/1/1980 12:00:00 AM,,180,10,5,Whitland,17.6,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AR,Yes,51.989786,-4.549832,225018,235441,SN250354,1/1/1980 12:00:00 AM,,128,5,2,Whitland,19.6,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AS,Yes,51.974049,-4.529650,226343,233643,SN263336,1/1/1980 12:00:00 AM,,202,12,5,Whitland,18.3,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AT,Yes,51.982060,-4.525966,226627,234525,SN266345,1/1/1980 12:00:00 AM,,167,23,8,Whitland,19.2,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AU,Yes,51.990332,-4.532695,226197,235461,SN261354,1/1/1980 12:00:00 AM,,133,21,7,Whitland,19.9,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AW,Yes,51.985270,-4.557184,224496,234957,SN244349,1/1/1980 12:00:00 AM,,117,38,13,Whitland,19.0,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0AX,Yes,51.993413,-4.517777,227233,235768,SN272357,1/1/1980 12:00:00 AM,,125,11,4,Whitland,20.6,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0BA,Yes,51.953387,-4.582862,222607,231474,SN226314,1/1/1980 12:00:00 AM,,130,25,8,Whitland,15.2,,Dwr Cymru Welsh Water,,Pembrokeshire,Crymych and Mynachlog-ddu,
SA35 0BB,Yes,51.956462,-4.582500,222644,231815,SN226318,1/1/1980 12:00:00 AM,,129,26,12,Whitland,15.5,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0BD,Yes,51.967987,-4.583090,222649,233098,SN226330,1/1/1980 12:00:00 AM,,245,36,17,Whitland,16.8,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0BE,Yes,51.967037,-4.575960,223135,232975,SN231329,1/1/1980 12:00:00 AM,,241,127,51,Whitland,16.8,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0BG,Yes,51.960155,-4.576482,223072,232211,SN230322,1/1/1980 12:00:00 AM,,206,2,1,Whitland,16.0,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0BH,Yes,51.964645,-4.555311,224544,232659,SN245326,1/1/1980 12:00:00 AM,,237,15,6,Whitland,16.8,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0BJ,Yes,51.965320,-4.574007,223262,232779,SN232327,1/1/1980 12:00:00 AM,,229,2,1,Whitland,16.6,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0BL,Yes,51.969609,-4.581306,222778,233274,SN227332,1/1/1980 12:00:00 AM,,244,28,15,Whitland,17.0,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0BN,Yes,51.977793,-4.589072,222277,234203,SN222342,1/1/1980 12:00:00 AM,,230,18,9,Whitland,17.8,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0BP,Yes,51.985500,-4.566067,223887,235004,SN238350,1/1/1980 12:00:00 AM,,153,7,3,Whitland,18.9,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0BQ,Yes,51.961681,-4.554356,224598,232327,SN245323,1/1/1980 12:00:00 AM,,239,15,7,Whitland,16.5,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0BS,Yes,51.974384,-4.577774,223039,233796,SN230337,1/1/1980 12:00:00 AM,,193,3,2,Whitland,17.6,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
SA35 0BT,Yes,51.970817,-4.565126,223894,233369,SN238333,1/1/1980 12:00:00 AM,,190,18,6,Whitland,17.3,,Dwr Cymru Welsh Water,,Pembrokeshire,Boncath and Clydau,
