Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
M22 4QR,Yes,53.387868,-2.245340,383780,387920,SJ837879,1/1/1980 12:00:00 AM,,53,23,9,Gatley,1.1,Gatley,United Utilities,,Stockport,Cheadle West & Gatley,
SK12 1BE,Yes,53.353209,-2.152627,389938,384047,SJ899840,5/1/2019 12:00:00 AM,,97,,,Bramhall,1.1,Bramhall,,,Stockport,Bramhall South & Woodford,
SK12 1FU,No,53.356375,-2.165514,389081,384401,SJ890844,9/1/1991 12:00:00 AM,1/1/2006 12:00:00 AM,84,,,Bramhall,0.5,Bramhall,,,Stockport,Bramhall South & Woodford,
SK12 1GB,No,53.356392,-2.165514,389081,384403,SJ890844,7/1/2018 12:00:00 AM,6/1/2020 12:00:00 AM,84,,,Bramhall,0.5,Bramhall,,,Stockport,Bramhall South & Woodford,
SK12 1GD,No,53.356375,-2.165514,389081,384401,SJ890844,9/1/2007 12:00:00 AM,10/1/2009 12:00:00 AM,84,,,Bramhall,0.5,Bramhall,,,Stockport,Bramhall South & Woodford,
SK12 1GH,No,53.356375,-2.165514,389081,384401,SJ890844,7/1/2007 12:00:00 AM,2/1/2019 12:00:00 AM,84,,,Bramhall,0.5,Bramhall,,,Stockport,Bramhall South & Woodford,
SK12 1GJ,No,53.356375,-2.165514,389081,384401,SJ890844,12/1/1994 12:00:00 AM,2/1/2006 12:00:00 AM,84,,,Bramhall,0.5,Bramhall,,,Stockport,Bramhall South & Woodford,
SK12 1GL,Yes,53.356375,-2.165514,389081,384401,SJ890844,5/1/2012 12:00:00 AM,,84,,,Bramhall,0.5,Bramhall,,,Stockport,Bramhall South & Woodford,
SK12 1GQ,No,53.356375,-2.165514,389081,384401,SJ890844,12/1/1997 12:00:00 AM,12/1/2010 12:00:00 AM,84,,,Bramhall,0.5,Bramhall,,,Stockport,Bramhall South & Woodford,
SK12 1GR,No,53.356375,-2.165514,389081,384401,SJ890844,10/1/2003 12:00:00 AM,2/1/2006 12:00:00 AM,84,,,Bramhall,0.5,Bramhall,,,Stockport,Bramhall South & Woodford,
SK12 1GS,No,53.356375,-2.165514,389081,384401,SJ890844,6/1/1998 12:00:00 AM,6/1/2003 12:00:00 AM,84,,,Bramhall,0.5,Bramhall,,,Stockport,Bramhall South & Woodford,
SK12 1GT,Yes,53.356375,-2.165514,389081,384401,SJ890844,4/1/2016 12:00:00 AM,,84,,,Bramhall,0.5,Bramhall,,,Stockport,Bramhall South & Woodford,
SK12 1GU,Yes,53.356392,-2.165514,389081,384403,SJ890844,7/1/2024 12:00:00 AM,,84,,,Bramhall,0.5,Bramhall,,,Stockport,Bramhall South & Woodford,
SK12 1GW,No,53.356375,-2.165514,389081,384401,SJ890844,10/1/2006 12:00:00 AM,12/1/2010 12:00:00 AM,84,,,Bramhall,0.5,Bramhall,,,Stockport,Bramhall South & Woodford,
