Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CM1 1AA,No,51.737213,0.475991,571061,207179,TL710071,7/1/1995 12:00:00 AM,11/1/2014 12:00:00 AM,27,,,Chelmsford,0.5,Chelmsford,Anglian Water,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1AE,Yes,51.734404,0.462755,570158,206836,TL701068,12/1/2015 12:00:00 AM,,29,,,Chelmsford,0.5,Chelmsford,Essex & Suffolk Water,Anglian Water,Chelmsford,Waterhouse Farm,Chelmsford West
CM1 1AF,Yes,51.738234,0.472697,570830,207285,TL708072,7/1/2015 12:00:00 AM,,32,,,Chelmsford,0.4,Chelmsford,Anglian Water,,Chelmsford,Marconi,Chelmsford West
CM1 1AG,Yes,51.738028,0.471802,570769,207260,TL707072,1/1/2017 12:00:00 AM,,32,,,Chelmsford,0.3,Chelmsford,Anglian Water,,Chelmsford,Marconi,Chelmsford West
CM1 1AH,Yes,51.736169,0.472197,570803,207054,TL708070,8/1/1993 12:00:00 AM,,32,,,Chelmsford,0.3,Chelmsford,Essex & Suffolk Water,Anglian Water,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1AJ,No,51.736009,0.467379,570471,207025,TL704070,9/1/2014 12:00:00 AM,7/1/2018 12:00:00 AM,33,,,Chelmsford,0.1,Chelmsford,Anglian Water,,Chelmsford,Marconi,Chelmsford West
CM1 1AL,No,51.731586,0.475002,571014,206551,TL710065,5/1/1994 12:00:00 AM,1/1/2018 12:00:00 AM,27,,,Chelmsford,0.7,Chelmsford,Anglian Water,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1AN,Yes,51.738603,0.479076,571269,207341,TL712073,5/1/1994 12:00:00 AM,,28,,,Chelmsford,0.8,Chelmsford,Anglian Water,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1AP,Yes,51.738236,0.471383,570739,207282,TL707072,10/1/2015 12:00:00 AM,,32,,,Chelmsford,0.3,Chelmsford,Essex & Suffolk Water,Anglian Water,Chelmsford,Marconi,Chelmsford West
CM1 1AQ,Yes,51.737687,0.470451,570677,207219,TL706072,1/1/2015 12:00:00 AM,,36,,,Chelmsford,0.2,Chelmsford,Anglian Water,,Chelmsford,Marconi,Chelmsford West
CM1 1AR,No,51.733858,0.473475,570900,206800,TL708068,8/1/1992 12:00:00 AM,7/1/1995 12:00:00 AM,30,,,Chelmsford,0.4,Chelmsford,,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1AS,No,51.736398,0.469428,570611,207073,TL706070,8/1/1992 12:00:00 AM,11/1/2000 12:00:00 AM,34,,,Chelmsford,0.1,Chelmsford,,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1AT,Yes,51.735357,0.473615,570904,206967,TL709069,8/1/1992 12:00:00 AM,,31,,,Chelmsford,0.4,Chelmsford,Anglian Water,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1AU,Yes,51.737507,0.470064,570651,207198,TL706071,11/1/2017 12:00:00 AM,,38,,,Chelmsford,0.2,Chelmsford,,,Chelmsford,Marconi,Chelmsford West
CM1 1AW,Yes,51.740402,0.476060,571054,207534,TL710075,5/1/2022 12:00:00 AM,,38,,,Chelmsford,0.7,Chelmsford,,,Chelmsford,Marconi,Chelmsford West
CM1 1AY,No,51.735469,0.473824,570918,206980,TL709069,12/1/2000 12:00:00 AM,4/1/2001 12:00:00 AM,31,,,Chelmsford,0.4,Chelmsford,,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1AZ,No,51.737213,0.475991,571061,207179,TL710071,4/1/2006 12:00:00 AM,5/1/2006 12:00:00 AM,27,,,Chelmsford,0.5,Chelmsford,,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1BA,Yes,51.734712,0.473479,570897,206895,TL708068,8/1/1992 12:00:00 AM,,31,,,Chelmsford,0.4,Chelmsford,Anglian Water,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1BB,Yes,51.742492,0.500602,572740,207824,TL727078,9/1/2013 12:00:00 AM,,41,,,Chelmsford,2.3,Chelmsford,Anglian Water,,Chelmsford,Chelmer Village and Beaulieu Park,Chelmer
CM1 1BD,Yes,51.734829,0.474234,570949,206910,TL709069,1/1/1980 12:00:00 AM,,30,,,Chelmsford,0.4,Chelmsford,Essex & Suffolk Water,Anglian Water,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1BE,Yes,51.733931,0.473722,570917,206809,TL709068,1/1/1980 12:00:00 AM,,29,9,3,Chelmsford,0.4,Chelmsford,Essex & Suffolk Water,Anglian Water,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1BG,No,51.737213,0.475991,571061,207179,TL710071,1/1/1980 12:00:00 AM,10/1/2006 12:00:00 AM,27,,,Chelmsford,0.5,Chelmsford,Essex & Suffolk Water,Anglian Water,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1BH,No,51.739359,0.469749,570622,207403,TL706074,9/1/1991 12:00:00 AM,6/1/2000 12:00:00 AM,38,,,Chelmsford,0.3,Chelmsford,,,Chelmsford,Marconi,Chelmsford West
CM1 1BJ,No,51.737213,0.475991,571061,207179,TL710071,6/1/2001 12:00:00 AM,9/1/2003 12:00:00 AM,27,,,Chelmsford,0.5,Chelmsford,,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1BL,No,51.742492,0.500602,572740,207824,TL727078,6/1/1998 12:00:00 AM,4/1/2016 12:00:00 AM,41,,,Chelmsford,2.3,Chelmsford,,,Chelmsford,Chelmer Village and Beaulieu Park,Chelmer
CM1 1BN,No,51.734842,0.474978,571000,206913,TL710069,1/1/1980 12:00:00 AM,8/1/2021 12:00:00 AM,29,,,Chelmsford,0.5,Chelmsford,Anglian Water,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1BP,No,51.734092,0.473879,570927,206827,TL709068,1/1/1980 12:00:00 AM,6/1/2009 12:00:00 AM,30,,,Chelmsford,0.4,Chelmsford,,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1BQ,No,51.737213,0.475991,571061,207179,TL710071,9/1/1991 12:00:00 AM,6/1/2008 12:00:00 AM,27,,,Chelmsford,0.5,Chelmsford,,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1BS,Yes,51.734138,0.471155,570739,206826,TL707068,6/1/2020 12:00:00 AM,,30,,,Chelmsford,0.3,Chelmsford,,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1BT,Yes,51.733988,0.468902,570584,206804,TL705068,9/1/2017 12:00:00 AM,,38,,,Chelmsford,0.3,Chelmsford,Anglian Water,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1BU,No,51.737213,0.475991,571061,207179,TL710071,12/1/1994 12:00:00 AM,10/1/2006 12:00:00 AM,27,,,Chelmsford,0.5,Chelmsford,,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1BW,No,51.742492,0.500602,572740,207824,TL727078,2/1/2008 12:00:00 AM,4/1/2019 12:00:00 AM,41,,,Chelmsford,2.3,Chelmsford,Anglian Water,,Chelmsford,Chelmer Village and Beaulieu Park,Chelmer
CM1 1BX,No,51.732959,0.473426,570900,206700,TL708066,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,29,,,Chelmsford,0.5,Chelmsford,,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1BY,Yes,51.738659,0.471315,570733,207329,TL707073,3/1/2015 12:00:00 AM,,33,,,Chelmsford,0.3,Chelmsford,Anglian Water,,Chelmsford,Marconi,Chelmsford West
CM1 1BZ,No,51.737213,0.475991,571061,207179,TL710071,12/1/2000 12:00:00 AM,12/1/2005 12:00:00 AM,27,,,Chelmsford,0.5,Chelmsford,,,Chelmsford,Moulsham and Central,Chelmsford Central
CM1 1DA,No,51.732894,0.474408,570968,206695,TL709066,1/1/1980 12:00:00 AM,1/1/2023 12:00:00 AM,28,,,Chelmsford,0.6,Chelmsford,Essex & Suffolk Water,Anglian Water,Chelmsford,Moulsham and Central,Chelmsford Central
