Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SW10 0AA,Yes,51.477517,-0.179730,526508,176966,TQ265769,1/1/2018 12:00:00 AM,,4,,,Imperial Wharf,0.4,Hammersmith and Fulham,,,Hammersmith and Fulham,Sands End,
SW10 0AB,Yes,51.478206,-0.183053,526275,177037,TQ262770,8/1/2010 12:00:00 AM,,7,,,Imperial Wharf,0.4,Kensington and Chelsea,Thames Water,,Kensington and Chelsea,Chelsea Riverside,
SW10 0AD,Yes,51.485945,-0.180470,526433,177902,TQ264779,1/1/1980 12:00:00 AM,,11,4,4,Gloucester Road,1.0,Kensington and Chelsea,Thames Water,,Kensington and Chelsea,Stanley,
SW10 0AE,Yes,51.485776,-0.180621,526423,177883,TQ264778,8/1/1992 12:00:00 AM,,12,3,3,Gloucester Road,1.0,Kensington and Chelsea,Thames Water,,Kensington and Chelsea,Stanley,
SW10 0AF,Yes,51.481480,-0.183053,526266,177401,TQ262774,5/1/2014 12:00:00 AM,,9,,,Imperial Wharf,0.7,Kensington and Chelsea,Thames Water,,Kensington and Chelsea,Stanley,
SW10 0AG,Yes,51.485807,-0.180317,526444,177887,TQ264778,1/1/1980 12:00:00 AM,,12,37,16,Gloucester Road,1.0,Kensington and Chelsea,Thames Water,,Kensington and Chelsea,Stanley,
SW10 0AH,Yes,51.485555,-0.180284,526447,177859,TQ264778,1/1/1980 12:00:00 AM,,12,5,3,Gloucester Road,1.0,Kensington and Chelsea,Thames Water,,Kensington and Chelsea,Stanley,
SW10 0AJ,Yes,51.485898,-0.179809,526479,177898,TQ264778,1/1/1980 12:00:00 AM,,12,58,33,Gloucester Road,1.0,Kensington and Chelsea,Thames Water,,Kensington and Chelsea,Stanley,
SW10 0AL,Yes,51.485229,-0.180057,526464,177823,TQ264778,7/1/1995 12:00:00 AM,,12,2,1,Gloucester Road,1.1,Kensington and Chelsea,Thames Water,,Kensington and Chelsea,Stanley,
SW10 0AN,Yes,51.485023,-0.179614,526495,177801,TQ264778,1/1/1980 12:00:00 AM,,12,38,20,South Kensington,1.1,Kensington and Chelsea,Thames Water,,Kensington and Chelsea,Stanley,
SW10 0AP,Yes,51.485023,-0.179614,526495,177801,TQ264778,1/1/1980 12:00:00 AM,,12,67,44,South Kensington,1.1,Kensington and Chelsea,Thames Water,,Kensington and Chelsea,Stanley,
SW10 0AQ,Yes,51.485641,-0.180035,526464,177869,TQ264778,1/1/1980 12:00:00 AM,,12,15,12,Gloucester Road,1.0,Kensington and Chelsea,Thames Water,,Kensington and Chelsea,Stanley,
