Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GL50 1AA,No,51.901819,-2.075386,394910,222589,SO949225,1/1/1980 12:00:00 AM,3/1/2008 12:00:00 AM,64,,,Cheltenham Spa,1.7,Cheltenham,,,Cheltenham,St Paul's,St. Paul's and Swindon
GL50 1AD,Yes,51.893627,-2.077393,394771,221678,SO947216,10/1/2008 12:00:00 AM,,70,8,5,Cheltenham Spa,1.6,Cheltenham,Severn Trent,,Cheltenham,College,Charlton Park and College
GL50 1AE,No,51.905654,-2.082050,394452,223016,SO944230,3/1/2008 12:00:00 AM,4/1/2009 12:00:00 AM,58,,,Cheltenham Spa,1.5,Cheltenham,,,Cheltenham,St Paul's,St. Paul's and Swindon
GL50 1AF,Yes,51.893663,-2.077015,394797,221682,SO947216,12/1/2013 12:00:00 AM,,69,,,Cheltenham Spa,1.6,Cheltenham,Severn Trent,,Cheltenham,College,Charlton Park and College
GL50 1AG,Yes,51.893851,-2.076456,394835,221703,SO948217,1/1/2017 12:00:00 AM,,71,,,Cheltenham Spa,1.6,Cheltenham,Severn Trent,,Cheltenham,College,Charlton Park and College
GL50 1AP,No,51.897134,-2.074805,394949,222068,SO949220,6/1/2002 12:00:00 AM,9/1/2021 12:00:00 AM,66,,,Cheltenham Spa,1.7,Cheltenham,Severn Trent,,Cheltenham,College,Charlton Park and College
GL50 1AZ,No,51.895624,-2.075521,394900,221900,SO949218,3/1/1982 12:00:00 AM,12/1/1996 12:00:00 AM,64,,,Cheltenham Spa,1.7,Cheltenham,,,Cheltenham,College,Charlton Park and College
GL50 1BA,Yes,51.896334,-2.076743,394816,221979,SO948219,1/1/1980 12:00:00 AM,,63,,,Cheltenham Spa,1.6,Cheltenham,Severn Trent,,Cheltenham,College,Charlton Park and College
GL50 1BB,Yes,51.896379,-2.074818,394948,221984,SO949219,12/1/1998 12:00:00 AM,,63,,,Cheltenham Spa,1.7,Cheltenham,Severn Trent,,Cheltenham,College,Charlton Park and College
GL50 1DA,No,51.901298,-2.074412,394977,222531,SO949225,1/1/1980 12:00:00 AM,2/1/2004 12:00:00 AM,65,,,Cheltenham Spa,1.8,Cheltenham,,,Cheltenham,All Saints,All Saints and Oakley
GL50 1DB,Yes,51.901298,-2.074412,394977,222531,SO949225,1/1/1980 12:00:00 AM,,65,,,Cheltenham Spa,1.8,Cheltenham,Severn Trent,,Cheltenham,All Saints,All Saints and Oakley
GL50 1DD,Yes,51.901648,-2.073925,395011,222570,SO950225,1/1/1980 12:00:00 AM,,65,7,1,Cheltenham Spa,1.8,Cheltenham,Severn Trent,,Cheltenham,All Saints,All Saints and Oakley
GL50 1DE,Yes,51.900964,-2.074360,394981,222494,SO949224,1/1/1980 12:00:00 AM,,66,,,Cheltenham Spa,1.8,Cheltenham,Severn Trent,,Cheltenham,All Saints,All Saints and Oakley
GL50 1DF,Yes,51.900481,-2.073553,395036,222440,SO950224,1/1/1980 12:00:00 AM,,67,,,Cheltenham Spa,1.8,Cheltenham,Severn Trent,,Cheltenham,All Saints,All Saints and Oakley
GL50 1DG,No,51.900652,-2.073568,395035,222459,SO950224,1/1/1980 12:00:00 AM,11/1/2003 12:00:00 AM,67,,,Cheltenham Spa,1.8,Cheltenham,,,Cheltenham,All Saints,All Saints and Oakley
