Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
E17 4AH,Yes,51.593161,0.003413,538873,190158,TQ388901,1/1/1980 12:00:00 AM,,47,95,39,Wood Street,0.8,Waltham Forest,Thames Water,,Waltham Forest,Upper Walthamstow,
E17 4AP,Yes,51.594269,0.003852,538900,190282,TQ389902,1/1/1980 12:00:00 AM,,48,173,68,Wood Street,0.9,Waltham Forest,Thames Water,,Waltham Forest,Upper Walthamstow,
E17 4AR,Yes,51.594150,0.002359,538797,190266,TQ387902,1/1/1980 12:00:00 AM,,43,200,73,Wood Street,0.9,Waltham Forest,Thames Water,,Waltham Forest,Upper Walthamstow,
E17 4AS,No,51.592707,-0.000548,538600,190100,TQ386901,8/1/1992 12:00:00 AM,12/1/1994 12:00:00 AM,32,,,Wood Street,0.7,Waltham Forest,,,Waltham Forest,Upper Walthamstow,
E17 4BG,Yes,51.593374,-0.001140,538557,190173,TQ385901,1/1/1980 12:00:00 AM,,31,62,20,Wood Street,0.7,Waltham Forest,Thames Water,,Waltham Forest,Upper Walthamstow,
E17 4BH,Yes,51.593793,0.000120,538643,190222,TQ386902,1/1/1980 12:00:00 AM,,37,116,40,Wood Street,0.8,Waltham Forest,Thames Water,,Waltham Forest,Upper Walthamstow,
E17 4BJ,Yes,51.593938,0.000560,538673,190239,TQ386902,1/1/1980 12:00:00 AM,,38,100,35,Wood Street,0.8,Waltham Forest,Thames Water,,Waltham Forest,Upper Walthamstow,
E17 4BL,No,51.593556,0.002376,538800,190200,TQ387901,8/1/1992 12:00:00 AM,12/1/1995 12:00:00 AM,44,,,Wood Street,0.8,Waltham Forest,,,Waltham Forest,Upper Walthamstow,
E17 4BN,Yes,51.594089,0.001202,538717,190257,TQ387902,1/1/1980 12:00:00 AM,,40,134,49,Wood Street,0.9,Waltham Forest,Thames Water,,Waltham Forest,Upper Walthamstow,
E17 4BP,Yes,51.592790,0.000408,538666,190111,TQ386901,1/1/1980 12:00:00 AM,,36,75,22,Wood Street,0.7,Waltham Forest,Thames Water,,Waltham Forest,Upper Walthamstow,
E17 4BQ,Yes,51.593870,-0.000699,538586,190229,TQ385902,1/1/1980 12:00:00 AM,,34,99,36,Wood Street,0.8,Waltham Forest,Thames Water,,Waltham Forest,Upper Walthamstow,
E17 4BT,Yes,51.594400,0.004579,538950,190298,TQ389902,1/1/1980 12:00:00 AM,,50,86,35,Wood Street,1.0,Waltham Forest,Thames Water,,Waltham Forest,Upper Walthamstow,
