Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
EN4 0AD,No,51.643239,-0.171145,526643,195410,TQ266954,6/1/1996 12:00:00 AM,7/1/2005 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0BE,No,51.643239,-0.171145,526643,195410,TQ266954,12/1/2001 12:00:00 AM,1/1/2004 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0BF,No,51.643239,-0.171145,526643,195410,TQ266954,12/1/2001 12:00:00 AM,11/1/2002 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0BP,No,51.643239,-0.171145,526643,195410,TQ266954,4/1/2007 12:00:00 AM,10/1/2008 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0JG,No,51.643239,-0.171145,526643,195410,TQ266954,12/1/1999 12:00:00 AM,3/1/2002 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0LF,No,51.643239,-0.171145,526643,195410,TQ266954,5/1/1994 12:00:00 AM,3/1/2002 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0LY,No,51.656863,-0.185676,525600,196900,TQ255969,12/1/1981 12:00:00 AM,12/1/1990 12:00:00 AM,103,,,High Barnet,0.8,Barnet,,,Barnet,Barnet Vale,
EN4 0LZ,No,51.643239,-0.171145,526643,195410,TQ266954,7/1/1990 12:00:00 AM,12/1/2008 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0NE,No,51.643239,-0.171145,526643,195410,TQ266954,6/1/2001 12:00:00 AM,7/1/2005 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0NH,Yes,51.662808,-0.191005,525215,197552,TQ252975,1/1/1980 12:00:00 AM,,131,3,1,Hadley Wood,1.2,Barnet,Affinity Water,Thames Water,Barnet,High Barnet,
EN4 0NJ,Yes,51.663460,-0.187798,525435,197630,TQ254976,1/1/1980 12:00:00 AM,,126,13,4,Hadley Wood,0.9,Barnet,Affinity Water,Thames Water,Barnet,High Barnet,
EN4 0PQ,No,51.643239,-0.171145,526643,195410,TQ266954,6/1/2006 12:00:00 AM,7/1/2006 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0QD,Yes,51.643012,-0.171038,526651,195385,TQ266953,8/1/2015 12:00:00 AM,,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0QE,No,51.643012,-0.171038,526651,195385,TQ266953,4/1/1986 12:00:00 AM,7/1/2018 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0QF,No,51.643239,-0.171145,526643,195410,TQ266954,6/1/2001 12:00:00 AM,4/1/2002 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0QX,No,51.643012,-0.171038,526651,195385,TQ266953,6/1/2001 12:00:00 AM,3/1/2021 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0QY,No,51.643239,-0.171145,526643,195410,TQ266954,6/1/2001 12:00:00 AM,3/1/2002 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0UN,No,51.643239,-0.171145,526643,195410,TQ266954,6/1/2003 12:00:00 AM,1/1/2006 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0WA,No,51.643239,-0.171145,526643,195410,TQ266954,12/1/2001 12:00:00 AM,7/1/2003 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0WB,No,51.643239,-0.171145,526643,195410,TQ266954,12/1/2001 12:00:00 AM,1/1/2006 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0WD,No,51.643239,-0.171145,526643,195410,TQ266954,12/1/2001 12:00:00 AM,8/1/2004 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0WE,No,51.643012,-0.171038,526651,195385,TQ266953,6/1/2002 12:00:00 AM,3/1/2019 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0WX,No,51.643239,-0.171145,526643,195410,TQ266954,10/1/2004 12:00:00 AM,11/1/2007 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0WY,No,51.643239,-0.171145,526643,195410,TQ266954,6/1/1999 12:00:00 AM,8/1/2002 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0WZ,No,51.643239,-0.171145,526643,195410,TQ266954,2/1/2004 12:00:00 AM,3/1/2007 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0XJ,No,51.643239,-0.171145,526643,195410,TQ266954,9/1/2003 12:00:00 AM,6/1/2008 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0XN,No,51.643239,-0.171145,526643,195410,TQ266954,2/1/2003 12:00:00 AM,6/1/2008 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0XP,No,51.643239,-0.171145,526643,195410,TQ266954,6/1/2003 12:00:00 AM,2/1/2006 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0XQ,No,51.643239,-0.171145,526643,195410,TQ266954,5/1/2003 12:00:00 AM,6/1/2009 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0XR,No,51.643239,-0.171145,526643,195410,TQ266954,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0XZ,No,51.643239,-0.171145,526643,195410,TQ266954,5/1/2003 12:00:00 AM,6/1/2008 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0YZ,No,51.643239,-0.171145,526643,195410,TQ266954,8/1/2003 12:00:00 AM,6/1/2008 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0ZF,No,51.643239,-0.171145,526643,195410,TQ266954,12/1/1998 12:00:00 AM,6/1/2008 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0ZH,No,51.643239,-0.171145,526643,195410,TQ266954,6/1/2001 12:00:00 AM,7/1/2005 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0ZJ,No,51.643239,-0.171145,526643,195410,TQ266954,6/1/2001 12:00:00 AM,4/1/2009 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0ZL,No,51.643239,-0.171145,526643,195410,TQ266954,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0ZN,No,51.643239,-0.171145,526643,195410,TQ266954,12/1/2000 12:00:00 AM,3/1/2002 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0ZP,No,51.643239,-0.171145,526643,195410,TQ266954,10/1/2012 12:00:00 AM,12/1/2012 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0ZQ,No,51.643015,-0.171012,526653,195385,TQ266953,10/1/2022 12:00:00 AM,9/1/2023 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0ZS,No,51.643239,-0.171145,526643,195410,TQ266954,6/1/2000 12:00:00 AM,4/1/2009 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0ZT,No,51.643239,-0.171145,526643,195410,TQ266954,12/1/1999 12:00:00 AM,1/1/2005 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0ZX,No,51.643239,-0.171145,526643,195410,TQ266954,7/1/2004 12:00:00 AM,1/1/2006 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0ZY,Yes,51.643012,-0.171038,526651,195385,TQ266953,6/1/1999 12:00:00 AM,,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 0ZZ,No,51.643239,-0.171145,526643,195410,TQ266954,6/1/1997 12:00:00 AM,7/1/2003 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 8AA,Yes,51.648807,-0.169898,526714,196031,TQ267960,1/1/1980 12:00:00 AM,,65,9,7,New Barnet,0.2,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AB,Yes,51.644916,-0.170282,526698,195598,TQ266955,1/1/2004 12:00:00 AM,,66,24,10,New Barnet,0.4,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AD,Yes,51.647661,-0.171632,526597,195901,TQ265959,12/1/1999 12:00:00 AM,,71,130,70,New Barnet,0.1,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AE,Yes,51.643185,-0.167707,526881,195410,TQ268954,1/1/1980 12:00:00 AM,,60,69,26,Oakleigh Park,0.6,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AF,Yes,51.643490,-0.167651,526884,195444,TQ268954,1/1/1980 12:00:00 AM,,59,34,12,Oakleigh Park,0.7,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AG,Yes,51.643739,-0.166676,526951,195473,TQ269954,1/1/1980 12:00:00 AM,,57,15,8,Oakleigh Park,0.7,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AH,Yes,51.644188,-0.169170,526777,195519,TQ267955,1/1/1980 12:00:00 AM,,63,63,35,New Barnet,0.5,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AJ,Yes,51.645378,-0.169761,526733,195650,TQ267956,1/1/1980 12:00:00 AM,,64,78,33,New Barnet,0.4,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AL,Yes,51.644317,-0.169760,526736,195532,TQ267955,1/1/1980 12:00:00 AM,,64,83,32,New Barnet,0.5,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AN,Yes,51.648083,-0.171557,526601,195948,TQ266959,6/1/2000 12:00:00 AM,,71,63,32,New Barnet,0.1,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AP,Yes,51.646082,-0.170499,526680,195727,TQ266957,1/1/1980 12:00:00 AM,,67,41,20,New Barnet,0.3,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AQ,Yes,51.642846,-0.169036,526790,195370,TQ267953,4/1/1985 12:00:00 AM,,63,37,15,Oakleigh Park,0.6,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AR,Yes,51.648411,-0.170662,526662,195986,TQ266959,5/1/2005 12:00:00 AM,,67,,,New Barnet,0.2,Barnet,Thames Water,,Barnet,East Barnet,
EN4 8AS,Yes,51.647428,-0.170514,526675,195877,TQ266958,1/1/1980 12:00:00 AM,,66,7,3,New Barnet,0.2,Barnet,Thames Water,,Barnet,East Barnet,
EN4 8AT,No,51.646753,-0.171625,526600,195800,TQ265957,6/1/1998 12:00:00 AM,4/1/2002 12:00:00 AM,71,,,New Barnet,0.2,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AU,Yes,51.645207,-0.170502,526682,195630,TQ266956,1/1/2004 12:00:00 AM,,67,29,12,New Barnet,0.4,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AW,Yes,51.649304,-0.172393,526540,196082,TQ265960,1/1/2018 12:00:00 AM,,73,,,New Barnet,0.1,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AX,Yes,51.648992,-0.172171,526556,196048,TQ265960,10/1/2003 12:00:00 AM,,73,27,11,New Barnet,0.1,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AY,Yes,51.648110,-0.169637,526734,195954,TQ267959,1/1/1980 12:00:00 AM,,63,79,34,New Barnet,0.2,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8AZ,Yes,51.647122,-0.169127,526772,195845,TQ267958,1/1/1980 12:00:00 AM,,63,17,6,New Barnet,0.3,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8BA,Yes,51.647712,-0.168872,526788,195911,TQ267959,1/1/1980 12:00:00 AM,,61,31,11,New Barnet,0.3,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8BB,Yes,51.647445,-0.169056,526776,195881,TQ267958,1/1/1980 12:00:00 AM,,62,29,12,New Barnet,0.3,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8BD,Yes,51.646922,-0.168976,526783,195823,TQ267958,1/1/1980 12:00:00 AM,,62,35,11,New Barnet,0.3,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8BE,No,51.646325,-0.167812,526865,195759,TQ268957,6/1/2000 12:00:00 AM,4/1/2002 12:00:00 AM,60,,,New Barnet,0.4,Barnet,,,Barnet,East Barnet,
EN4 8BF,No,51.643239,-0.171145,526643,195410,TQ266954,12/1/1997 12:00:00 AM,2/1/2003 12:00:00 AM,65,,,New Barnet,0.6,Barnet,,,Barnet,Barnet Vale,
EN4 8BG,Yes,51.646492,-0.169901,526720,195774,TQ267957,1/1/1980 12:00:00 AM,,64,25,10,New Barnet,0.3,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8BH,Yes,51.646348,-0.168693,526804,195760,TQ268957,1/1/1980 12:00:00 AM,,62,81,35,New Barnet,0.4,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8BJ,No,51.646681,-0.168144,526841,195798,TQ268957,1/1/1980 12:00:00 AM,11/1/2001 12:00:00 AM,61,,,New Barnet,0.4,Barnet,,,Barnet,East Barnet,
EN4 8BL,Yes,51.646799,-0.167677,526873,195812,TQ268958,1/1/1980 12:00:00 AM,,60,22,13,New Barnet,0.4,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8BN,Yes,51.645846,-0.167658,526877,195706,TQ268957,1/1/1980 12:00:00 AM,,60,84,22,New Barnet,0.5,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
EN4 8BP,Yes,51.645011,-0.167735,526874,195613,TQ268956,1/1/1980 12:00:00 AM,,60,65,20,New Barnet,0.5,Barnet,Affinity Water,Thames Water,Barnet,East Barnet,
