Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BH21 2DJ,Yes,50.803409,-1.934471,404714,100430,SU047004,1/1/1980 12:00:00 AM,,30,55,11,Branksome,8.6,Wimborne Minster,Bournemouth Water,,Dorset,Ferndown North,
BH21 2DL,Yes,50.803705,-1.932456,404856,100463,SU048004,1/1/1980 12:00:00 AM,,31,21,10,Branksome,8.6,Wimborne Minster,Bournemouth Water,,Dorset,Ferndown North,
BH21 2DN,Yes,50.804387,-1.930809,404972,100539,SU049005,1/1/1980 12:00:00 AM,,29,15,8,Branksome,8.6,Wimborne Minster,Bournemouth Water,,Dorset,Ferndown North,
BH21 2DX,Yes,50.802107,-1.938177,404453,100285,SU044002,1/1/1980 12:00:00 AM,,22,1,1,Branksome,8.4,Wimborne Minster,Bournemouth Water,,Dorset,Ferndown North,
BH21 2DY,Yes,50.803067,-1.934018,404746,100392,SU047003,1/1/1980 12:00:00 AM,,30,49,18,Branksome,8.5,Wimborne Minster,Bournemouth Water,,Dorset,Ferndown North,
BH21 2DZ,Yes,50.803559,-1.930058,405025,100447,SU050004,1/1/1980 12:00:00 AM,,28,11,6,Branksome,8.5,Wimborne Minster,Bournemouth Water,,Dorset,Ferndown North,
BH21 2EA,Yes,50.802618,-1.934231,404731,100342,SU047003,12/1/1995 12:00:00 AM,,28,38,13,Branksome,8.5,Wimborne Minster,Bournemouth Water,,Dorset,Ferndown North,
BH21 2EB,Yes,50.802774,-1.925297,405361,100360,SU053003,1/1/1980 12:00:00 AM,,27,10,3,Branksome,8.4,Wimborne Minster,Bournemouth Water,,Dorset,Ferndown North,
BH21 2EF,Yes,50.801765,-1.937723,404485,100247,SU044002,1/1/1980 12:00:00 AM,,21,27,9,Branksome,8.4,Wimborne Minster,Bournemouth Water,,Dorset,Ferndown North,
BH21 2EG,Yes,50.799679,-1.938067,404461,100015,SU044000,1/1/1980 12:00:00 AM,,16,4,1,Branksome,8.2,,Bournemouth Water,,Dorset,Ferndown North,
BH21 2EH,Yes,50.801810,-1.937752,404483,100252,SU044002,1/1/1980 12:00:00 AM,,22,1,1,Branksome,8.4,Wimborne Minster,Bournemouth Water,,Dorset,Ferndown North,
BH21 2EJ,Yes,50.801972,-1.937170,404524,100270,SU045002,1/1/1980 12:00:00 AM,,23,16,7,Branksome,8.4,Wimborne Minster,Bournemouth Water,,Dorset,Ferndown North,
BH21 2EN,Yes,50.802340,-1.935614,404634,100311,SU046003,12/1/1999 12:00:00 AM,,25,25,10,Branksome,8.4,Wimborne Minster,Bournemouth Water,,Dorset,Ferndown North,
BH21 2EQ,Yes,50.799580,-1.937073,404531,100004,SU045000,1/1/1980 12:00:00 AM,,16,2,1,Branksome,8.2,,Bournemouth Water,,Dorset,Ferndown North,
BH21 2FP,Yes,50.802360,-1.924404,405424,100314,SU054003,12/1/2017 12:00:00 AM,,27,,,Branksome,8.4,Wimborne Minster,Bournemouth Water,,Dorset,Ferndown North,
BH21 2FQ,Yes,50.801451,-1.923894,405460,100213,SU054002,1/1/2018 12:00:00 AM,,30,,,Branksome,8.3,Wimborne Minster,,,Dorset,Ferndown North,
BH21 6AR,No,50.842197,-1.865137,409592,104750,SU095047,12/1/2000 12:00:00 AM,11/1/2006 12:00:00 AM,17,,,Pokesdown,12.7,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6FA,Yes,50.843484,-1.865807,409545,104893,SU095048,9/1/1991 12:00:00 AM,,20,,,Pokesdown,12.8,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6FB,Yes,50.843313,-1.865637,409557,104874,SU095048,9/1/1991 12:00:00 AM,,19,,,Pokesdown,12.8,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6FE,Yes,50.842147,-1.860585,409912,104745,SU099047,7/1/2020 12:00:00 AM,,20,,,Pokesdown,12.6,Three Legged Cross,,,Dorset,West Moors & Three Legged Cross,
BH21 6FF,Yes,50.842246,-1.860116,409945,104756,SU099047,7/1/2022 12:00:00 AM,,19,,,Pokesdown,12.6,Three Legged Cross,,,Dorset,West Moors & Three Legged Cross,
BH21 6FG,Yes,50.841960,-1.861750,409831,104724,SU098047,11/1/2023 12:00:00 AM,,18,,,Pokesdown,12.6,Three Legged Cross,,,Dorset,West Moors & Three Legged Cross,
BH21 6FQ,Yes,50.849864,-1.886599,408080,105600,SU080056,2/1/2022 12:00:00 AM,,29,,,Bournemouth,13.7,Three Legged Cross,,,Dorset,West Moors & Three Legged Cross,
BH21 6FR,Yes,50.849937,-1.887252,408034,105608,SU080056,6/1/2022 12:00:00 AM,,28,,,Bournemouth,13.7,Three Legged Cross,,,Dorset,West Moors & Three Legged Cross,
BH21 6LJ,No,50.853458,-1.883459,408300,106000,SU082060,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,30,,,Bournemouth,14.1,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6PA,Yes,50.848235,-1.885830,408134,105419,SU081054,12/1/1996 12:00:00 AM,,28,47,21,Bournemouth,13.5,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6PB,Yes,50.848740,-1.886851,408062,105475,SU080054,12/1/1999 12:00:00 AM,,27,34,12,Bournemouth,13.6,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6QA,Yes,50.850583,-1.886605,408079,105680,SU080056,6/1/1998 12:00:00 AM,,29,12,4,Bournemouth,13.8,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6QF,Yes,50.840131,-1.883782,408280,104518,SU082045,7/1/1995 12:00:00 AM,,22,,,Bournemouth,12.6,West Moors,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6QG,No,50.848963,-1.884890,408200,105500,SU082055,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,27,,,Bournemouth,13.6,Three Legged Cross,,,Dorset,West Moors & Three Legged Cross,
BH21 6QH,No,50.840940,-1.883731,408283,104608,SU082046,1/1/1980 12:00:00 AM,5/1/2001 12:00:00 AM,23,,,Bournemouth,12.7,West Moors,,,Dorset,West Moors & Three Legged Cross,
BH21 6QJ,No,50.840975,-1.882382,408378,104612,SU083046,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,24,,,Bournemouth,12.7,West Moors,,,Dorset,West Moors & Three Legged Cross,
BH21 6QN,No,50.837275,-1.887759,408000,104200,SU080041,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,23,,,Bournemouth,12.3,West Moors,,,Dorset,West Moors & Three Legged Cross,
BH21 6QP,Yes,50.849577,-1.887957,407984,105568,SU079055,1/1/1980 12:00:00 AM,,28,16,8,Bournemouth,13.7,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6QQ,Yes,50.840949,-1.883689,408286,104609,SU082046,1/1/1980 12:00:00 AM,,23,,,Bournemouth,12.7,West Moors,,,Dorset,West Moors & Three Legged Cross,
BH21 6QR,Yes,50.838180,-1.883781,408280,104301,SU082043,1/1/1980 12:00:00 AM,,22,4,1,Bournemouth,12.4,West Moors,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6QS,Yes,50.837414,-1.882760,408352,104216,SU083042,1/1/1980 12:00:00 AM,,21,10,0,Bournemouth,12.3,West Moors,,,Dorset,West Moors & Three Legged Cross,
BH21 6QT,Yes,50.848047,-1.886569,408082,105398,SU080053,1/1/1980 12:00:00 AM,,28,27,13,Bournemouth,13.5,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6QU,Yes,50.846854,-1.888793,407926,105265,SU079052,1/1/1980 12:00:00 AM,,25,9,5,Bournemouth,13.4,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6QW,Yes,50.840258,-1.884812,408207,104532,SU082045,1/1/1980 12:00:00 AM,,22,49,5,Bournemouth,12.6,West Moors,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6QX,Yes,50.850151,-1.885249,408175,105632,SU081056,1/1/1980 12:00:00 AM,,28,3,2,Bournemouth,13.7,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6QY,Yes,50.848281,-1.877250,408738,105425,SU087054,1/1/1980 12:00:00 AM,,26,33,15,Bournemouth,13.5,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6QZ,Yes,50.845814,-1.866547,409492,105152,SU094051,1/1/1980 12:00:00 AM,,21,28,10,Pokesdown,13.1,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RA,Yes,50.843118,-1.859893,409961,104853,SU099048,1/1/1980 12:00:00 AM,,18,23,7,Pokesdown,12.7,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RB,Yes,50.849323,-1.885543,408154,105540,SU081055,1/1/1980 12:00:00 AM,,27,57,6,Bournemouth,13.6,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RD,Yes,50.849014,-1.882169,408392,105506,SU083055,1/1/1980 12:00:00 AM,,28,61,15,Bournemouth,13.6,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RE,Yes,50.846034,-1.870665,409202,105176,SU092051,1/1/1980 12:00:00 AM,,23,19,9,Pokesdown,13.2,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RF,Yes,50.854018,-1.886043,408118,106062,SU081060,1/1/1980 12:00:00 AM,,28,101,33,Bournemouth,14.2,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RG,Yes,50.858339,-1.882239,408385,106543,SU083065,1/1/1980 12:00:00 AM,,27,12,4,Bournemouth,14.6,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RJ,Yes,50.854232,-1.883633,408288,106086,SU082060,1/1/1980 12:00:00 AM,,28,35,12,Bournemouth,14.2,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RL,Yes,50.858319,-1.879539,408575,106541,SU085065,1/1/1980 12:00:00 AM,,29,14,3,Bournemouth,14.6,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RN,Yes,50.861818,-1.871836,409117,106931,SU091069,1/1/1980 12:00:00 AM,,28,23,8,Pokesdown,14.9,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RP,Yes,50.858551,-1.878303,408662,106567,SU086065,1/1/1980 12:00:00 AM,,29,28,13,Bournemouth,14.6,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RQ,Yes,50.854351,-1.886559,408082,106099,SU080060,1/1/1980 12:00:00 AM,,27,79,33,Bournemouth,14.2,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RR,Yes,50.861142,-1.870922,409181,106856,SU091068,1/1/1980 12:00:00 AM,,27,40,15,Pokesdown,14.8,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RT,Yes,50.860871,-1.877863,408693,106825,SU086068,1/1/1980 12:00:00 AM,,32,8,1,Bournemouth,14.9,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RU,Yes,50.846398,-1.874215,408952,105216,SU089052,1/1/1980 12:00:00 AM,,26,11,5,Bournemouth,13.3,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RW,Yes,50.855660,-1.882160,408391,106245,SU083062,1/1/1980 12:00:00 AM,,28,14,6,Bournemouth,14.3,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RX,Yes,50.848950,-1.872831,409049,105500,SU090054,1/1/1980 12:00:00 AM,,23,34,10,Pokesdown,13.5,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RY,Yes,50.854344,-1.879570,408574,106099,SU085060,1/1/1980 12:00:00 AM,,25,3,2,Bournemouth,14.2,,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6RZ,Yes,50.852376,-1.881245,408456,105880,SU084058,1/1/1980 12:00:00 AM,,29,12,4,Bournemouth,14.0,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6SA,Yes,50.857060,-1.879628,408569,106401,SU085064,1/1/1980 12:00:00 AM,,27,29,14,Bournemouth,14.5,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6SF,Yes,50.842342,-1.865456,409569,104766,SU095047,4/1/2010 12:00:00 AM,,17,,,Pokesdown,12.7,Three Legged Cross,,,Dorset,West Moors & Three Legged Cross,
BH21 6SG,Yes,50.851889,-1.888554,407942,105825,SU079058,1/1/1980 12:00:00 AM,,29,31,10,Bournemouth,13.9,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6SH,Yes,50.852901,-1.883900,408269,105938,SU082059,9/1/1991 12:00:00 AM,,30,65,26,Bournemouth,14.0,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
BH21 6SJ,Yes,50.851769,-1.885025,408190,105812,SU081058,1/1/1980 12:00:00 AM,,28,95,33,Bournemouth,13.9,Three Legged Cross,Bournemouth Water,,Dorset,West Moors & Three Legged Cross,
