Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DH1 1AA,No,54.777564,-1.573997,427500,542600,NZ275425,2/1/1990 12:00:00 AM,12/1/1994 12:00:00 AM,47,,,Durham,0.5,Durham,,,County Durham,Elvet and Gilesgate,
DH1 1AB,Yes,54.786659,-1.530113,430316,543630,NZ303436,1/1/1980 12:00:00 AM,,90,17,8,Durham,3.4,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AD,Yes,54.786726,-1.531325,430238,543637,NZ302436,1/1/1980 12:00:00 AM,,88,63,27,Durham,3.3,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AE,Yes,54.787150,-1.531616,430219,543684,NZ302436,1/1/1980 12:00:00 AM,,86,26,11,Durham,3.3,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AF,Yes,54.790099,-1.529700,430340,544013,NZ303440,1/1/1980 12:00:00 AM,,78,115,51,Durham,3.5,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AG,Yes,54.788869,-1.529979,430323,543876,NZ303438,1/1/1980 12:00:00 AM,,81,9,6,Durham,3.5,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AH,Yes,54.791248,-1.527012,430512,544142,NZ305441,1/1/1980 12:00:00 AM,,75,110,46,Durham,3.7,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AJ,Yes,54.792315,-1.526436,430548,544261,NZ305442,1/1/1980 12:00:00 AM,,74,1,1,Durham,3.8,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AL,Yes,54.789333,-1.529056,430382,543928,NZ303439,1/1/1980 12:00:00 AM,,80,98,44,Durham,3.6,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AN,Yes,54.789939,-1.527851,430459,543996,NZ304439,1/1/1980 12:00:00 AM,,78,23,10,Durham,3.6,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AP,Yes,54.787522,-1.530181,430311,543726,NZ303437,1/1/1980 12:00:00 AM,,85,34,16,Durham,3.4,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AQ,Yes,54.791370,-1.528270,430431,544155,NZ304441,1/1/1980 12:00:00 AM,,76,85,35,Durham,3.7,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AR,Yes,54.787464,-1.529198,430374,543720,NZ303437,1/1/1980 12:00:00 AM,,85,,,Durham,3.5,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AS,Yes,54.788772,-1.528067,430446,543866,NZ304438,1/1/1980 12:00:00 AM,,81,82,41,Durham,3.6,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AT,Yes,54.790696,-1.526054,430574,544081,NZ305440,1/1/1980 12:00:00 AM,,77,86,37,Durham,3.8,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AU,Yes,54.792393,-1.525661,430598,544270,NZ305442,1/1/1980 12:00:00 AM,,74,,,Durham,3.9,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AW,Yes,54.787988,-1.530020,430321,543778,NZ303437,1/1/1980 12:00:00 AM,,83,39,18,Durham,3.4,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AX,No,54.791764,-1.525637,430600,544200,NZ306442,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,74,,,Durham,3.8,Durham,,,County Durham,Belmont,
DH1 1AY,Yes,54.792567,-1.524259,430688,544290,NZ306442,1/1/1980 12:00:00 AM,,74,2,1,Durham,4.0,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1AZ,Yes,54.792867,-1.525220,430626,544323,NZ306443,1/1/1980 12:00:00 AM,,73,70,32,Durham,3.9,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1BA,Yes,54.793205,-1.524205,430691,544361,NZ306443,1/1/1980 12:00:00 AM,,72,44,21,Durham,4.0,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1BB,Yes,54.792686,-1.527135,430503,544302,NZ305443,1/1/1980 12:00:00 AM,,73,24,10,Durham,3.8,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1BD,Yes,54.793659,-1.523096,430762,544412,NZ307444,1/1/1980 12:00:00 AM,,72,45,18,Durham,4.1,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1BE,Yes,54.791776,-1.524284,430687,544202,NZ306442,1/1/1980 12:00:00 AM,,75,1,1,Durham,3.9,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1BF,Yes,54.780447,-1.546008,429298,542932,NZ292429,12/1/2018 12:00:00 AM,,91,,,Durham,2.3,Durham,,,County Durham,Belmont,
DH1 1BG,Yes,54.791222,-1.524971,430643,544140,NZ306441,1/1/1980 12:00:00 AM,,76,6,5,Durham,3.9,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1BH,No,54.789074,-1.527224,430500,543900,NZ304439,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,80,,,Durham,3.7,Durham,,,County Durham,Belmont,
DH1 1BJ,Yes,54.785844,-1.531009,430259,543539,NZ302435,1/1/1980 12:00:00 AM,,92,33,12,Durham,3.3,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1BL,Yes,54.791337,-1.524410,430679,544153,NZ306441,1/1/2008 12:00:00 AM,,76,48,30,Durham,3.9,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1BP,Yes,54.791631,-1.523804,430718,544186,NZ307441,6/1/2001 12:00:00 AM,,76,10,4,Durham,4.0,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1BQ,Yes,54.789226,-1.527094,430508,543917,NZ305439,1/1/1980 12:00:00 AM,,80,137,55,Durham,3.7,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1BW,Yes,54.781590,-1.568648,427841,543050,NZ278430,11/1/2019 12:00:00 AM,,92,,,Durham,0.9,Durham,,,County Durham,Elvet and Gilesgate,
DH1 1DA,Yes,54.782988,-1.543092,429484,543216,NZ294432,1/1/1980 12:00:00 AM,,90,29,12,Durham,2.5,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1DB,Yes,54.783484,-1.541252,429602,543272,NZ296432,1/1/1980 12:00:00 AM,,90,43,25,Durham,2.6,Durham,Northumbrian Water,,County Durham,Belmont,
DH1 1DD,Yes,54.783897,-1.541169,429607,543318,NZ296433,1/1/1980 12:00:00 AM,,88,48,25,Durham,2.6,Durham,Northumbrian Water,,County Durham,Belmont,
