Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CO11 2AY,Yes,51.910786,1.138104,615938,228237,TM159282,5/1/1994 12:00:00 AM,,25,15,5,Wrabness,3.9,Wix,Affinity Water,Anglian Water,Tendring,The Oakleys & Wix,Tendring Rural West
CO11 2BG,Yes,51.912097,1.140872,616122,228391,TM161283,9/1/2010 12:00:00 AM,,24,8,3,Wrabness,3.7,Wix,Affinity Water,Anglian Water,Tendring,The Oakleys & Wix,Tendring Rural West
CO11 2FZ,Yes,51.913356,1.151476,616845,228562,TM168285,7/1/2021 12:00:00 AM,,35,,,Wrabness,3.2,Wix,,,Tendring,The Oakleys & Wix,Tendring Rural West
CO11 2GA,Yes,51.912692,1.146368,616497,228473,TM164284,7/1/2021 12:00:00 AM,,21,,,Wrabness,3.4,Wix,,,Tendring,The Oakleys & Wix,Tendring Rural West
CO11 2GL,Yes,51.912127,1.145149,616416,228407,TM164284,9/1/2002 12:00:00 AM,,22,11,4,Wrabness,3.5,Wix,Affinity Water,Anglian Water,Tendring,The Oakleys & Wix,Tendring Rural West
CO11 2PB,Yes,51.906409,1.098801,613256,227634,TM132276,1/1/1980 12:00:00 AM,,36,3,1,Mistley,4.3,,Affinity Water,Anglian Water,Tendring,The Oakleys & Wix,Tendring Rural West
CO11 2PD,Yes,51.905400,1.108575,613933,227551,TM139275,1/1/1980 12:00:00 AM,,33,25,9,Mistley,4.6,,Affinity Water,Anglian Water,Tendring,The Oakleys & Wix,Tendring Rural West
CO11 2PE,Yes,51.905852,1.113405,614263,227615,TM142276,1/1/1980 12:00:00 AM,,34,5,2,Mistley,4.7,,Affinity Water,Anglian Water,Tendring,The Oakleys & Wix,Tendring Rural West
CO11 2PU,Yes,51.913183,1.143508,616298,228520,TM162285,2/1/2022 12:00:00 AM,,35,,,Wrabness,3.5,Wix,,,Tendring,The Oakleys & Wix,Tendring Rural West
CO11 2RJ,Yes,51.909916,1.114166,614296,228070,TM142280,1/1/1980 12:00:00 AM,,33,3,2,Mistley,4.4,,Affinity Water,Anglian Water,Tendring,The Oakleys & Wix,Tendring Rural West
CO11 2RL,Yes,51.906182,1.118793,614632,227668,TM146276,1/1/1980 12:00:00 AM,,34,1,1,Mistley,4.9,,Affinity Water,Anglian Water,Tendring,The Oakleys & Wix,Tendring Rural West
CO11 2RN,Yes,51.907413,1.121205,614792,227812,TM147278,1/1/1980 12:00:00 AM,,31,7,4,Mistley,4.9,,Affinity Water,Anglian Water,Tendring,The Oakleys & Wix,Tendring Rural West
CO11 2RP,Yes,51.908541,1.127521,615221,227956,TM152279,1/1/1980 12:00:00 AM,,30,13,4,Wrabness,4.6,,Affinity Water,Anglian Water,Tendring,The Oakleys & Wix,Tendring Rural West
