Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
LL16 3AA,Yes,53.183845,-3.419189,305260,366135,SJ052661,1/1/1980 12:00:00 AM,,97,13,3,Rhyl,15.7,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AB,Yes,53.183971,-3.419238,305257,366149,SJ052661,6/1/2001 12:00:00 AM,,97,2,2,Rhyl,15.6,Denbigh,Dee Valley Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AD,Yes,53.183875,-3.418757,305289,366138,SJ052661,1/1/1980 12:00:00 AM,,95,3,2,Rhyl,15.7,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AE,Yes,53.180540,-3.421983,305066,365771,SJ050657,5/1/2009 12:00:00 AM,,124,14,5,Rhyl,16.0,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AF,No,53.183813,-3.418888,305280,366131,SJ052661,1/1/1980 12:00:00 AM,5/1/2011 12:00:00 AM,96,,,Rhyl,15.7,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AG,Yes,53.184111,-3.418555,305303,366164,SJ053661,1/1/1980 12:00:00 AM,,92,,,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AH,Yes,53.184366,-3.417754,305357,366191,SJ053661,1/1/1980 12:00:00 AM,,88,26,15,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AJ,No,53.184454,-3.417114,305400,366200,SJ053661,1/1/1983 12:00:00 AM,12/1/1994 12:00:00 AM,83,,,Rhyl,15.6,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AL,Yes,53.188214,-3.412180,305738,366612,SJ057666,3/1/2017 12:00:00 AM,,98,,,Rhyl,15.3,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3AN,No,53.184457,-3.417623,305366,366201,SJ053662,1/1/1980 12:00:00 AM,7/1/2004 12:00:00 AM,87,,,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AP,Yes,53.185028,-3.416296,305456,366263,SJ054662,1/1/1980 12:00:00 AM,,77,45,13,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AQ,No,53.185027,-3.416564,305438,366263,SJ054662,3/1/1982 12:00:00 AM,6/1/1997 12:00:00 AM,79,,,Rhyl,15.6,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AR,Yes,53.184818,-3.416797,305422,366240,SJ054662,1/1/1980 12:00:00 AM,,81,,,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AS,No,53.183307,-3.421401,305111,366078,SJ051660,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,98,,,Rhyl,15.7,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AT,Yes,53.186538,-3.417064,305408,366432,SJ054664,2/1/2019 12:00:00 AM,,75,,,Rhyl,15.4,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AU,Yes,53.185877,-3.414453,305581,366355,SJ055663,1/1/1980 12:00:00 AM,,68,32,15,Rhyl,15.5,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AW,Yes,53.187187,-3.411607,305774,366497,SJ057664,12/1/1997 12:00:00 AM,,58,,,Rhyl,15.5,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3AX,Yes,53.184460,-3.414930,305546,366198,SJ055661,10/1/2022 12:00:00 AM,,71,,,Rhyl,15.7,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3AY,Yes,53.185547,-3.415159,305533,366319,SJ055663,1/1/1980 12:00:00 AM,,71,,,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BA,No,53.183917,-3.418264,305322,366142,SJ053661,2/1/2024 12:00:00 AM,4/1/2024 12:00:00 AM,95,,,Rhyl,15.7,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BB,No,53.186703,-3.412474,305715,366444,SJ057664,1/1/1980 12:00:00 AM,8/1/2015 12:00:00 AM,60,,,Rhyl,15.5,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BD,Yes,53.183901,-3.418263,305322,366140,SJ053661,1/1/1980 12:00:00 AM,,93,,,Rhyl,15.7,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BE,Yes,53.184328,-3.417184,305395,366186,SJ053661,1/1/1980 12:00:00 AM,,84,32,21,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BF,No,53.184343,-3.417186,305395,366188,SJ053661,2/1/2024 12:00:00 AM,4/1/2024 12:00:00 AM,85,,,Rhyl,15.6,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BG,No,53.192004,-3.408966,305961,367029,SJ059670,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,60,,,Rhyl,15.0,Denbigh,,,Denbighshire,Denbigh Lower,
LL16 3BH,No,53.185287,-3.414927,305548,366290,SJ055662,2/1/2024 12:00:00 AM,4/1/2024 12:00:00 AM,75,,,Rhyl,15.6,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BJ,No,53.184454,-3.417114,305400,366200,SJ053661,8/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,83,,,Rhyl,15.6,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BL,No,53.183538,-3.418580,305300,366100,SJ053660,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,98,,,Rhyl,15.7,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BN,No,53.184437,-3.418610,305300,366200,SJ052662,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,94,,,Rhyl,15.6,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BQ,No,53.183142,-3.418657,305294,366056,SJ052660,4/1/2006 12:00:00 AM,2/1/2009 12:00:00 AM,105,,,Rhyl,15.7,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BS,Yes,53.186378,-3.412344,305723,366408,SJ057664,1/1/1980 12:00:00 AM,,60,45,16,Rhyl,15.5,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BT,Yes,53.184416,-3.416529,305439,366195,SJ054661,1/1/1980 12:00:00 AM,,80,3,1,Rhyl,15.7,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BU,No,53.185371,-3.415647,305500,366300,SJ055663,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,74,,,Rhyl,15.6,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BW,Yes,53.185272,-3.414926,305548,366288,SJ055662,1/1/1980 12:00:00 AM,,70,63,19,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BX,No,53.185389,-3.414151,305600,366300,SJ056663,2/1/1990 12:00:00 AM,12/1/1990 12:00:00 AM,66,,,Rhyl,15.6,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BY,Yes,53.185808,-3.412863,305687,366345,SJ056663,1/1/1980 12:00:00 AM,,62,12,10,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3BZ,No,53.185389,-3.414151,305600,366300,SJ056663,1/1/1991 12:00:00 AM,12/1/1991 12:00:00 AM,66,,,Rhyl,15.6,Denbigh,,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3DA,Yes,53.186881,-3.413422,305652,366465,SJ056664,1/1/1980 12:00:00 AM,,63,17,0,Rhyl,15.5,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3DB,Yes,53.183895,-3.417081,305401,366138,SJ054661,1/1/1980 12:00:00 AM,,86,61,26,Rhyl,15.7,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3DD,Yes,53.184355,-3.415450,305511,366187,SJ055661,1/1/1980 12:00:00 AM,,72,25,14,Rhyl,15.7,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3DE,Yes,53.185717,-3.412232,305729,366334,SJ057663,1/1/1980 12:00:00 AM,,60,84,34,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3DF,Yes,53.186881,-3.411088,305808,366462,SJ058664,1/1/1980 12:00:00 AM,,56,3,2,Rhyl,15.5,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DG,Yes,53.187042,-3.410449,305851,366479,SJ058664,1/1/1995 12:00:00 AM,,55,3,1,Rhyl,15.5,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DH,Yes,53.186967,-3.409923,305886,366470,SJ058664,1/1/1980 12:00:00 AM,,55,38,14,Rhyl,15.5,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DJ,Yes,53.190758,-3.406890,306097,366888,SJ060668,1/1/1980 12:00:00 AM,,58,32,12,Rhyl,15.2,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DL,Yes,53.187431,-3.410238,305866,366522,SJ058665,1/1/1980 12:00:00 AM,,55,29,11,Rhyl,15.5,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DN,Yes,53.187161,-3.410962,305817,366493,SJ058664,1/1/1980 12:00:00 AM,,56,22,8,Rhyl,15.5,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DP,Yes,53.188822,-3.409699,305905,366676,SJ059666,1/1/1980 12:00:00 AM,,59,11,6,Rhyl,15.3,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DQ,Yes,53.190849,-3.405470,306192,366896,SJ061668,1/1/1980 12:00:00 AM,,55,99,38,Rhyl,15.2,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DR,Yes,53.185112,-3.409398,305917,366263,SJ059662,10/1/2003 12:00:00 AM,,54,,,Rhyl,15.7,Denbigh,Dee Valley Water,,Denbighshire,Denbigh Lower,
LL16 3DS,Yes,53.188649,-3.409828,305896,366657,SJ058666,1/1/1980 12:00:00 AM,,59,6,2,Rhyl,15.4,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DT,Yes,53.188035,-3.410796,305830,366590,SJ058665,1/1/1980 12:00:00 AM,,57,43,21,Rhyl,15.4,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DU,Yes,53.190538,-3.409786,305903,366867,SJ059668,5/1/1994 12:00:00 AM,,59,53,24,Rhyl,15.2,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DW,Yes,53.188182,-3.410338,305861,366606,SJ058666,1/1/1980 12:00:00 AM,,57,15,6,Rhyl,15.4,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DX,Yes,53.191297,-3.407101,306084,366948,SJ060669,1/1/1980 12:00:00 AM,,59,26,9,Rhyl,15.1,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DY,Yes,53.189619,-3.409920,305892,366765,SJ058667,1/1/1980 12:00:00 AM,,59,56,19,Rhyl,15.3,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3DZ,Yes,53.190134,-3.405896,306162,366817,SJ061668,1/1/1980 12:00:00 AM,,56,28,10,Rhyl,15.3,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3EA,No,53.189817,-3.412187,305741,366790,SJ057667,1/1/1980 12:00:00 AM,7/1/2010 12:00:00 AM,62,,,Rhyl,15.2,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3EB,Yes,53.186926,-3.406524,306113,366461,SJ061664,1/1/1993 12:00:00 AM,,53,10,10,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3ED,Yes,53.188444,-3.411244,305801,366636,SJ058666,1/1/1980 12:00:00 AM,,59,52,26,Rhyl,15.3,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3EE,Yes,53.188951,-3.410692,305839,366692,SJ058666,1/1/1980 12:00:00 AM,,60,3,1,Rhyl,15.3,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3EF,Yes,53.189118,-3.410997,305819,366711,SJ058667,1/1/1980 12:00:00 AM,,60,17,8,Rhyl,15.3,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3EG,Yes,53.189638,-3.411074,305815,366769,SJ058667,1/1/1980 12:00:00 AM,,61,84,29,Rhyl,15.2,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3EH,Yes,53.186691,-3.410498,305847,366440,SJ058664,1/1/1980 12:00:00 AM,,56,37,22,Rhyl,15.5,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3EJ,Yes,53.184511,-3.413883,305616,366202,SJ056662,5/1/2004 12:00:00 AM,,66,11,4,Rhyl,15.7,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3EL,Yes,53.186434,-3.410670,305835,366412,SJ058664,1/1/1980 12:00:00 AM,,57,21,11,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3EN,Yes,53.183379,-3.414594,305566,366077,SJ055660,1/1/1980 12:00:00 AM,,68,59,0,Rhyl,15.8,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3EP,Yes,53.184285,-3.413232,305659,366176,SJ056661,1/1/1980 12:00:00 AM,,64,14,7,Rhyl,15.7,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Caledfryn Henllan,
LL16 3EQ,Yes,53.190318,-3.404541,306253,366836,SJ062668,1/1/1980 12:00:00 AM,,55,4,2,Rhyl,15.3,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3ER,Yes,53.187043,-3.407336,306059,366475,SJ060664,1/1/1980 12:00:00 AM,,52,109,51,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3ES,Yes,53.186024,-3.409877,305887,366365,SJ058663,1/1/1980 12:00:00 AM,,56,,,Rhyl,15.6,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3ET,Yes,53.189910,-3.407370,306063,366794,SJ060667,7/1/2005 12:00:00 AM,,58,165,56,Rhyl,15.3,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
LL16 3EU,Yes,53.185402,-3.404664,306234,366289,SJ062662,1/1/1980 12:00:00 AM,,52,54,19,Rhyl,15.8,Denbigh,Dwr Cymru Welsh Water,,Denbighshire,Denbigh Lower,
