Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
G67 4FD,No,55.924806,-4.003625,274900,672006,NS748720,9/1/2007 12:00:00 AM,2/1/2009 12:00:00 AM,97,,,Greenfaulds,1.3,,Scottish Water,,North Lanarkshire,"Gartcosh, Glenboig and Moodiesburn",
G67 4FE,Yes,55.921262,-4.013468,274274,671629,NS742716,5/1/2021 12:00:00 AM,,100,,,Greenfaulds,2.0,,Scottish Water,,North Lanarkshire,"Gartcosh, Glenboig and Moodiesburn",
G67 4GZ,Yes,55.911743,-4.017143,274013,670577,NS740705,3/1/2007 12:00:00 AM,,123,5,1,Greenfaulds,3.0,,Scottish Water,,North Lanarkshire,"Gartcosh, Glenboig and Moodiesburn",
G67 4HB,Yes,55.926437,-4.019050,273942,672215,NS739722,1/1/1980 12:00:00 AM,,84,4,2,Greenfaulds,1.9,,Scottish Water,,North Lanarkshire,"Gartcosh, Glenboig and Moodiesburn",
G67 4HD,Yes,55.921454,-4.032180,273105,671685,NS731716,1/1/1980 12:00:00 AM,,97,11,3,Greenfaulds,2.9,,Scottish Water,,North Lanarkshire,"Gartcosh, Glenboig and Moodiesburn",
G67 4HE,Yes,55.914512,-4.017358,274009,670885,NS740708,1/1/1980 12:00:00 AM,,111,12,6,Greenfaulds,2.8,,Scottish Water,,North Lanarkshire,"Gartcosh, Glenboig and Moodiesburn",
G67 4HG,Yes,55.908988,-4.024072,273571,670283,NS735702,1/1/1980 12:00:00 AM,,119,11,4,Greenfaulds,3.5,,Scottish Water,,North Lanarkshire,"Gartcosh, Glenboig and Moodiesburn",
G67 4HH,Yes,55.920039,-4.041629,272510,671545,NS725715,1/1/1980 12:00:00 AM,,92,6,2,Greenfaulds,3.5,,Scottish Water,,North Lanarkshire,"Gartcosh, Glenboig and Moodiesburn",
G67 4HJ,Yes,55.921224,-4.047645,272138,671688,NS721716,1/1/1980 12:00:00 AM,,75,1,1,Greenfaulds,3.7,,Scottish Water,,North Lanarkshire,"Gartcosh, Glenboig and Moodiesburn",
G67 4HL,Yes,55.921101,-4.049687,272010,671678,NS720716,1/1/1980 12:00:00 AM,,72,22,11,Greenfaulds,3.9,,Scottish Water,,North Lanarkshire,"Gartcosh, Glenboig and Moodiesburn",
G67 4HN,Yes,55.921073,-4.053494,271772,671682,NS717716,1/1/1980 12:00:00 AM,,75,73,29,Croy,4.0,,Scottish Water,,North Lanarkshire,"Gartcosh, Glenboig and Moodiesburn",
G67 4HP,Yes,55.918219,-4.051663,271877,671361,NS718713,1/1/1980 12:00:00 AM,,80,13,3,Gartcosh,4.0,,Scottish Water,,North Lanarkshire,"Gartcosh, Glenboig and Moodiesburn",
G67 4HQ,Yes,55.915746,-4.033024,273034,671051,NS730710,1/1/1980 12:00:00 AM,,102,3,2,Greenfaulds,3.3,,Scottish Water,,North Lanarkshire,"Gartcosh, Glenboig and Moodiesburn",
