Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CO1 1AA,Yes,51.890906,0.900864,599712,225349,TL997253,6/1/2016 12:00:00 AM,,37,,,Colchester Town,0.6,Colchester,,,Colchester,Castle,Abbey
CO1 1AE,No,51.889519,0.916094,600766,225237,TM007252,6/1/2001 12:00:00 AM,7/1/2002 12:00:00 AM,7,,,Colchester Town,0.8,Colchester,,,Colchester,Castle,Parsons Heath and East Gates
CO1 1AF,No,51.887917,0.894683,599300,225000,TL993250,1/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,34,,,Colchester Town,0.7,Colchester,,,Colchester,Castle,Abbey
CO1 1AG,Yes,51.898868,0.896623,599385,226223,TL993262,6/1/2002 12:00:00 AM,,17,75,39,Colchester,0.3,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1AH,Yes,51.898193,0.897001,599414,226149,TL994261,6/1/2002 12:00:00 AM,,15,35,13,Colchester,0.4,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1AJ,Yes,51.898482,0.896235,599360,226179,TL993261,6/1/2002 12:00:00 AM,,16,81,38,Colchester,0.4,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1AL,No,51.887871,0.896540,599428,225000,TL994249,12/1/2000 12:00:00 AM,7/1/2001 12:00:00 AM,35,,,Colchester Town,0.6,Colchester,,,Colchester,Castle,Abbey
CO1 1AN,Yes,51.898336,0.897417,599442,226166,TL994261,6/1/2002 12:00:00 AM,,16,9,6,Colchester,0.4,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1AP,Yes,51.898820,0.898931,599544,226224,TL995262,10/1/2003 12:00:00 AM,,15,121,61,Colchester,0.5,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1AQ,Yes,51.892732,0.900502,599679,225551,TL996255,7/1/2020 12:00:00 AM,,35,,,Colchester Town,0.8,Colchester,,,Colchester,Castle,Abbey
CO1 1AR,No,51.892615,0.900029,599647,225537,TL996255,12/1/2001 12:00:00 AM,3/1/2010 12:00:00 AM,12,,,Colchester Town,0.8,Colchester,,,Colchester,Castle,Abbey
CO1 1AS,No,51.891153,0.896577,599416,225365,TL994253,12/1/1995 12:00:00 AM,3/1/2009 12:00:00 AM,25,,,Colchester Town,0.8,Colchester,,,Colchester,Castle,Abbey
CO1 1AT,Yes,51.897294,0.901028,599695,226060,TL996260,8/1/2014 12:00:00 AM,,12,,,Colchester,0.7,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1AU,Yes,51.898300,0.897778,599467,226163,TL994261,6/1/2008 12:00:00 AM,,16,31,19,Colchester,0.4,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1AW,Yes,51.898250,0.898357,599507,226159,TL995261,5/1/2008 12:00:00 AM,,15,44,21,Colchester,0.5,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1AX,No,51.889519,0.916094,600766,225237,TM007252,12/1/2000 12:00:00 AM,1/1/2006 12:00:00 AM,7,,,Colchester Town,0.8,Colchester,,,Colchester,Castle,Parsons Heath and East Gates
CO1 1AY,No,51.887917,0.894683,599300,225000,TL993250,12/1/1998 12:00:00 AM,6/1/1999 12:00:00 AM,34,,,Colchester Town,0.7,Colchester,,,Colchester,Castle,Abbey
CO1 1AZ,Yes,51.888965,0.901887,599791,225136,TL997251,8/1/2020 12:00:00 AM,,10,,,Colchester Town,0.3,Colchester,,,Colchester,Castle,Abbey
CO1 1BA,No,51.890812,0.898009,599516,225331,TL995253,1/1/1980 12:00:00 AM,12/1/2015 12:00:00 AM,30,,,Colchester Town,0.7,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1BB,No,51.889790,0.896053,599386,225212,TL993252,12/1/1997 12:00:00 AM,6/1/2024 12:00:00 AM,36,,,Colchester Town,0.7,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1BD,No,51.889519,0.916094,600766,225237,TM007252,6/1/1999 12:00:00 AM,8/1/2007 12:00:00 AM,7,,,Colchester Town,0.8,Colchester,,,Colchester,Castle,Parsons Heath and East Gates
CO1 1BE,Yes,51.889910,0.902617,599837,225243,TL998252,6/1/2008 12:00:00 AM,,31,22,17,Colchester Town,0.4,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1BG,Yes,51.898597,0.895224,599290,226189,TL992261,6/1/2001 12:00:00 AM,,15,27,15,Colchester,0.3,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1BH,No,51.898772,0.904918,599956,226235,TL999262,7/1/1983 12:00:00 AM,2/1/2007 12:00:00 AM,10,,,Colchester,0.9,Colchester,,,Colchester,Castle,Abbey
CO1 1BJ,No,51.898772,0.904918,599956,226235,TL999262,7/1/1983 12:00:00 AM,2/1/2007 12:00:00 AM,10,,,Colchester,0.9,Colchester,,,Colchester,Castle,Abbey
CO1 1BL,No,51.898772,0.904918,599956,226235,TL999262,7/1/1983 12:00:00 AM,2/1/2007 12:00:00 AM,10,,,Colchester,0.9,Colchester,,,Colchester,Castle,Abbey
CO1 1BN,No,51.898931,0.907662,600144,226260,TM001262,7/1/1983 12:00:00 AM,10/1/2023 12:00:00 AM,11,,,Colchester,1.1,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1BP,No,51.898920,0.907631,600142,226259,TM001262,7/1/1983 12:00:00 AM,10/1/2023 12:00:00 AM,11,,,Colchester,1.0,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1BQ,Yes,51.893309,0.899231,599589,225612,TL995256,12/1/1999 12:00:00 AM,,10,84,50,Colchester Town,0.9,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1BS,No,51.898772,0.904918,599956,226235,TL999262,1/1/1992 12:00:00 AM,2/1/2007 12:00:00 AM,10,,,Colchester,0.9,Colchester,,,Colchester,Castle,Abbey
CO1 1BT,No,51.893001,0.898600,599547,225576,TL995255,1/1/1995 12:00:00 AM,6/1/1998 12:00:00 AM,11,,,Colchester Town,0.8,Colchester,,,Colchester,Castle,Abbey
CO1 1BU,No,51.898911,0.907631,600142,226258,TM001262,2/1/1984 12:00:00 AM,10/1/2023 12:00:00 AM,11,,,Colchester,1.0,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1BW,No,51.898931,0.907662,600144,226260,TM001262,5/1/2011 12:00:00 AM,10/1/2023 12:00:00 AM,11,,,Colchester,1.1,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1BX,Yes,51.898986,0.900731,599667,226247,TL996262,2/1/1984 12:00:00 AM,,12,6,2,Colchester,0.6,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1BY,Yes,51.893250,0.898355,599529,225603,TL995256,12/1/2000 12:00:00 AM,,10,64,37,Colchester Town,0.9,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1BZ,Yes,51.892183,0.895655,599348,225477,TL993254,5/1/2003 12:00:00 AM,,17,6,4,Colchester Town,0.9,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1DA,Yes,51.889334,0.897158,599464,225164,TL994251,1/1/1980 12:00:00 AM,,38,,,Colchester Town,0.6,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1DB,Yes,51.889436,0.898371,599547,225179,TL995251,1/1/1980 12:00:00 AM,,37,,,Colchester Town,0.5,Colchester,Anglian Water,,Colchester,Castle,Abbey
CO1 1DD,No,51.889323,0.897128,599462,225163,TL994251,1/1/1980 12:00:00 AM,3/1/2002 12:00:00 AM,38,,,Colchester Town,0.6,Colchester,,,Colchester,Castle,Abbey
CO1 1DE,No,51.888743,0.897643,599500,225100,TL994250,1/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,37,,,Colchester Town,0.6,Colchester,,,Colchester,Castle,Abbey
CO1 1DF,Yes,51.889055,0.900308,599682,225142,TL996251,1/1/1980 12:00:00 AM,,37,,,Colchester Town,0.4,Colchester,Anglian Water,,Colchester,Castle,Abbey
