Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HD1 1UH,No,53.655657,-1.818395,412100,417700,SE120176,4/1/1986 12:00:00 AM,12/1/1990 12:00:00 AM,200,,,Huddersfield,2.4,Huddersfield,,,Kirklees,Lindley,
HD1 1UZ,No,53.642170,-1.815428,412300,416200,SE122161,4/1/1986 12:00:00 AM,12/1/1990 12:00:00 AM,119,,,Lockwood,1.3,Huddersfield,,,Kirklees,Golcar,
HD1 1WB,No,53.642170,-1.815428,412300,416200,SE122161,5/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,119,,,Lockwood,1.3,Huddersfield,,,Kirklees,Golcar,
HD1 1WD,No,53.642170,-1.815428,412300,416200,SE122161,5/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,119,,,Lockwood,1.3,Huddersfield,,,Kirklees,Golcar,
HD1 1WF,No,53.642170,-1.815428,412300,416200,SE122161,5/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,119,,,Lockwood,1.3,Huddersfield,,,Kirklees,Golcar,
HD1 1WH,No,53.642170,-1.815428,412300,416200,SE122161,5/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,119,,,Lockwood,1.3,Huddersfield,,,Kirklees,Golcar,
HD1 1WJ,No,53.642170,-1.815428,412300,416200,SE122161,3/1/1988 12:00:00 AM,12/1/1991 12:00:00 AM,119,,,Lockwood,1.3,Huddersfield,,,Kirklees,Golcar,
HD1 1WL,No,53.642170,-1.815428,412300,416200,SE122161,8/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,119,,,Lockwood,1.3,Huddersfield,,,Kirklees,Golcar,
HD1 1WR,No,53.642170,-1.815428,412300,416200,SE122161,5/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,119,,,Lockwood,1.3,Huddersfield,,,Kirklees,Golcar,
HD1 1WT,No,53.642170,-1.815428,412300,416200,SE122161,7/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,119,,,Lockwood,1.3,Huddersfield,,,Kirklees,Golcar,
HD1 1XH,No,53.639481,-1.819977,412000,415900,SE119159,7/1/1986 12:00:00 AM,12/1/1990 12:00:00 AM,92,,,Lockwood,1.4,Huddersfield,,,Kirklees,Golcar,
HD1 4NN,No,53.656514,-1.820343,411971,417795,SE119177,2/1/1990 12:00:00 AM,8/1/2002 12:00:00 AM,204,,,Huddersfield,2.5,Huddersfield,,,Kirklees,Lindley,
HD1 4YL,No,53.643067,-1.813911,412400,416300,SE124163,7/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,128,,,Lockwood,1.3,Huddersfield,,,Kirklees,Golcar,
HD2 2AS,Yes,53.664375,-1.812183,412508,418671,SE125186,6/1/1996 12:00:00 AM,,159,94,30,Huddersfield,2.5,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2AT,Yes,53.664547,-1.813151,412444,418690,SE124186,6/1/1996 12:00:00 AM,,162,18,7,Huddersfield,2.6,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2AU,Yes,53.665219,-1.811256,412569,418765,SE125187,12/1/1998 12:00:00 AM,,145,17,5,Huddersfield,2.6,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2BX,Yes,53.660678,-1.806314,412897,418261,SE128182,1/1/1980 12:00:00 AM,,151,14,2,Huddersfield,2.0,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2BY,Yes,53.660961,-1.807522,412817,418292,SE128182,1/1/1980 12:00:00 AM,,153,47,17,Huddersfield,2.0,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2BZ,Yes,53.661991,-1.805338,412961,418407,SE129184,1/1/1980 12:00:00 AM,,143,29,8,Huddersfield,2.0,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2DA,Yes,53.662139,-1.808001,412785,418423,SE127184,1/1/1980 12:00:00 AM,,152,14,6,Huddersfield,2.2,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2DB,Yes,53.662731,-1.808650,412742,418489,SE127184,1/1/1980 12:00:00 AM,,151,21,10,Huddersfield,2.2,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2DD,Yes,53.665472,-1.806594,412877,418794,SE128187,1/1/1980 12:00:00 AM,,131,22,8,Huddersfield,2.4,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2DE,Yes,53.663279,-1.812339,412498,418549,SE124185,1/1/2006 12:00:00 AM,,165,7,3,Huddersfield,2.5,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2DF,Yes,53.661420,-1.807732,412803,418343,SE128183,1/1/1980 12:00:00 AM,,152,39,16,Huddersfield,2.1,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2DG,Yes,53.664494,-1.813423,412426,418684,SE124186,6/1/1981 12:00:00 AM,,164,54,21,Huddersfield,2.6,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2DH,Yes,53.664784,-1.814709,412341,418716,SE123187,1/1/1983 12:00:00 AM,,166,27,10,Huddersfield,2.7,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2DJ,Yes,53.663448,-1.805680,412938,418569,SE129185,1/1/1983 12:00:00 AM,,136,85,29,Huddersfield,2.2,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2DN,Yes,53.663678,-1.814623,412347,418593,SE123185,1/1/1980 12:00:00 AM,,175,30,10,Huddersfield,2.6,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
HD2 2DP,Yes,53.662503,-1.810512,412619,418463,SE126184,1/1/1980 12:00:00 AM,,158,2,1,Huddersfield,2.3,Huddersfield,Yorkshire Water,,Kirklees,Lindley,
