Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CW1 4PG,No,53.125953,-2.436562,370884,358843,SJ708588,1/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,52,,,Sandbach,3.9,,,,Cheshire East,Brereton Rural,
CW1 4PH,Yes,53.128469,-2.436438,370894,359123,SJ708591,1/1/1980 12:00:00 AM,,50,5,2,Sandbach,3.7,,United Utilities,,Cheshire East,Brereton Rural,
CW1 4PJ,Yes,53.130746,-2.433068,371121,359375,SJ711593,1/1/1980 12:00:00 AM,,51,2,1,Sandbach,3.4,,United Utilities,,Cheshire East,Brereton Rural,
CW1 4PL,Yes,53.131960,-2.433544,371090,359510,SJ710595,1/1/1980 12:00:00 AM,,52,1,1,Sandbach,3.3,,United Utilities,,Cheshire East,Brereton Rural,
CW1 4PN,Yes,53.132806,-2.447393,370164,359610,SJ701596,1/1/1980 12:00:00 AM,,52,21,8,Sandbach,4.1,,United Utilities,,Cheshire East,Brereton Rural,
CW1 4PQ,Yes,53.126429,-2.438778,370736,358897,SJ707588,1/1/1980 12:00:00 AM,,50,16,5,Sandbach,4.0,,United Utilities,,Cheshire East,Brereton Rural,
CW1 4PW,Yes,53.126903,-2.444597,370347,358952,SJ703589,1/1/1980 12:00:00 AM,,52,8,3,Crewe,4.2,,United Utilities,,Cheshire East,Brereton Rural,
CW1 4QN,Yes,53.127207,-2.428011,371457,358979,SJ714589,3/1/2009 12:00:00 AM,,48,12,5,Sandbach,3.4,,United Utilities,,Cheshire East,Brereton Rural,
CW10 0GS,Yes,53.169838,-2.402750,373174,363712,SJ731637,7/1/2019 12:00:00 AM,,48,,,Sandbach,2.3,,,,Cheshire East,Brereton Rural,
CW10 0HE,Yes,53.172140,-2.423087,371816,363976,SJ718639,1/1/1980 12:00:00 AM,,44,12,5,Sandbach,3.1,Middlewich,United Utilities,,Cheshire East,Brereton Rural,
CW10 0HF,Yes,53.171510,-2.418368,372131,363904,SJ721639,1/1/1980 12:00:00 AM,,45,10,4,Sandbach,2.9,Middlewich,United Utilities,,Cheshire East,Brereton Rural,
CW10 0HG,Yes,53.158355,-2.437069,370872,362448,SJ708624,1/1/1980 12:00:00 AM,,50,5,2,Sandbach,3.0,,United Utilities,,Cheshire East,Brereton Rural,
CW10 0HH,Yes,53.167020,-2.422709,371838,363406,SJ718634,1/1/1980 12:00:00 AM,,51,30,13,Sandbach,2.7,,United Utilities,,Cheshire East,Brereton Rural,
CW10 0HJ,Yes,53.162013,-2.437541,370843,362855,SJ708628,1/1/1980 12:00:00 AM,,50,16,5,Sandbach,3.2,,United Utilities,,Cheshire East,Brereton Rural,
CW10 0HQ,Yes,53.157573,-2.444749,370358,362364,SJ703623,1/1/1980 12:00:00 AM,,44,10,5,Sandbach,3.5,,United Utilities,,Cheshire East,Brereton Rural,
CW10 0LA,Yes,53.169358,-2.393427,373797,363655,SJ737636,1/1/1980 12:00:00 AM,,56,42,16,Sandbach,2.1,,United Utilities,,Cheshire East,Brereton Rural,
CW10 0LB,Yes,53.167253,-2.399061,373419,363423,SJ734634,1/1/1980 12:00:00 AM,,51,1,1,Sandbach,1.9,,United Utilities,,Cheshire East,Brereton Rural,
CW10 0LE,Yes,53.170125,-2.405684,372978,363745,SJ729637,1/1/1980 12:00:00 AM,,44,7,2,Sandbach,2.4,,United Utilities,,Cheshire East,Brereton Rural,
CW10 0RJ,Yes,53.173014,-2.435139,371011,364078,SJ710640,2/1/2023 12:00:00 AM,,43,,,Sandbach,3.8,Middlewich,,,Cheshire East,Brereton Rural,
CW10 0RU,Yes,53.172242,-2.434667,371042,363992,SJ710639,2/1/2023 12:00:00 AM,,44,,,Sandbach,3.7,Middlewich,,,Cheshire East,Brereton Rural,
CW10 0RX,Yes,53.172169,-2.435115,371012,363984,SJ710639,3/1/2023 12:00:00 AM,,43,,,Sandbach,3.7,Middlewich,,,Cheshire East,Brereton Rural,
CW10 0RY,Yes,53.172174,-2.433829,371098,363984,SJ710639,4/1/2023 12:00:00 AM,,45,,,Sandbach,3.6,Middlewich,,,Cheshire East,Brereton Rural,
CW10 0RZ,Yes,53.171479,-2.434390,371060,363907,SJ710639,4/1/2023 12:00:00 AM,,45,,,Sandbach,3.6,Middlewich,,,Cheshire East,Brereton Rural,
CW10 9BF,Yes,53.217935,-2.393393,373829,369059,SJ738690,3/1/2016 12:00:00 AM,,55,,,Holmes Chapel,3.5,,,,Cheshire East,Dane Valley,
CW10 9LP,Yes,53.214020,-2.394660,373742,368624,SJ737686,1/1/1980 12:00:00 AM,,54,26,10,Holmes Chapel,3.3,,United Utilities,,Cheshire East,Dane Valley,
CW10 9LR,Yes,53.212440,-2.385885,374327,368445,SJ743684,1/1/1980 12:00:00 AM,,56,14,7,Holmes Chapel,2.8,,United Utilities,,Cheshire East,Dane Valley,
CW10 9LS,Yes,53.215627,-2.400124,373378,368805,SJ733688,1/1/1980 12:00:00 AM,,51,6,2,Holmes Chapel,3.8,,United Utilities,,Cheshire East,Dane Valley,
CW10 9LT,Yes,53.217245,-2.397713,373540,368984,SJ735689,1/1/1980 12:00:00 AM,,53,6,4,Holmes Chapel,3.7,,United Utilities,,Cheshire East,Dane Valley,
CW10 9LU,Yes,53.218764,-2.387170,374245,369149,SJ742691,1/1/1980 12:00:00 AM,,58,23,9,Holmes Chapel,3.3,,United Utilities,,Cheshire East,Dane Valley,
CW10 9LW,Yes,53.212309,-2.401128,373309,368436,SJ733684,1/1/1980 12:00:00 AM,,51,32,12,Holmes Chapel,3.6,,United Utilities,,Cheshire East,Dane Valley,
