Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CV1 1FP,No,52.381624,-1.460987,436786,276091,SP367760,1/1/1980 12:00:00 AM,12/1/2018 12:00:00 AM,84,,,Coventry,4.1,Coventry,Severn Trent,,Coventry,Binley and Willenhall,
CV1 1PX,No,52.381624,-1.460987,436786,276091,SP367760,6/1/2006 12:00:00 AM,6/1/2016 12:00:00 AM,85,,,Coventry,4.1,Coventry,,,Coventry,Binley and Willenhall,
CV1 1QJ,No,52.381740,-1.460838,436796,276104,SP367761,5/1/2008 12:00:00 AM,5/1/2014 12:00:00 AM,85,,,Coventry,4.2,Coventry,,,Coventry,Binley and Willenhall,
CV1 1QY,No,52.381624,-1.460987,436786,276091,SP367760,1/1/1993 12:00:00 AM,12/1/2018 12:00:00 AM,85,,,Coventry,4.1,Coventry,Severn Trent,,Coventry,Binley and Willenhall,
CV1 1WX,Yes,52.381739,-1.460800,436799,276104,SP367761,8/1/2008 12:00:00 AM,,85,,,Coventry,4.2,Coventry,Severn Trent,,Coventry,Binley and Willenhall,
CV1 1YT,Yes,52.381739,-1.460800,436799,276104,SP367761,6/1/2002 12:00:00 AM,,84,,,Coventry,4.2,Coventry,Severn Trent,,Coventry,Binley and Willenhall,
CV1 1YX,Yes,52.381739,-1.460800,436799,276104,SP367761,12/1/1994 12:00:00 AM,,85,,,Coventry,4.2,Coventry,Severn Trent,,Coventry,Binley and Willenhall,
CV1 1ZA,Yes,52.381739,-1.460800,436799,276104,SP367761,6/1/2005 12:00:00 AM,,84,,,Coventry,4.2,Coventry,Severn Trent,,Coventry,Binley and Willenhall,
CV1 1ZJ,No,52.381624,-1.460987,436786,276091,SP367760,12/1/1998 12:00:00 AM,12/1/2019 12:00:00 AM,85,,,Coventry,4.1,Coventry,Severn Trent,,Coventry,Binley and Willenhall,
CV1 2RJ,No,52.381624,-1.460987,436786,276091,SP367760,3/1/1988 12:00:00 AM,7/1/2019 12:00:00 AM,84,,,Coventry,4.1,Coventry,Severn Trent,,Coventry,Binley and Willenhall,
CV1 2RT,No,52.381624,-1.460987,436786,276091,SP367760,4/1/1986 12:00:00 AM,12/1/2018 12:00:00 AM,84,,,Coventry,4.1,Coventry,Severn Trent,,Coventry,Binley and Willenhall,
CV1 2WD,No,52.381624,-1.460987,436786,276091,SP367760,3/1/2007 12:00:00 AM,12/1/2018 12:00:00 AM,85,,,Coventry,4.1,Coventry,Severn Trent,,Coventry,Binley and Willenhall,
CV1 2XP,No,52.433864,-1.493136,434557,281886,SP345818,9/1/2003 12:00:00 AM,9/1/2012 12:00:00 AM,98,,,Coventry Arena,1.5,Coventry,,,Coventry,Foleshill,
CV1 2ZD,No,52.381624,-1.460987,436786,276091,SP367760,8/1/2011 12:00:00 AM,12/1/2018 12:00:00 AM,85,,,Coventry,4.1,Coventry,Severn Trent,,Coventry,Binley and Willenhall,
CV1 4DS,Yes,52.421730,-1.506509,433657,280530,SP336805,1/1/1980 12:00:00 AM,,92,38,19,Coventry,2.4,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4DT,Yes,52.422203,-1.507769,433571,280582,SP335805,1/1/1980 12:00:00 AM,,96,95,34,Coventry,2.4,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4DW,Yes,52.423285,-1.508595,433514,280702,SP335807,1/1/1980 12:00:00 AM,,98,27,14,Coventry,2.5,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4EP,Yes,52.424980,-1.509708,433437,280890,SP334808,9/1/2013 12:00:00 AM,,99,,,Coventry,2.7,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4EY,Yes,52.416015,-1.507117,433620,279894,SP336798,1/1/1980 12:00:00 AM,,87,5,1,Coventry,1.7,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4EZ,Yes,52.415596,-1.507901,433567,279847,SP335798,1/1/1980 12:00:00 AM,,87,22,9,Coventry,1.7,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4FB,Yes,52.415808,-1.505229,433749,279872,SP337798,1/1/1980 12:00:00 AM,,88,,,Coventry,1.8,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4FH,No,52.414080,-1.506609,433656,279679,SP336796,1/1/1980 12:00:00 AM,8/1/2012 12:00:00 AM,86,,,Coventry,1.5,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4FL,Yes,52.415594,-1.503452,433870,279849,SP338798,1/1/1980 12:00:00 AM,,88,67,25,Coventry,1.8,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4FN,Yes,52.417669,-1.500747,434052,280081,SP340800,1/1/1980 12:00:00 AM,,91,86,34,Coventry,2.1,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4FP,Yes,52.418957,-1.499027,434168,280225,SP341802,1/1/1980 12:00:00 AM,,93,71,28,Coventry,2.2,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4FS,Yes,52.413455,-1.507828,433574,279609,SP335796,11/1/2011 12:00:00 AM,,88,,,Coventry,1.5,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4FX,No,52.416058,-1.504470,433800,279900,SP338799,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,89,,,Coventry,1.8,Coventry,,,Coventry,Foleshill,
CV1 4FZ,Yes,52.415302,-1.504332,433810,279816,SP338798,1/1/1980 12:00:00 AM,,88,42,13,Coventry,1.7,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GA,Yes,52.416409,-1.504657,433787,279939,SP337799,1/1/1980 12:00:00 AM,,90,31,13,Coventry,1.8,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GB,Yes,52.418101,-1.505021,433761,280127,SP337801,1/1/1983 12:00:00 AM,,89,43,35,Coventry,2.0,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GD,Yes,52.415776,-1.505738,433714,279868,SP337798,1/1/1980 12:00:00 AM,,87,34,14,Coventry,1.7,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GE,Yes,52.415554,-1.506505,433662,279843,SP336798,1/1/1980 12:00:00 AM,,85,5,3,Coventry,1.7,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GF,Yes,52.416027,-1.503559,433862,279897,SP338798,4/1/1985 12:00:00 AM,,90,23,15,Coventry,1.8,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GG,Yes,52.415556,-1.504946,433768,279844,SP337798,1/1/1980 12:00:00 AM,,88,62,30,Coventry,1.7,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GH,No,52.414604,-1.505148,433755,279738,SP337797,1/1/1980 12:00:00 AM,7/1/2010 12:00:00 AM,87,,,Coventry,1.6,Coventry,,,Coventry,Foleshill,
CV1 4GL,No,52.417955,-1.506625,433652,280110,SP336801,1/1/1980 12:00:00 AM,9/1/2003 12:00:00 AM,87,,,Coventry,2.0,Coventry,,,Coventry,Foleshill,
CV1 4GN,No,52.417624,-1.507026,433625,280073,SP336800,1/1/1980 12:00:00 AM,12/1/2023 12:00:00 AM,88,,,Coventry,1.9,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GP,Yes,52.417690,-1.505613,433721,280081,SP337800,1/1/1980 12:00:00 AM,,88,54,15,Coventry,1.9,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GQ,Yes,52.418303,-1.506048,433691,280149,SP336801,1/1/1980 12:00:00 AM,,88,160,49,Coventry,2.0,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GR,Yes,52.417119,-1.506649,433651,280017,SP336800,1/1/1980 12:00:00 AM,,88,55,22,Coventry,1.9,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GS,Yes,52.417027,-1.506194,433682,280007,SP336800,1/1/1980 12:00:00 AM,,88,86,31,Coventry,1.9,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GT,Yes,52.416222,-1.507071,433623,279917,SP336799,1/1/1980 12:00:00 AM,,88,15,6,Coventry,1.8,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GU,Yes,52.416887,-1.505143,433754,279992,SP337799,1/1/1980 12:00:00 AM,,90,91,37,Coventry,1.9,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GW,Yes,52.417520,-1.503674,433853,280063,SP338800,1/1/1980 12:00:00 AM,,91,41,11,Coventry,2.0,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GX,Yes,52.417559,-1.502416,433939,280068,SP339800,1/1/1980 12:00:00 AM,,91,19,12,Coventry,2.0,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4GY,Yes,52.417359,-1.502050,433964,280046,SP339800,1/1/1980 12:00:00 AM,,90,24,9,Coventry,2.0,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4HB,Yes,52.418919,-1.500762,434050,280220,SP340802,1/1/1980 12:00:00 AM,,91,80,24,Coventry,2.2,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4HD,Yes,52.418085,-1.501316,434013,280127,SP340801,1/1/1980 12:00:00 AM,,90,136,36,Coventry,2.1,Coventry,Severn Trent,,Coventry,Foleshill,
CV1 4HE,Yes,52.419078,-1.500010,434101,280238,SP341802,1/1/1980 12:00:00 AM,,92,49,16,Coventry,2.2,Coventry,Severn Trent,,Coventry,Foleshill,
