Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CV1 1AA,No,52.412218,-1.510776,433374,279470,SP333794,2/1/1990 12:00:00 AM,5/1/2012 12:00:00 AM,89,,,Coventry,1.3,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1AB,No,52.409802,-1.513361,433200,279200,SP331792,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,87,,,Coventry,1.0,Coventry,,,Coventry,St Michael's,
CV1 1AD,No,52.406977,-1.510731,433381,278887,SP333788,1/1/1980 12:00:00 AM,8/1/2009 12:00:00 AM,93,,,Coventry,0.7,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1AE,No,52.411594,-1.511871,433300,279400,SP332794,2/1/1990 12:00:00 AM,1/1/1995 12:00:00 AM,87,,,Coventry,1.2,Coventry,,,Coventry,St Michael's,
CV1 1AF,No,52.412218,-1.510776,433374,279470,SP333794,1/1/1993 12:00:00 AM,6/1/2008 12:00:00 AM,89,,,Coventry,1.3,Coventry,,,Coventry,St Michael's,
CV1 1AH,Yes,52.410296,-1.509392,433470,279257,SP334792,10/1/2017 12:00:00 AM,,82,,,Coventry,1.1,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1AJ,Yes,52.411966,-1.510829,433371,279442,SP333794,10/1/2018 12:00:00 AM,,85,,,Coventry,1.3,Coventry,,,Coventry,St Michael's,
CV1 1AL,Yes,52.411396,-1.512232,433276,279378,SP332793,11/1/2020 12:00:00 AM,,83,,,Coventry,1.2,Coventry,,,Coventry,St Michael's,
CV1 1AN,Yes,52.411396,-1.512232,433276,279378,SP332793,1/1/2021 12:00:00 AM,,83,,,Coventry,1.2,Coventry,,,Coventry,St Michael's,
CV1 1AP,Yes,52.411396,-1.512232,433276,279378,SP332793,11/1/2020 12:00:00 AM,,83,,,Coventry,1.2,Coventry,,,Coventry,St Michael's,
CV1 1AQ,Yes,52.411396,-1.512232,433276,279378,SP332793,11/1/2020 12:00:00 AM,,83,,,Coventry,1.2,Coventry,,,Coventry,St Michael's,
CV1 1AR,Yes,52.411801,-1.510169,433416,279424,SP334794,11/1/2022 12:00:00 AM,,83,,,Coventry,1.2,Coventry,,,Coventry,St Michael's,
CV1 1BA,No,52.408891,-1.510431,433400,279100,SP333791,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,93,,,Coventry,0.9,Coventry,,,Coventry,St Michael's,
CV1 1BB,No,52.408891,-1.510431,433400,279100,SP333791,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,93,,,Coventry,0.9,Coventry,,,Coventry,St Michael's,
CV1 1DA,No,52.409216,-1.510868,433370,279136,SP333791,1/1/1980 12:00:00 AM,5/1/2013 12:00:00 AM,92,,,Coventry,0.9,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1DD,Yes,52.407753,-1.511860,433304,278973,SP333789,1/1/1980 12:00:00 AM,,93,,,Coventry,0.8,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1DE,Yes,52.408338,-1.511686,433315,279038,SP333790,1/1/1980 12:00:00 AM,,93,,,Coventry,0.8,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1DF,Yes,52.406859,-1.513002,433227,278873,SP332788,1/1/1980 12:00:00 AM,,89,,,Coventry,0.7,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1DG,Yes,52.406180,-1.513695,433180,278797,SP331787,1/1/1980 12:00:00 AM,,87,,,Coventry,0.6,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1DJ,No,52.407111,-1.514860,433100,278900,SP331789,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,86,,,Coventry,0.7,Coventry,,,Coventry,St Michael's,
CV1 1DL,Yes,52.407177,-1.513434,433197,278908,SP331789,1/1/1980 12:00:00 AM,,90,84,0,Coventry,0.7,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1DN,Yes,52.407638,-1.514164,433147,278959,SP331789,5/1/2002 12:00:00 AM,,88,,,Coventry,0.8,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1DP,No,52.407861,-1.513720,433177,278984,SP331789,1/1/1980 12:00:00 AM,12/1/2001 12:00:00 AM,89,,,Coventry,0.8,Coventry,,,Coventry,St Michael's,
CV1 1DQ,No,52.408004,-1.513381,433200,279000,SP331790,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,90,,,Coventry,0.8,Coventry,,,Coventry,St Michael's,
CV1 1DR,No,52.407894,-1.515116,433082,278987,SP330789,1/1/1980 12:00:00 AM,10/1/2001 12:00:00 AM,87,,,Coventry,0.8,Coventry,,,Coventry,St Michael's,
CV1 1DS,Yes,52.408033,-1.514371,433133,279003,SP331790,1/1/1980 12:00:00 AM,,89,,,Coventry,0.8,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1DT,No,52.407564,-1.513591,433186,278951,SP331789,1/1/1980 12:00:00 AM,6/1/2009 12:00:00 AM,90,,,Coventry,0.8,Coventry,,,Coventry,St Michael's,
CV1 1DU,No,52.408058,-1.511322,433340,279007,SP333790,1/1/1980 12:00:00 AM,5/1/2002 12:00:00 AM,94,,,Coventry,0.8,Coventry,,,Coventry,St Michael's,
CV1 1DW,No,52.408426,-1.513273,433207,279047,SP332790,1/1/1980 12:00:00 AM,8/1/2001 12:00:00 AM,90,,,Coventry,0.8,Coventry,,,Coventry,St Michael's,
CV1 1DX,Yes,52.408409,-1.513838,433169,279045,SP331790,1/1/1980 12:00:00 AM,,89,,,Coventry,0.8,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1DY,Yes,52.404299,-1.515303,433072,278587,SP330785,1/1/1980 12:00:00 AM,,89,,,Coventry,0.4,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1DZ,No,52.404326,-1.515273,433074,278590,SP330785,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,89,,,Coventry,0.4,Coventry,,,Coventry,St Michael's,
CV1 1EA,No,52.407129,-1.512640,433251,278903,SP332789,1/1/1980 12:00:00 AM,7/1/2023 12:00:00 AM,90,1,1,Coventry,0.7,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1EB,No,52.407129,-1.512640,433251,278903,SP332789,6/1/1981 12:00:00 AM,8/1/2003 12:00:00 AM,90,,,Coventry,0.7,Coventry,,,Coventry,St Michael's,
CV1 1ED,No,52.405174,-1.513867,433169,278685,SP331786,10/1/2004 12:00:00 AM,3/1/2009 12:00:00 AM,87,,,Coventry,0.5,Coventry,,,Coventry,St Michael's,
CV1 1EE,No,52.405505,-1.513423,433199,278722,SP331787,1/1/1980 12:00:00 AM,6/1/2024 12:00:00 AM,87,,,Coventry,0.5,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1EG,No,52.407302,-1.515358,433066,278921,SP330789,1/1/1980 12:00:00 AM,4/1/2002 12:00:00 AM,86,,,Coventry,0.7,Coventry,,,Coventry,St Michael's,
CV1 1EH,No,52.407715,-1.515236,433074,278967,SP330789,1/1/1980 12:00:00 AM,8/1/2003 12:00:00 AM,87,,,Coventry,0.8,Coventry,,,Coventry,St Michael's,
CV1 1EJ,Yes,52.404905,-1.514105,433153,278655,SP331786,6/1/1999 12:00:00 AM,,88,,,Coventry,0.5,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1EL,No,52.404727,-1.514548,433123,278635,SP331786,12/1/1998 12:00:00 AM,8/1/2003 12:00:00 AM,88,,,Coventry,0.4,Coventry,,,Coventry,St Michael's,
CV1 1EN,No,52.404414,-1.514890,433100,278600,SP330786,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,89,,,Coventry,0.4,Coventry,,,Coventry,St Michael's,
CV1 1EP,No,52.404414,-1.514890,433100,278600,SP330786,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,89,,,Coventry,0.4,Coventry,,,Coventry,St Michael's,
CV1 1EQ,No,52.405146,-1.513706,433180,278682,SP331786,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,87,,,Coventry,0.5,Coventry,,,Coventry,St Michael's,
CV1 1ER,No,52.408909,-1.514841,433100,279100,SP330791,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,86,,,Coventry,0.9,Coventry,,,Coventry,St Michael's,
CV1 1ES,No,52.409171,-1.510898,433368,279131,SP333791,1/1/1980 12:00:00 AM,4/1/2008 12:00:00 AM,92,,,Coventry,0.9,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1ET,Yes,52.404727,-1.514548,433123,278635,SP331786,12/1/1998 12:00:00 AM,,88,,,Coventry,0.4,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1EU,Yes,52.404727,-1.514548,433123,278635,SP331786,12/1/1998 12:00:00 AM,,88,,,Coventry,0.4,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1EW,No,52.403515,-1.514900,433100,278500,SP330785,1/1/1980 12:00:00 AM,12/1/1983 12:00:00 AM,93,,,Coventry,0.3,Coventry,,,Coventry,St Michael's,
CV1 1EX,Yes,52.405163,-1.513697,433181,278684,SP331786,1/1/1980 12:00:00 AM,,87,1,1,Coventry,0.5,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1EY,Yes,52.404387,-1.515175,433081,278597,SP330785,1/1/1980 12:00:00 AM,,89,12,2,Coventry,0.4,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1EZ,No,52.408303,-1.511892,433301,279034,SP333790,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,93,,,Coventry,0.8,Coventry,,,Coventry,St Michael's,
CV1 1FB,No,52.408891,-1.510431,433400,279100,SP333791,1/1/1980 12:00:00 AM,12/1/1982 12:00:00 AM,93,,,Coventry,0.9,Coventry,,,Coventry,St Michael's,
CV1 1FD,Yes,52.409143,-1.510904,433368,279128,SP333791,1/1/1980 12:00:00 AM,,92,,,Coventry,0.9,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1FE,Yes,52.409370,-1.508911,433503,279154,SP335791,9/1/2002 12:00:00 AM,,89,14,7,Coventry,1.0,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1FF,No,52.412218,-1.510776,433374,279470,SP333794,1/1/1993 12:00:00 AM,4/1/2002 12:00:00 AM,89,,,Coventry,1.3,Coventry,,,Coventry,St Michael's,
CV1 1FG,No,52.408891,-1.510431,433400,279100,SP333791,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,93,,,Coventry,0.9,Coventry,,,Coventry,St Michael's,
CV1 1FH,No,52.409790,-1.510421,433400,279200,SP333792,4/1/1985 12:00:00 AM,12/1/1994 12:00:00 AM,88,,,Coventry,1.0,Coventry,,,Coventry,St Michael's,
CV1 1FJ,Yes,52.409749,-1.509589,433457,279196,SP334791,1/1/1980 12:00:00 AM,,86,,,Coventry,1.0,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1FL,Yes,52.409533,-1.509174,433485,279172,SP334791,1/1/1980 12:00:00 AM,,87,78,2,Coventry,1.0,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1FN,Yes,52.410249,-1.510680,433382,279251,SP333792,1/1/1980 12:00:00 AM,,86,,,Coventry,1.1,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1FQ,Yes,52.407534,-1.510696,433383,278949,SP333789,1/1/1980 12:00:00 AM,,95,,,Coventry,0.8,Coventry,Severn Trent,,Coventry,St Michael's,
CV1 1FR,No,52.410725,-1.512748,433241,279303,SP332793,8/1/2003 12:00:00 AM,5/1/2010 12:00:00 AM,86,,,Coventry,1.1,Coventry,,,Coventry,St Michael's,
