Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
RH10 0AA,No,51.117177,-0.188479,526889,136881,TQ268368,5/1/2008 12:00:00 AM,1/1/2009 12:00:00 AM,71,,,Crawley,0.6,Crawley (Crawley),,,Crawley,Three Bridges,Northgate & West Green
RH10 0AB,No,51.117177,-0.188479,526889,136881,TQ268368,5/1/2008 12:00:00 AM,6/1/2012 12:00:00 AM,71,,,Crawley,0.6,Crawley (Crawley),,,Crawley,Three Bridges,Northgate & West Green
RH10 0AD,No,51.117177,-0.188479,526889,136881,TQ268368,8/1/2009 12:00:00 AM,6/1/2011 12:00:00 AM,71,,,Crawley,0.6,Crawley (Crawley),,,Crawley,Three Bridges,Northgate & West Green
RH10 0AE,No,51.116858,-0.188177,526911,136846,TQ269368,5/1/2008 12:00:00 AM,7/1/2017 12:00:00 AM,71,,,Crawley,0.5,Crawley (Crawley),,,Crawley,Three Bridges,Northgate & West Green
RH10 0AF,No,51.117177,-0.188479,526889,136881,TQ268368,5/1/2008 12:00:00 AM,7/1/2010 12:00:00 AM,71,,,Crawley,0.6,Crawley (Crawley),,,Crawley,Three Bridges,Northgate & West Green
RH10 0AG,Yes,51.116858,-0.188177,526911,136846,TQ269368,6/1/2008 12:00:00 AM,,71,,,Crawley,0.5,Crawley (Crawley),Thames Water,,Crawley,Three Bridges,Northgate & West Green
RH10 0AH,No,51.117177,-0.188479,526889,136881,TQ268368,10/1/2013 12:00:00 AM,7/1/2015 12:00:00 AM,71,,,Crawley,0.6,Crawley (Crawley),,,Crawley,Three Bridges,Northgate & West Green
RH10 0AJ,No,51.117177,-0.188479,526889,136881,TQ268368,6/1/2008 12:00:00 AM,7/1/2011 12:00:00 AM,71,,,Crawley,0.6,Crawley (Crawley),,,Crawley,Three Bridges,Northgate & West Green
RH10 0AL,No,51.117177,-0.188479,526889,136881,TQ268368,7/1/2008 12:00:00 AM,8/1/2009 12:00:00 AM,71,,,Crawley,0.6,Crawley (Crawley),,,Crawley,Three Bridges,Northgate & West Green
RH10 0AN,No,51.117177,-0.188479,526889,136881,TQ268368,8/1/2008 12:00:00 AM,8/1/2010 12:00:00 AM,71,,,Crawley,0.6,Crawley (Crawley),,,Crawley,Three Bridges,Northgate & West Green
