Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CW1 1AA,No,53.089331,-2.431667,371187,354767,SJ711547,2/1/1990 12:00:00 AM,12/1/1995 12:00:00 AM,57,,,Crewe,0.1,Crewe,,,Cheshire East,Crewe East,
CW1 1AB,No,53.094937,-2.425257,371620,355388,SJ716553,1/1/1992 12:00:00 AM,12/1/1995 12:00:00 AM,49,,,Crewe,0.8,Crewe,,,Cheshire East,Crewe East,
CW1 1AD,No,53.088730,-2.431467,371200,354700,SJ711547,7/1/1990 12:00:00 AM,12/1/1995 12:00:00 AM,56,,,Crewe,0.1,Crewe,,,Cheshire East,Crewe East,
CW1 1AE,No,53.085859,-2.429900,371303,354380,SJ713543,1/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,56,,,Crewe,0.5,Crewe,,,Cheshire East,Crewe East,
CW1 1AF,No,53.093349,-2.426764,371518,355212,SJ715552,1/1/1992 12:00:00 AM,12/1/1995 12:00:00 AM,52,,,Crewe,0.6,Crewe,,,Cheshire East,Crewe East,
CW1 1AG,No,53.097903,-2.404527,373010,355710,SJ730557,7/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,58,,,Crewe,2.1,Haslington,,,Cheshire East,Haslington,
CW1 1AH,No,53.088730,-2.431467,371200,354700,SJ711547,7/1/1990 12:00:00 AM,12/1/1995 12:00:00 AM,56,,,Crewe,0.1,Crewe,,,Cheshire East,Crewe East,
CW1 1AJ,No,53.097903,-2.404527,373010,355710,SJ730557,7/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,58,,,Crewe,2.1,Haslington,,,Cheshire East,Haslington,
CW1 1AL,No,53.097695,-2.405078,372973,355687,SJ729556,1/1/1993 12:00:00 AM,12/1/1995 12:00:00 AM,56,,,Crewe,2.1,Haslington,,,Cheshire East,Haslington,
CW1 1AN,No,53.093349,-2.426764,371518,355212,SJ715552,8/1/1993 12:00:00 AM,12/1/1995 12:00:00 AM,52,,,Crewe,0.6,Crewe,,,Cheshire East,Crewe East,
CW1 1AP,No,53.088730,-2.431467,371200,354700,SJ711547,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,56,,,Crewe,0.1,Crewe,,,Cheshire East,Crewe East,
CW1 1AQ,No,53.093349,-2.426764,371518,355212,SJ715552,1/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,52,,,Crewe,0.6,Crewe,,,Cheshire East,Crewe East,
CW1 1AR,No,53.088059,-2.430415,371270,354625,SJ712546,8/1/1993 12:00:00 AM,12/1/1995 12:00:00 AM,55,,,Crewe,0.2,Crewe,,,Cheshire East,Crewe East,
CW1 1AS,No,53.088730,-2.431467,371200,354700,SJ711547,2/1/1990 12:00:00 AM,12/1/1995 12:00:00 AM,56,,,Crewe,0.1,Crewe,,,Cheshire East,Crewe East,
CW1 1AT,No,53.093349,-2.426764,371518,355212,SJ715552,2/1/1990 12:00:00 AM,12/1/1995 12:00:00 AM,52,,,Crewe,0.6,Crewe,,,Cheshire East,Crewe East,
CW1 1AU,No,53.094937,-2.425257,371620,355388,SJ716553,2/1/1990 12:00:00 AM,12/1/1995 12:00:00 AM,49,,,Crewe,0.8,Crewe,,,Cheshire East,Crewe East,
CW1 1AW,No,53.088730,-2.431467,371200,354700,SJ711547,8/1/1993 12:00:00 AM,12/1/1995 12:00:00 AM,56,,,Crewe,0.1,Crewe,,,Cheshire East,Crewe East,
CW1 1AX,No,53.093349,-2.426764,371518,355212,SJ715552,5/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,52,,,Crewe,0.6,Crewe,,,Cheshire East,Crewe East,
CW1 1AY,No,53.088730,-2.431467,371200,354700,SJ711547,1/1/1991 12:00:00 AM,12/1/1994 12:00:00 AM,56,,,Crewe,0.1,Crewe,,,Cheshire East,Crewe East,
CW1 1AZ,No,53.089331,-2.431667,371187,354767,SJ711547,7/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,57,,,Crewe,0.1,Crewe,,,Cheshire East,Crewe East,
CW1 1BA,No,53.089771,-2.429536,371330,354815,SJ713548,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,56,,,Crewe,0.2,Crewe,,,Cheshire East,Crewe East,
