Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CR0 1BE,Yes,51.366889,-0.098767,532449,164807,TQ324648,1/1/1980 12:00:00 AM,,52,39,16,South Croydon,0.6,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1BF,Yes,51.365648,-0.098747,532454,164669,TQ324646,1/1/1980 12:00:00 AM,,50,12,5,South Croydon,0.5,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1BG,Yes,51.364477,-0.098623,532466,164539,TQ324645,1/1/1980 12:00:00 AM,,51,41,21,South Croydon,0.4,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1BJ,Yes,51.363856,-0.098031,532509,164471,TQ325644,1/1/1980 12:00:00 AM,,51,24,10,South Croydon,0.3,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1BP,Yes,51.366836,-0.094402,532753,164809,TQ327648,1/1/1980 12:00:00 AM,,64,101,50,South Croydon,0.4,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1BZ,Yes,51.367067,-0.098645,532457,164827,TQ324648,6/1/2009 12:00:00 AM,,52,24,12,South Croydon,0.6,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1EL,Yes,51.367361,-0.097929,532506,164861,TQ325648,1/1/1980 12:00:00 AM,,55,125,47,South Croydon,0.6,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1EN,Yes,51.366855,-0.097737,532521,164805,TQ325648,1/1/1980 12:00:00 AM,,54,65,36,South Croydon,0.5,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1EP,Yes,51.364405,-0.098037,532507,164532,TQ325645,1/1/1980 12:00:00 AM,,51,52,27,South Croydon,0.4,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1EQ,Yes,51.365031,-0.097838,532519,164602,TQ325646,1/1/1980 12:00:00 AM,,52,52,23,South Croydon,0.4,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1ES,Yes,51.366160,-0.097605,532532,164728,TQ325647,1/1/1980 12:00:00 AM,,53,57,25,South Croydon,0.5,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1ET,Yes,51.364618,-0.098444,532478,164555,TQ324645,1/1/1980 12:00:00 AM,,51,15,7,South Croydon,0.4,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1EU,Yes,51.364870,-0.097328,532555,164585,TQ325645,1/1/1980 12:00:00 AM,,53,43,21,South Croydon,0.3,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1EW,Yes,51.363928,-0.096907,532587,164481,TQ325644,1/1/1980 12:00:00 AM,,55,126,78,South Croydon,0.3,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1EY,Yes,51.366304,-0.097053,532570,164745,TQ325647,1/1/1980 12:00:00 AM,,55,83,39,South Croydon,0.4,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1EZ,Yes,51.363312,-0.096660,532606,164413,TQ326644,1/1/1980 12:00:00 AM,,55,58,35,South Croydon,0.2,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1GN,Yes,51.367177,-0.098758,532449,164839,TQ324648,9/1/2019 12:00:00 AM,,50,,,South Croydon,0.6,Croydon,,,Croydon,South Croydon,
CR0 1HD,Yes,51.366474,-0.096417,532614,164765,TQ326647,1/1/1980 12:00:00 AM,,58,52,25,South Croydon,0.4,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HG,Yes,51.365062,-0.095898,532654,164609,TQ326646,1/1/1980 12:00:00 AM,,57,62,38,South Croydon,0.3,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HH,Yes,51.366843,-0.095939,532646,164807,TQ326648,1/1/1980 12:00:00 AM,,59,27,12,South Croydon,0.5,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HJ,Yes,51.362832,-0.095904,532660,164361,TQ326643,1/1/1980 12:00:00 AM,,56,15,7,South Croydon,0.2,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HL,Yes,51.365949,-0.095689,532666,164708,TQ326647,1/1/1980 12:00:00 AM,,57,67,39,South Croydon,0.4,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HN,Yes,51.365279,-0.095429,532686,164634,TQ326646,1/1/1980 12:00:00 AM,,58,38,23,South Croydon,0.3,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HP,Yes,51.364411,-0.095092,532712,164538,TQ327645,8/1/1992 12:00:00 AM,,61,53,32,South Croydon,0.2,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HQ,Yes,51.364022,-0.095510,532684,164494,TQ326644,1/1/1980 12:00:00 AM,,60,67,31,South Croydon,0.2,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HR,Yes,51.364306,-0.095872,532658,164525,TQ326645,1/1/1980 12:00:00 AM,,58,74,39,South Croydon,0.2,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HS,Yes,51.362907,-0.094996,532723,164371,TQ327643,1/1/1980 12:00:00 AM,,60,54,30,South Croydon,0.1,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HT,Yes,51.365842,-0.094662,532738,164698,TQ327646,1/1/1980 12:00:00 AM,,61,84,34,South Croydon,0.3,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HU,Yes,51.365848,-0.093868,532793,164700,TQ327647,1/1/1980 12:00:00 AM,,60,110,50,South Croydon,0.3,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HW,Yes,51.366558,-0.094945,532716,164777,TQ327647,1/1/1980 12:00:00 AM,,61,64,24,South Croydon,0.4,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HX,Yes,51.365063,-0.094263,532768,164612,TQ327646,1/1/1980 12:00:00 AM,,62,36,12,South Croydon,0.2,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1HZ,Yes,51.365206,-0.094771,532732,164627,TQ327646,12/1/1997 12:00:00 AM,,60,2,1,South Croydon,0.3,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1JT,Yes,51.363862,-0.094008,532789,164479,TQ327644,8/1/1992 12:00:00 AM,,63,24,14,South Croydon,0.1,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1JU,Yes,51.364103,-0.094415,532760,164505,TQ327645,8/1/1992 12:00:00 AM,,62,8,7,South Croydon,0.1,Croydon,Thames Water,,Croydon,South Croydon,
CR0 1LU,Yes,51.366085,-0.096318,532622,164722,TQ326647,2/1/2022 12:00:00 AM,,52,,,South Croydon,0.4,Croydon,,,Croydon,South Croydon,
CR0 5AZ,Yes,51.368560,-0.084848,533413,165018,TQ334650,4/1/2007 12:00:00 AM,,81,13,9,Lloyd Park,0.6,Croydon,Thames Water,,Croydon,Park Hill & Whitgift,
CR0 5BQ,Yes,51.367456,-0.083874,533484,164897,TQ334648,1/1/1995 12:00:00 AM,,79,37,16,Lloyd Park,0.4,Croydon,Thames Water,,Croydon,Park Hill & Whitgift,
CR0 5BT,No,51.364259,-0.079770,533779,164549,TQ337645,5/1/2008 12:00:00 AM,5/1/2011 12:00:00 AM,78,,,Lloyd Park,0.1,Croydon,,,Croydon,Park Hill & Whitgift,
CR0 5BW,Yes,51.371961,-0.088244,533167,165390,TQ331653,4/1/2017 12:00:00 AM,,74,,,Lebanon Road,0.4,Croydon,Thames Water,,Croydon,Park Hill & Whitgift,
CR0 5BZ,No,51.366115,-0.090958,532995,164735,TQ329647,11/1/2023 12:00:00 AM,2/1/2024 12:00:00 AM,63,,,South Croydon,0.4,Croydon,,,Croydon,South Croydon,
CR0 5DA,Yes,51.372832,-0.075015,534085,165511,TQ340655,1/1/1980 12:00:00 AM,,81,31,11,Sandilands,0.3,Croydon,Thames Water,,Croydon,Park Hill & Whitgift,
CR0 5DB,Yes,51.370342,-0.074487,534129,165235,TQ341652,1/1/1980 12:00:00 AM,,90,29,9,Sandilands,0.6,Croydon,Thames Water,,Croydon,Park Hill & Whitgift,
CR0 5DD,Yes,51.373213,-0.066996,534642,165568,TQ346655,1/1/1980 12:00:00 AM,,81,47,17,Sandilands,0.8,Croydon,Thames Water,,Croydon,Park Hill & Whitgift,
CR0 5DE,Yes,51.373352,-0.074332,534131,165570,TQ341655,1/1/1980 12:00:00 AM,,78,10,3,Sandilands,0.3,Croydon,Thames Water,,Croydon,Park Hill & Whitgift,
CR0 5DF,Yes,51.371378,-0.074084,534154,165351,TQ341653,1/1/1980 12:00:00 AM,,87,46,17,Sandilands,0.5,Croydon,Thames Water,,Croydon,Park Hill & Whitgift,
CR0 5DG,Yes,51.370485,-0.070631,534397,165258,TQ343652,1/1/1980 12:00:00 AM,,93,36,17,Sandilands,0.7,Croydon,Thames Water,,Croydon,Park Hill & Whitgift,
CR0 5DH,Yes,51.372754,-0.071915,534301,165508,TQ343655,1/1/1980 12:00:00 AM,,83,35,12,Sandilands,0.5,Croydon,Thames Water,,Croydon,Park Hill & Whitgift,
CR0 5DJ,Yes,51.369995,-0.070366,534417,165204,TQ344652,1/1/1980 12:00:00 AM,,94,55,20,Sandilands,0.8,Croydon,Thames Water,,Croydon,Park Hill & Whitgift,
CR0 5DL,Yes,51.373224,-0.072053,534290,165560,TQ342655,1/1/1980 12:00:00 AM,,81,34,12,Sandilands,0.5,Croydon,Thames Water,,Croydon,Park Hill & Whitgift,
CR0 5DN,Yes,51.373639,-0.067193,534627,165615,TQ346656,1/1/1980 12:00:00 AM,,79,45,16,Sandilands,0.8,Croydon,Thames Water,,Croydon,Park Hill & Whitgift,
