Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
RM1 1HA,No,51.567803,0.136884,548200,187600,TQ482875,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,18,,,Chadwell Heath,0.5,Barking and Dagenham,Essex & Suffolk Water,,Barking and Dagenham,Whalebone,
RM10 7AA,Yes,51.554173,0.168068,550406,186148,TQ504861,1/1/1980 12:00:00 AM,,15,69,30,Dagenham East,1.1,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Eastbrook & Rush Green,
RM10 7AB,Yes,51.555513,0.168059,550401,186297,TQ504862,1/1/1980 12:00:00 AM,,14,60,25,Dagenham East,1.3,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Eastbrook & Rush Green,
RM10 7AD,Yes,51.553726,0.166950,550330,186096,TQ503860,1/1/1980 12:00:00 AM,,14,29,10,Dagenham East,1.1,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Eastbrook & Rush Green,
RM10 7AE,Yes,51.560634,0.151740,549253,186833,TQ492868,1/1/1980 12:00:00 AM,,16,117,51,Chadwell Heath,1.8,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Heath,
RM10 7AF,Yes,51.560634,0.151740,549253,186833,TQ492868,1/1/1980 12:00:00 AM,,16,84,42,Chadwell Heath,1.8,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Heath,
RM10 7AG,Yes,51.559852,0.152208,549288,186747,TQ492867,1/1/1980 12:00:00 AM,,17,158,44,Chadwell Heath,1.8,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Heath,
RM10 7AH,Yes,51.553873,0.165818,550251,186110,TQ502861,1/1/1980 12:00:00 AM,,13,30,11,Dagenham East,1.1,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Eastbrook & Rush Green,
RM10 7AJ,Yes,51.554494,0.166785,550316,186181,TQ503861,1/1/1980 12:00:00 AM,,14,28,7,Dagenham East,1.1,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Eastbrook & Rush Green,
RM10 7AL,Yes,51.554602,0.165794,550247,186191,TQ502861,1/1/1980 12:00:00 AM,,13,45,14,Dagenham East,1.2,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Eastbrook & Rush Green,
RM10 7AP,Yes,51.555122,0.166353,550284,186250,TQ502862,1/1/1980 12:00:00 AM,,13,43,15,Dagenham East,1.2,Barking and Dagenham,Essex & Suffolk Water,Thames Water,Barking and Dagenham,Eastbrook & Rush Green,
