Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DL1 1AA,Yes,54.522095,-1.550751,429177,514182,NZ291141,2/1/1990 12:00:00 AM,,40,,,Darlington,0.3,Darlington,Northumbrian Water,,Darlington,Park East,
DL1 1AB,No,54.526580,-1.553266,429011,514680,NZ290146,3/1/1982 12:00:00 AM,4/1/2020 12:00:00 AM,50,,,Darlington,0.8,Darlington,Northumbrian Water,,Darlington,Park East,
DL1 1AD,No,54.523160,-1.551929,429100,514300,NZ290143,3/1/1982 12:00:00 AM,12/1/1990 12:00:00 AM,41,,,Darlington,0.4,Darlington,,,Darlington,Park East,
DL1 1AG,Yes,54.522935,-1.537656,430024,514281,NZ300142,3/1/2004 12:00:00 AM,,50,35,0,Darlington,0.7,Darlington,Northumbrian Water,,Darlington,Bank Top & Lascelles,
DL1 1AN,No,54.526580,-1.553266,429011,514680,NZ290146,10/1/1987 12:00:00 AM,4/1/2020 12:00:00 AM,50,,,Darlington,0.8,Darlington,Northumbrian Water,,Darlington,Park East,
DL1 1AQ,No,54.522095,-1.550751,429177,514182,NZ291141,12/1/1997 12:00:00 AM,11/1/2003 12:00:00 AM,40,,,Darlington,0.3,Darlington,,,Darlington,Park East,
DL1 1AR,No,54.528234,-1.513769,431566,514881,NZ315148,7/1/2005 12:00:00 AM,5/1/2016 12:00:00 AM,57,,,Darlington,2.3,Darlington,,,Darlington,Red Hall & Lingfield,
DL1 1AS,Yes,54.528246,-1.516875,431365,514881,NZ313148,4/1/2008 12:00:00 AM,,56,,,Darlington,2.1,Darlington,Northumbrian Water,,Darlington,Red Hall & Lingfield,
DL1 1AT,Yes,54.530324,-1.526493,430741,515108,NZ307151,5/1/2010 12:00:00 AM,,51,2,1,Darlington,1.7,Darlington,Northumbrian Water,,Darlington,Red Hall & Lingfield,
DL1 1AU,Yes,54.528123,-1.537622,430022,514858,NZ300148,3/1/2015 12:00:00 AM,,49,,,Darlington,1.1,Darlington,Northumbrian Water,,Darlington,Stephenson,
DL1 1AW,Yes,54.526958,-1.538655,429956,514728,NZ299147,7/1/2016 12:00:00 AM,,49,,,Darlington,0.9,Darlington,Northumbrian Water,,Darlington,Stephenson,
DL1 1AX,Yes,54.528394,-1.513335,431594,514899,NZ315148,8/1/2015 12:00:00 AM,,57,,,Darlington,2.4,Darlington,Northumbrian Water,,Darlington,Red Hall & Lingfield,
DL1 1AY,No,54.528405,-1.513344,431593,514900,NZ315149,1/1/2020 12:00:00 AM,4/1/2020 12:00:00 AM,56,,,Darlington,2.4,Darlington,,,Darlington,Red Hall & Lingfield,
DL1 1AZ,Yes,54.531563,-1.539607,429891,515240,NZ298152,7/1/2021 12:00:00 AM,,52,,,North Road (Darlington),1.1,Darlington,,,Darlington,Stephenson,
DL1 1BA,Yes,54.522669,-1.526906,430720,514256,NZ307142,1/1/1980 12:00:00 AM,,51,36,12,Darlington,1.3,Darlington,Northumbrian Water,,Darlington,Red Hall & Lingfield,
DL1 1BB,No,54.522167,-1.527221,430700,514200,NZ306142,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,51,,,Darlington,1.3,Darlington,,,Darlington,Eastbourne,
DL1 1BD,Yes,54.522194,-1.522771,430988,514205,NZ309142,1/1/1980 12:00:00 AM,,50,42,23,Darlington,1.6,Darlington,Northumbrian Water,,Darlington,Red Hall & Lingfield,
DL1 1BE,Yes,54.521803,-1.519361,431209,514163,NZ312141,1/1/1980 12:00:00 AM,,53,59,25,Darlington,1.8,Darlington,Northumbrian Water,,Darlington,Red Hall & Lingfield,
DL1 1BF,Yes,54.525551,-1.542039,429738,514570,NZ297145,4/1/2023 12:00:00 AM,,52,,,Darlington,0.7,Darlington,,,Darlington,Stephenson,
DL1 1BG,Yes,54.521992,-1.519452,431203,514184,NZ312141,1/1/1980 12:00:00 AM,,53,50,23,Darlington,1.8,Darlington,Northumbrian Water,,Darlington,Red Hall & Lingfield,
DL1 1BH,Yes,54.522289,-1.519556,431196,514217,NZ311142,1/1/1980 12:00:00 AM,,52,5,3,Darlington,1.8,Darlington,Northumbrian Water,,Darlington,Red Hall & Lingfield,
DL1 1BJ,Yes,54.522825,-1.520409,431140,514276,NZ311142,1/1/1980 12:00:00 AM,,51,59,27,Darlington,1.8,Darlington,Northumbrian Water,,Darlington,Red Hall & Lingfield,
DL1 1BL,Yes,54.523661,-1.520307,431146,514369,NZ311143,1/1/1980 12:00:00 AM,,52,22,10,Darlington,1.8,Darlington,Northumbrian Water,,Darlington,Red Hall & Lingfield,
DL1 1BN,Yes,54.522928,-1.519141,431222,514288,NZ312142,1/1/1980 12:00:00 AM,,52,91,39,Darlington,1.8,Darlington,Northumbrian Water,,Darlington,Red Hall & Lingfield,
DL1 1BP,No,54.523035,-1.519486,431200,514300,NZ311142,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,52,,,Darlington,1.8,Darlington,,,Darlington,Red Hall & Lingfield,
DL1 1BQ,Yes,54.523295,-1.521052,431098,514328,NZ310143,1/1/1980 12:00:00 AM,,51,92,43,Darlington,1.7,Darlington,Northumbrian Water,,Darlington,Red Hall & Lingfield,
DL1 1BW,Yes,54.523233,-1.518952,431234,514322,NZ312143,1/1/1980 12:00:00 AM,,53,73,33,Darlington,1.9,Darlington,Northumbrian Water,,Darlington,Red Hall & Lingfield,
