Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CV23 0AE,Yes,52.381895,-1.188805,455312,276294,SP553762,1/1/1980 12:00:00 AM,,100,,,Rugby,4.2,,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 0AQ,Yes,52.391825,-1.197411,454714,277392,SP547773,1/1/1980 12:00:00 AM,,122,25,8,Rugby,3.9,,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 0PG,Yes,52.385765,-1.176525,456143,276734,SP561767,5/1/2022 12:00:00 AM,,90,,,Rugby,5.1,,,,West Northamptonshire,Braunston and Crick,
CV23 0SP,Yes,52.387993,-1.176322,456154,276982,SP561769,1/1/1980 12:00:00 AM,,110,28,8,Rugby,5.1,,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 0SR,Yes,52.387649,-1.175857,456186,276944,SP561769,1/1/1980 12:00:00 AM,,111,21,10,Rugby,5.2,,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 0SS,Yes,52.386230,-1.176208,456164,276786,SP561767,1/1/1980 12:00:00 AM,,109,65,28,Rugby,5.1,,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 0ST,Yes,52.387583,-1.174110,456305,276938,SP563769,1/1/1980 12:00:00 AM,,111,12,7,Rugby,5.3,,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 0SU,Yes,52.388398,-1.174873,456252,277028,SP562770,1/1/1980 12:00:00 AM,,111,83,29,Rugby,5.2,,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 0SX,Yes,52.389137,-1.173831,456322,277111,SP563771,1/1/1980 12:00:00 AM,,109,61,29,Rugby,5.3,,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 0SY,Yes,52.387224,-1.172823,456393,276899,SP563768,1/1/1980 12:00:00 AM,,111,51,19,Rugby,5.3,,Anglian Water,Severn Trent,West Northamptonshire,Braunston and Crick,
CV23 0SZ,Yes,52.386275,-1.160602,457226,276803,SP572768,1/1/1980 12:00:00 AM,,113,23,6,Rugby,6.1,,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 0TE,Yes,52.386817,-1.176402,456150,276851,SP561768,1/1/1995 12:00:00 AM,,109,12,6,Rugby,5.1,,Anglian Water,Severn Trent,West Northamptonshire,Braunston and Crick,
CV23 0TF,Yes,52.389626,-1.174336,456287,277165,SP562771,10/1/2011 12:00:00 AM,,108,,,Rugby,5.3,,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 0TG,Yes,52.386605,-1.174393,456287,276829,SP562768,6/1/1998 12:00:00 AM,,110,22,8,Rugby,5.2,,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 0XX,Yes,52.389520,-1.181305,455813,277148,SP558771,4/1/2017 12:00:00 AM,,99,,,Rugby,4.8,,,,West Northamptonshire,Braunston and Crick,
CV23 8AJ,Yes,52.331017,-1.258608,450619,270584,SP506705,1/1/1980 12:00:00 AM,,90,1,1,Rugby,5.4,,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 8AL,Yes,52.323794,-1.249425,451253,269787,SP512697,1/1/1980 12:00:00 AM,,89,6,2,Rugby,6.1,Onley,Anglian Water,Anglian Water,West Northamptonshire,Braunston and Crick,
CV23 8AN,Yes,52.323769,-1.245406,451527,269787,SP515697,1/1/1980 12:00:00 AM,,90,133,54,Rugby,6.2,Onley,,,West Northamptonshire,Braunston and Crick,
CV23 8AP,Yes,52.326464,-1.247691,451368,270085,SP513700,1/1/1980 12:00:00 AM,,90,673,0,Rugby,5.9,Onley,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 8AW,Yes,52.324719,-1.246165,451474,269892,SP514698,1/1/1980 12:00:00 AM,,90,69,34,Rugby,6.0,Onley,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 8BF,Yes,52.333747,-1.177960,456111,270947,SP561709,3/1/2007 12:00:00 AM,,132,8,2,Rugby,7.0,Kilsby,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 8BQ,Yes,52.356984,-1.173373,456394,273535,SP563735,2/1/2015 12:00:00 AM,,102,,,Rugby,5.8,Rugby,,,West Northamptonshire,Braunston and Crick,
CV23 8FA,Yes,52.330221,-1.202326,454455,270536,SP544705,9/1/1981 12:00:00 AM,,144,26,10,Rugby,6.3,Barby,Anglian Water,,West Northamptonshire,Braunston and Crick,
CV23 8FF,No,52.329903,-1.203139,454400,270500,SP544705,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,145,,,Rugby,6.3,Barby,,,West Northamptonshire,Braunston and Crick,
CV23 8FH,No,52.329903,-1.203139,454400,270500,SP544705,7/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,145,,,Rugby,6.3,Barby,,,West Northamptonshire,Braunston and Crick,
CV23 8FJ,Yes,52.336523,-1.178966,456039,271255,SP560712,10/1/2018 12:00:00 AM,,145,,,Rugby,6.8,Kilsby,,,West Northamptonshire,Braunston and Crick,
CV23 8FL,No,52.329903,-1.203139,454400,270500,SP544705,1/1/1991 12:00:00 AM,5/1/1994 12:00:00 AM,145,,,Rugby,6.3,Barby,,,West Northamptonshire,Braunston and Crick,
