Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DE1 0AA,No,52.915040,-1.466139,435996,335424,SK359354,9/1/2005 12:00:00 AM,2/1/2006 12:00:00 AM,54,,,Derby,0.3,Derby,,,Derby,Arboretum,
DE1 0AB,No,52.915040,-1.466139,435996,335424,SK359354,9/1/2005 12:00:00 AM,10/1/2007 12:00:00 AM,54,,,Derby,0.3,Derby,,,Derby,Arboretum,
DE1 0AD,No,52.915040,-1.466139,435996,335424,SK359354,10/1/2005 12:00:00 AM,12/1/2010 12:00:00 AM,54,,,Derby,0.3,Derby,,,Derby,Arboretum,
DE1 0AE,No,52.915040,-1.466139,435996,335424,SK359354,10/1/2005 12:00:00 AM,11/1/2007 12:00:00 AM,54,,,Derby,0.3,Derby,,,Derby,Arboretum,
DE1 0AF,No,52.915040,-1.466139,435996,335424,SK359354,10/1/2005 12:00:00 AM,11/1/2006 12:00:00 AM,54,,,Derby,0.3,Derby,,,Derby,Arboretum,
DE1 0AG,No,52.915040,-1.466139,435996,335424,SK359354,10/1/2005 12:00:00 AM,11/1/2009 12:00:00 AM,54,,,Derby,0.3,Derby,,,Derby,Arboretum,
DE1 0AH,No,52.915040,-1.466139,435996,335424,SK359354,10/1/2005 12:00:00 AM,10/1/2009 12:00:00 AM,54,,,Derby,0.3,Derby,,,Derby,Arboretum,
DE1 0AJ,No,52.915040,-1.466139,435996,335424,SK359354,10/1/2005 12:00:00 AM,9/1/2009 12:00:00 AM,54,,,Derby,0.3,Derby,,,Derby,Arboretum,
DE1 0AL,No,52.915040,-1.466139,435996,335424,SK359354,1/1/2009 12:00:00 AM,9/1/2015 12:00:00 AM,54,,,Derby,0.3,Derby,,,Derby,Arboretum,
DE1 0AN,No,52.915040,-1.466139,435996,335424,SK359354,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,54,,,Derby,0.3,Derby,,,Derby,Arboretum,
DE1 0AP,No,52.915040,-1.466139,435996,335424,SK359354,11/1/2005 12:00:00 AM,2/1/2012 12:00:00 AM,54,,,Derby,0.3,Derby,,,Derby,Arboretum,
DE1 0AQ,No,52.914939,-1.465616,436031,335413,SK360354,9/1/2009 12:00:00 AM,10/1/2018 12:00:00 AM,54,,,Derby,0.2,Derby,,,Derby,Arboretum,
