Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DE13 9LY,Yes,52.863835,-1.678167,421764,329643,SK217296,1/1/1980 12:00:00 AM,,62,,,Tutbury and Hatton,0.3,Hatton (South Derbyshire),Severn Trent,,South Derbyshire,Hatton,Hilton
DE4 1AA,No,53.217634,-1.673202,421919,369003,SK219690,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,133,,,Grindleford,10.3,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AB,No,53.220543,-1.671937,422002,369327,SK220693,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,141,,,Grindleford,9.9,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AD,No,53.218738,-1.672400,421972,369126,SK219691,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,134,,,Grindleford,10.1,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AE,No,53.221560,-1.672544,421961,369440,SK219694,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,150,,,Grindleford,9.8,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AF,No,53.214911,-1.673508,421900,368700,SK218686,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,126,,,Grindleford,10.6,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AJ,No,53.220082,-1.670818,422077,369276,SK220692,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,143,,,Grindleford,9.9,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AL,No,53.221447,-1.670537,422095,369428,SK220694,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,148,,,Grindleford,9.8,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AN,No,53.222600,-1.671263,422046,369556,SK220695,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,149,,,Grindleford,9.7,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AP,No,53.224385,-1.673256,421912,369754,SK219697,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,162,,,Grindleford,9.5,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AQ,No,53.214330,-1.667897,422275,368637,SK222686,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,130,,,Grindleford,10.5,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AR,No,53.209058,-1.659957,422808,368053,SK228680,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,122,,,Matlock,10.3,,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AS,No,53.217867,-1.669756,422149,369030,SK221690,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,147,,,Grindleford,10.2,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AT,No,53.217522,-1.671781,422014,368991,SK220689,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,141,,,Grindleford,10.2,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AU,No,53.214911,-1.673508,421900,368700,SK218686,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,126,,,Grindleford,10.6,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AW,No,53.208339,-1.669710,422157,367970,SK221679,10/1/1985 12:00:00 AM,12/1/1992 12:00:00 AM,122,,,Matlock,10.7,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AX,No,53.209021,-1.675783,421751,368044,SK217680,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,145,,,Matlock,11.1,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AY,No,53.209252,-1.674928,421808,368070,SK218680,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,134,,,Matlock,11.0,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1AZ,No,53.208252,-1.674022,421869,367959,SK218679,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,140,,,Matlock,10.9,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
DE4 1BA,No,53.208425,-1.671730,422022,367979,SK220679,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,126,,,Matlock,10.8,Bakewell,,,Derbyshire Dales,Bakewell,Bakewell
