Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
OX10 0AA,No,51.599751,-1.125338,460678,189352,SU606893,1/1/1980 12:00:00 AM,7/1/2013 12:00:00 AM,51,,,Cholsey,4.0,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AB,Yes,51.600434,-1.122884,460847,189430,SU608894,1/1/1980 12:00:00 AM,,50,5,2,Cholsey,4.1,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AD,Yes,51.600067,-1.125181,460688,189387,SU606893,1/1/1980 12:00:00 AM,,51,,,Cholsey,4.0,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AE,No,51.600064,-1.125202,460687,189387,SU606893,1/1/1980 12:00:00 AM,1/1/2020 12:00:00 AM,51,,,Cholsey,4.0,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AF,Yes,51.598419,-1.123977,460774,189205,SU607892,8/1/2002 12:00:00 AM,,50,13,6,Cholsey,3.9,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AG,No,51.599281,-1.125029,460700,189300,SU606893,4/1/1985 12:00:00 AM,12/1/1994 12:00:00 AM,51,,,Cholsey,4.0,Wallingford,,,South Oxfordshire,Wallingford,Wallingford
OX10 0AH,No,51.600396,-1.124993,460701,189424,SU607894,1/1/1980 12:00:00 AM,4/1/2002 12:00:00 AM,51,,,Cholsey,4.1,Wallingford,,,South Oxfordshire,Wallingford,Wallingford
OX10 0AJ,Yes,51.600501,-1.124645,460725,189436,SU607894,1/1/1980 12:00:00 AM,,51,14,8,Cholsey,4.1,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AL,Yes,51.599052,-1.125331,460679,189274,SU606892,1/1/1980 12:00:00 AM,,51,2,2,Cholsey,3.9,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AN,Yes,51.599499,-1.125285,460682,189324,SU606893,1/1/1980 12:00:00 AM,,51,,,Cholsey,4.0,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AP,Yes,51.599165,-1.124021,460770,189288,SU607892,7/1/1983 12:00:00 AM,,51,14,9,Cholsey,4.0,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AQ,Yes,51.600504,-1.125063,460696,189436,SU606894,1/1/1980 12:00:00 AM,,51,6,6,Cholsey,4.1,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AR,Yes,51.598307,-1.125446,460672,189191,SU606891,1/1/1980 12:00:00 AM,,50,9,5,Cholsey,3.8,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AS,Yes,51.598482,-1.125261,460685,189211,SU606892,1/1/1980 12:00:00 AM,,50,,,Cholsey,3.9,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AT,Yes,51.598182,-1.124732,460722,189178,SU607891,1/1/1980 12:00:00 AM,,49,5,1,Cholsey,3.9,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AU,Yes,51.598434,-1.124347,460748,189206,SU607892,1/1/1980 12:00:00 AM,,50,2,1,Cholsey,3.9,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
OX10 0AW,Yes,51.616399,-1.160534,458219,191175,SU582911,4/1/2007 12:00:00 AM,,61,3,2,Cholsey,5.1,Brightwell-cum-Sotwell,Thames Water,,South Oxfordshire,Cholsey,Wallingford
OX10 0AX,Yes,51.597825,-1.123916,460779,189139,SU607891,1/1/1980 12:00:00 AM,,49,23,13,Cholsey,3.9,Wallingford,Thames Water,,South Oxfordshire,Wallingford,Wallingford
