Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CT13 0DH,Yes,51.253234,1.316961,631556,155679,TR315556,1/1/1980 12:00:00 AM,,18,20,5,Sandwich,2.6,,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0DJ,Yes,51.252636,1.311414,631172,155595,TR311555,1/1/1980 12:00:00 AM,,19,16,5,Sandwich,2.9,,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0DL,Yes,51.252749,1.308068,630938,155597,TR309555,1/1/1980 12:00:00 AM,,14,1,1,Sandwich,3.1,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0DN,Yes,51.250461,1.310985,631153,155352,TR311553,1/1/1980 12:00:00 AM,,11,8,4,Sandwich,3.1,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0DP,Yes,51.248459,1.309265,631043,155124,TR310551,1/1/1980 12:00:00 AM,,16,10,6,Sandwich,3.3,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0DQ,Yes,51.255286,1.319417,631717,155915,TR317559,1/1/1980 12:00:00 AM,,11,5,2,Sandwich,2.3,,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0DR,Yes,51.248169,1.308699,631005,155090,TR310550,1/1/1980 12:00:00 AM,,18,27,11,Sandwich,3.4,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0DS,Yes,51.247264,1.309824,631088,154993,TR310549,1/1/1980 12:00:00 AM,,21,65,37,Sandwich,3.4,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0DT,Yes,51.248341,1.307393,630913,155105,TR309551,1/1/1980 12:00:00 AM,,19,47,21,Sandwich,3.4,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0DU,Yes,51.249664,1.308363,630974,155255,TR309552,1/1/1980 12:00:00 AM,,13,16,9,Sandwich,3.3,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0DW,Yes,51.249355,1.309386,631047,155224,TR310552,1/1/1980 12:00:00 AM,,13,61,22,Sandwich,3.2,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0DX,Yes,51.250221,1.307700,630925,155315,TR309553,1/1/1980 12:00:00 AM,,10,11,4,Sandwich,3.3,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0DY,Yes,51.249735,1.306762,630862,155258,TR308552,1/1/1980 12:00:00 AM,,14,70,31,Sandwich,3.3,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0DZ,Yes,51.248936,1.305744,630795,155166,TR307551,1/1/1980 12:00:00 AM,,18,66,32,Sandwich,3.5,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0EA,Yes,51.252511,1.305270,630744,155562,TR307555,1/1/1980 12:00:00 AM,,13,4,2,Sandwich,3.2,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0EB,Yes,51.250079,1.305396,630765,155292,TR307552,1/1/1980 12:00:00 AM,,12,72,30,Sandwich,3.4,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0ED,Yes,51.249221,1.304575,630712,155194,TR307551,1/1/1980 12:00:00 AM,,17,11,5,Sandwich,3.5,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0EE,Yes,51.249325,1.303106,630609,155201,TR306552,1/1/1980 12:00:00 AM,,18,1,1,Sandwich,3.6,Eastry,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0EF,Yes,51.251683,1.298359,630266,155448,TR302554,1/1/1980 12:00:00 AM,,19,18,8,Sandwich,3.7,,Southern Water,,Dover,Eastry Rural,Sandwich
CT13 0ES,Yes,51.243242,1.283395,629264,154463,TR292544,1/1/1980 12:00:00 AM,,44,4,2,Sandwich,5.1,,Southern Water,,Dover,Eastry Rural,Sandwich
