Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SE19 1AA,Yes,51.420963,-0.086067,533176,170843,TQ331708,1/1/1980 12:00:00 AM,,91,80,39,Gipsy Hill,0.4,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AB,Yes,51.420564,-0.086458,533150,170798,TQ331707,1/1/1980 12:00:00 AM,,91,11,7,Gipsy Hill,0.5,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AE,Yes,51.421862,-0.087180,533096,170941,TQ330709,1/1/1980 12:00:00 AM,,84,161,88,Gipsy Hill,0.4,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AF,Yes,51.422651,-0.086471,533143,171030,TQ331710,1/1/1980 12:00:00 AM,,79,71,31,Gipsy Hill,0.3,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AG,Yes,51.422996,-0.086647,533130,171068,TQ331710,1/1/1980 12:00:00 AM,,76,3,2,Gipsy Hill,0.3,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AH,Yes,51.421778,-0.088076,533034,170930,TQ330709,1/1/1991 12:00:00 AM,,87,49,22,Gipsy Hill,0.4,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AJ,Yes,51.424067,-0.085595,533200,171189,TQ331711,1/1/1980 12:00:00 AM,,72,124,60,Gipsy Hill,0.1,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AL,Yes,51.423170,-0.086335,533151,171088,TQ331710,1/1/1980 12:00:00 AM,,76,49,24,Gipsy Hill,0.2,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AN,Yes,51.422672,-0.087754,533054,171030,TQ330710,1/1/1980 12:00:00 AM,,81,113,55,Gipsy Hill,0.3,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AP,Yes,51.423642,-0.084949,533246,171143,TQ332711,6/1/1981 12:00:00 AM,,76,114,40,Gipsy Hill,0.1,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AQ,Yes,51.423300,-0.086013,533173,171103,TQ331711,1/1/1980 12:00:00 AM,,76,49,29,Gipsy Hill,0.2,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AR,Yes,51.422743,-0.085518,533209,171042,TQ332710,6/1/1981 12:00:00 AM,,83,64,28,Gipsy Hill,0.2,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AT,Yes,51.420743,-0.086954,533115,170817,TQ331708,12/1/1997 12:00:00 AM,,89,35,16,Gipsy Hill,0.5,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AU,No,51.423188,-0.084133,533304,171094,TQ333710,1/1/1993 12:00:00 AM,6/1/2000 12:00:00 AM,81,,,Gipsy Hill,0.1,Lambeth,,,Lambeth,Gipsy Hill,
SE19 1AW,Yes,51.424116,-0.086413,533143,171193,TQ331711,1/1/1980 12:00:00 AM,,69,189,99,Gipsy Hill,0.2,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AX,Yes,51.424739,-0.086010,533169,171263,TQ331712,4/1/1985 12:00:00 AM,,68,16,5,Gipsy Hill,0.2,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1AY,No,51.421570,-0.090202,532887,170903,TQ328709,1/1/2023 12:00:00 AM,4/1/2023 12:00:00 AM,96,,,Gipsy Hill,0.5,Lambeth,,,Lambeth,Gipsy Hill,
SE19 1AZ,No,51.423290,-0.087063,533100,171100,TQ331710,12/1/1994 12:00:00 AM,6/1/1996 12:00:00 AM,74,,,Gipsy Hill,0.3,Lambeth,,,Lambeth,Gipsy Hill,
SE19 1DB,No,51.423329,-0.084516,533277,171109,TQ332711,5/1/1994 12:00:00 AM,6/1/1998 12:00:00 AM,79,,,Gipsy Hill,0.1,Lambeth,,,Lambeth,Gipsy Hill,
SE19 1DP,Yes,51.421645,-0.085420,533219,170920,TQ332709,1/1/1980 12:00:00 AM,,94,52,22,Gipsy Hill,0.3,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1DR,Yes,51.421959,-0.084314,533295,170957,TQ332709,1/1/1980 12:00:00 AM,,94,48,30,Gipsy Hill,0.3,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1DS,Yes,51.422237,-0.084809,533260,170987,TQ332709,1/1/1980 12:00:00 AM,,91,65,38,Gipsy Hill,0.3,Lambeth,Thames Water,,Lambeth,Gipsy Hill,
SE19 1DT,Yes,51.419755,-0.083702,533344,170713,TQ333707,1/1/1980 12:00:00 AM,,109,55,33,Gipsy Hill,0.5,Bromley,Thames Water,,Lambeth,Gipsy Hill,
