Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
RG1 1DD,Yes,51.431561,-0.971252,471613,170786,SU716707,10/1/1987 12:00:00 AM,,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 1GY,No,51.431561,-0.971252,471613,170786,SU716707,6/1/2000 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 1JF,Yes,51.431561,-0.971252,471613,170786,SU716707,2/1/1990 12:00:00 AM,,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 1SX,No,51.431561,-0.971252,471613,170786,SU716707,10/1/2005 12:00:00 AM,4/1/2017 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 1ZQ,No,51.431561,-0.971252,471613,170786,SU716707,8/1/2002 12:00:00 AM,11/1/2016 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 2FA,No,51.431346,-0.971429,471601,170762,SU716707,12/1/1997 12:00:00 AM,12/1/2015 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 2FB,No,51.431561,-0.971252,471613,170786,SU716707,6/1/1998 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 2FD,No,51.431346,-0.971429,471601,170762,SU716707,1/1/2014 12:00:00 AM,6/1/2015 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 2FG,No,51.431561,-0.971252,471613,170786,SU716707,6/1/2000 12:00:00 AM,9/1/2017 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 2JW,No,51.431561,-0.971252,471613,170786,SU716707,9/1/1981 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 2WX,No,51.431346,-0.971429,471601,170762,SU716707,7/1/2012 12:00:00 AM,4/1/2013 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 2WZ,No,51.431346,-0.971429,471601,170762,SU716707,2/1/2006 12:00:00 AM,8/1/2015 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 2XB,No,51.431561,-0.971252,471613,170786,SU716707,6/1/1997 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 2XL,No,51.431561,-0.971252,471613,170786,SU716707,12/1/1997 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 2XT,No,51.431346,-0.971429,471601,170762,SU716707,12/1/1995 12:00:00 AM,3/1/2015 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 2XU,No,51.431561,-0.971252,471613,170786,SU716707,12/1/1995 12:00:00 AM,2/1/2016 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 2YE,No,51.431561,-0.971252,471613,170786,SU716707,7/1/1995 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
RG1 2YQ,Yes,51.431561,-0.971252,471613,170786,SU716707,7/1/1995 12:00:00 AM,,47,,,Reading Green Park,2.2,Reading,,,Reading,Whitley,
