Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DH6 1GA,Yes,54.763758,-1.436475,436358,541126,NZ363411,12/1/2001 12:00:00 AM,,129,5,1,Horden,8.3,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1LR,Yes,54.766016,-1.439027,436192,541376,NZ361413,1/1/1980 12:00:00 AM,,129,52,21,Horden,8.4,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1LS,Yes,54.765171,-1.437096,436317,541283,NZ363412,1/1/1980 12:00:00 AM,,132,73,35,Horden,8.3,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1LT,Yes,54.765013,-1.439756,436146,541264,NZ361412,1/1/1980 12:00:00 AM,,125,57,23,Horden,8.5,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1LU,Yes,54.765646,-1.438643,436217,541335,NZ362413,1/1/1980 12:00:00 AM,,130,59,31,Horden,8.4,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1LX,Yes,54.765142,-1.438402,436233,541279,NZ362412,1/1/1980 12:00:00 AM,,130,55,26,Horden,8.4,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1LY,Yes,54.764098,-1.438152,436250,541163,NZ362411,1/1/1980 12:00:00 AM,,128,17,8,Horden,8.4,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1LZ,Yes,54.765538,-1.442437,435973,541321,NZ359413,1/1/1980 12:00:00 AM,,123,70,29,Horden,8.7,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1NA,Yes,54.764856,-1.442773,435952,541245,NZ359412,1/1/1980 12:00:00 AM,,123,70,32,Horden,8.7,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1NB,Yes,54.765888,-1.442305,435981,541360,NZ359413,1/1/1980 12:00:00 AM,,123,3,2,Horden,8.7,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1ND,Yes,54.765548,-1.440727,436083,541323,NZ360413,1/1/1980 12:00:00 AM,,124,14,10,Horden,8.6,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1NE,Yes,54.766238,-1.440407,436103,541400,NZ361413,1/1/1980 12:00:00 AM,,125,4,1,Horden,8.5,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1NF,Yes,54.766361,-1.439625,436153,541414,NZ361414,1/1/1980 12:00:00 AM,,127,8,4,Horden,8.5,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1NG,Yes,54.766418,-1.438443,436229,541421,NZ362414,1/1/1980 12:00:00 AM,,131,29,15,Horden,8.4,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1NH,Yes,54.758037,-1.452995,435300,540481,NZ353404,1/1/1980 12:00:00 AM,,144,10,3,Durham,8.6,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1NJ,Yes,54.762463,-1.455826,435114,540972,NZ351409,1/1/1995 12:00:00 AM,,107,10,3,Durham,8.3,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1NP,No,54.765325,-1.437358,436300,541300,NZ362412,2/1/1984 12:00:00 AM,12/1/1994 12:00:00 AM,131,,,Horden,8.3,,,,County Durham,Trimdon and Thornley,
DH6 1NQ,Yes,54.765394,-1.446418,435717,541303,NZ357413,1/1/1980 12:00:00 AM,,126,1,1,Durham,8.8,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1NU,Yes,54.766109,-1.441714,436019,541385,NZ360413,12/1/1998 12:00:00 AM,,123,6,4,Horden,8.6,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1NW,Yes,54.766644,-1.438707,436212,541446,NZ362414,1/1/1980 12:00:00 AM,,130,9,5,Horden,8.4,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1NY,Yes,54.764282,-1.441056,436063,541182,NZ360411,11/1/2005 12:00:00 AM,,123,65,26,Horden,8.6,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1NZ,Yes,54.765780,-1.436605,436348,541351,NZ363413,2/1/2006 12:00:00 AM,,133,10,5,Horden,8.3,,Northumbrian Water,,County Durham,Trimdon and Thornley,
DH6 1QB,Yes,54.783647,-1.466675,434398,543324,NZ343433,1/1/1980 12:00:00 AM,,127,11,4,Durham,7.4,,Northumbrian Water,,County Durham,Shotton and South Hetton,
DH6 1QE,Yes,54.788213,-1.454892,435152,543838,NZ351438,9/1/2007 12:00:00 AM,,107,2,1,Durham,8.2,Hetton le Hill,Northumbrian Water,,County Durham,Shotton and South Hetton,
DH6 1QF,Yes,54.788602,-1.455148,435135,543881,NZ351438,1/1/1980 12:00:00 AM,,105,1,1,Durham,8.2,Hetton le Hill,Northumbrian Water,,County Durham,Shotton and South Hetton,
DH6 1QG,Yes,54.788174,-1.452029,435336,543835,NZ353438,1/1/1980 12:00:00 AM,,110,4,2,Durham,8.4,,Northumbrian Water,,County Durham,Shotton and South Hetton,
DH6 2AA,Yes,54.789091,-1.434397,436469,543946,NZ364439,1/1/1980 12:00:00 AM,,166,22,9,Seaham,7.9,,Northumbrian Water,,County Durham,Shotton and South Hetton,
DH6 2AB,Yes,54.784945,-1.414848,437730,543495,NZ377434,1/1/1980 12:00:00 AM,,138,4,2,Horden,7.3,Haswell,Northumbrian Water,,County Durham,Shotton and South Hetton,
DH6 2AD,Yes,54.784911,-1.413404,437823,543492,NZ378434,1/1/1980 12:00:00 AM,,138,41,18,Horden,7.2,Haswell,Northumbrian Water,,County Durham,Shotton and South Hetton,
DH6 2AE,Yes,54.784671,-1.413999,437785,543465,NZ377434,1/1/1980 12:00:00 AM,,138,23,9,Horden,7.2,Haswell,Northumbrian Water,,County Durham,Shotton and South Hetton,
DH6 2AF,Yes,54.784056,-1.413215,437836,543397,NZ378433,1/1/1980 12:00:00 AM,,139,25,10,Horden,7.2,Haswell,Northumbrian Water,,County Durham,Shotton and South Hetton,
DH6 2AG,Yes,54.784680,-1.412070,437909,543467,NZ379434,1/1/1980 12:00:00 AM,,138,72,17,Horden,7.1,Haswell,Northumbrian Water,,County Durham,Shotton and South Hetton,
DH6 2AH,Yes,54.784926,-1.410885,437985,543495,NZ379434,7/1/1983 12:00:00 AM,,137,11,3,Horden,7.0,Haswell,Northumbrian Water,,County Durham,Shotton and South Hetton,
DH6 2AJ,Yes,54.785291,-1.408438,438142,543537,NZ381435,1/1/1980 12:00:00 AM,,137,11,5,Horden,6.9,Haswell,Northumbrian Water,,County Durham,Shotton and South Hetton,
