Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BN7 3PT,Yes,50.901843,-0.008673,540120,113262,TQ401132,6/1/1997 12:00:00 AM,,22,70,23,Cooksbridge,0.2,,South East Water,Southern Water,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN7 3PU,No,50.892324,-0.010785,540000,112200,TQ400121,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,38,,,Cooksbridge,1.3,,,,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN7 3PX,Yes,50.892336,-0.009405,540097,112204,TQ400122,1/1/1980 12:00:00 AM,,34,2,1,Cooksbridge,1.3,,South East Water,Southern Water,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN7 3QA,Yes,50.891619,-0.010559,540018,112122,TQ400121,1/1/1980 12:00:00 AM,,39,24,10,Cooksbridge,1.4,,South East Water,Southern Water,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN7 3QB,Yes,50.892777,-0.014648,539727,112243,TQ397122,1/1/1980 12:00:00 AM,,56,22,7,Cooksbridge,1.3,,South East Water,Southern Water,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN7 3QD,Yes,50.892673,-0.010941,539988,112239,TQ399122,1/1/1980 12:00:00 AM,,41,14,7,Cooksbridge,1.2,,South East Water,Southern Water,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN7 3QE,Yes,50.894720,-0.010996,539978,112466,TQ399124,1/1/1980 12:00:00 AM,,37,22,6,Cooksbridge,1.0,,South East Water,Southern Water,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN7 3QF,Yes,50.886746,-0.009601,540100,111582,TQ400115,1/1/1980 12:00:00 AM,,47,6,2,Cooksbridge,1.9,,Southern Water,,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN7 3QG,Yes,50.905062,-0.014125,539727,113610,TQ397136,1/1/1980 12:00:00 AM,,24,21,8,Cooksbridge,0.4,,South East Water,Southern Water,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN7 3QH,Yes,50.893075,-0.011606,539940,112282,TQ399122,1/1/1980 12:00:00 AM,,46,5,3,Cooksbridge,1.2,,South East Water,Southern Water,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN7 3QP,Yes,50.899321,-0.018452,539440,112964,TQ394129,1/1/1980 12:00:00 AM,,35,6,2,Cooksbridge,0.8,,South East Water,,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN7 3QW,Yes,50.898155,-0.025284,538963,112821,TQ389128,1/1/1980 12:00:00 AM,,56,16,7,Cooksbridge,1.3,,South East Water,Southern Water,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN8 4AA,Yes,50.971746,-0.018962,539188,121016,TQ391210,10/1/2018 12:00:00 AM,,35,,,Plumpton,5.6,North Chailey,,,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN8 4AB,Yes,50.939217,-0.023004,539001,117391,TQ390173,1/1/1980 12:00:00 AM,,44,25,10,Plumpton,2.9,South Chailey,South East Water,Southern Water,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN8 4AD,Yes,50.939815,-0.021712,539090,117460,TQ390174,1/1/1980 12:00:00 AM,,47,49,18,Plumpton,3.0,South Chailey,South East Water,Southern Water,Lewes,"Chailey, Barcombe & Hamsey",Chailey
BN8 4AE,Yes,50.938258,-0.023244,538987,117284,TQ389172,7/1/1983 12:00:00 AM,,39,60,28,Plumpton,2.8,South Chailey,South East Water,Southern Water,Lewes,"Chailey, Barcombe & Hamsey",Chailey
