Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
E12 5AA,Yes,51.551884,0.046200,541965,185650,TQ419856,1/1/1980 12:00:00 AM,,11,,,Manor Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5AB,Yes,51.551258,0.045479,541917,185579,TQ419855,1/1/1980 12:00:00 AM,,11,111,38,Manor Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5AD,Yes,51.550020,0.045407,541916,185441,TQ419854,1/1/1980 12:00:00 AM,,12,129,41,Woodgrange Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5AE,Yes,51.554565,0.062044,543055,185979,TQ430859,6/1/2010 12:00:00 AM,,7,,,Ilford,0.7,Newham,Thames Water,,Newham,Little Ilford,
E12 5AF,Yes,51.549822,0.045946,541954,185420,TQ419854,1/1/1980 12:00:00 AM,,12,70,25,Woodgrange Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5AG,No,51.550527,0.046644,542000,185500,TQ420854,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,11,,,Woodgrange Park,0.2,Newham,,,Newham,Manor Park,
E12 5AH,Yes,51.554681,0.062626,543095,185993,TQ430859,6/1/2010 12:00:00 AM,,7,,,Ilford,0.6,Newham,Thames Water,,Newham,Little Ilford,
E12 5AJ,Yes,51.551840,0.051304,542319,185655,TQ423856,1/1/1980 12:00:00 AM,,12,65,19,Manor Park,0.4,Newham,Thames Water,,Newham,Manor Park,
E12 5AL,No,51.552005,0.051124,542306,185673,TQ423856,12/1/1994 12:00:00 AM,8/1/1997 12:00:00 AM,12,,,Manor Park,0.3,Newham,,,Newham,Manor Park,
E12 5AN,Yes,51.552115,0.051013,542298,185685,TQ422856,1/1/1980 12:00:00 AM,,12,63,19,Manor Park,0.3,Newham,Thames Water,,Newham,Manor Park,
E12 5AP,No,51.551376,0.049567,542200,185600,TQ422856,1/1/1991 12:00:00 AM,7/1/1995 12:00:00 AM,12,,,Manor Park,0.3,Newham,,,Newham,Manor Park,
E12 5AQ,Yes,51.550903,0.048839,542151,185546,TQ421855,1/1/1980 12:00:00 AM,,11,93,45,Manor Park,0.2,Newham,Thames Water,,Newham,Manor Park,
E12 5AR,No,51.551401,0.048125,542100,185600,TQ420856,5/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,12,,,Manor Park,0.2,Newham,,,Newham,Manor Park,
E12 5AS,No,51.551401,0.048125,542100,185600,TQ420856,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,12,,,Manor Park,0.2,Newham,,,Newham,Manor Park,
E12 5AT,Yes,51.551228,0.046156,541964,185577,TQ419855,1/1/1980 12:00:00 AM,,11,107,42,Manor Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5AU,Yes,51.551441,0.046338,541976,185601,TQ419856,1/1/1980 12:00:00 AM,,11,57,26,Manor Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5AW,Yes,51.551557,0.049068,542165,185619,TQ421856,1/1/1980 12:00:00 AM,,12,131,42,Manor Park,0.2,Newham,Thames Water,,Newham,Manor Park,
E12 5AX,Yes,51.551404,0.042255,541693,185589,TQ416855,1/1/1980 12:00:00 AM,,11,211,62,Woodgrange Park,0.3,Newham,Thames Water,,Newham,Manor Park,
E12 5AY,Yes,51.551136,0.042675,541723,185560,TQ417855,1/1/1980 12:00:00 AM,,10,196,56,Woodgrange Park,0.2,Newham,Thames Water,,Newham,Manor Park,
E12 5AZ,Yes,51.550610,0.041916,541672,185500,TQ416855,1/1/1980 12:00:00 AM,,10,46,16,Woodgrange Park,0.2,Newham,Thames Water,,Newham,Manor Park,
E12 5BA,No,51.549679,0.043721,541800,185400,TQ418854,1/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,11,,,Woodgrange Park,0.1,Newham,,,Newham,Manor Park,
E12 5BB,Yes,51.550259,0.040876,541601,185459,TQ416854,1/1/1980 12:00:00 AM,,10,218,92,Woodgrange Park,0.3,Newham,Thames Water,,Newham,Manor Park,
E12 5BD,Yes,51.550574,0.042924,541742,185498,TQ417854,1/1/1980 12:00:00 AM,,10,91,33,Woodgrange Park,0.2,Newham,Thames Water,,Newham,Manor Park,
E12 5BE,Yes,51.550474,0.043482,541781,185488,TQ417854,1/1/1980 12:00:00 AM,,10,207,69,Woodgrange Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5BF,Yes,51.552804,0.063998,543196,185787,TQ431857,6/1/2010 12:00:00 AM,,6,,,Ilford,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5BG,Yes,51.550612,0.044368,541842,185505,TQ418855,1/1/1980 12:00:00 AM,,11,167,55,Woodgrange Park,0.2,Newham,Thames Water,,Newham,Manor Park,
E12 5BH,Yes,51.550826,0.039329,541492,185519,TQ414855,2/1/1990 12:00:00 AM,,11,142,59,Woodgrange Park,0.4,Newham,Thames Water,,Newham,Manor Park,
E12 5BJ,No,51.551501,0.042360,541700,185600,TQ416855,9/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,11,,,Manor Park,0.3,Newham,,,Newham,Manor Park,
E12 5BL,No,51.551501,0.042360,541700,185600,TQ416855,7/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,11,,,Manor Park,0.3,Newham,,,Newham,Manor Park,
E12 5BN,Yes,51.552362,0.064093,543204,185738,TQ432857,6/1/2010 12:00:00 AM,,6,,,Ilford,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5BP,Yes,51.551630,0.046837,542010,185623,TQ420856,1/1/1980 12:00:00 AM,,12,90,27,Manor Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5BQ,No,51.550628,0.040878,541600,185500,TQ415855,9/1/1991 12:00:00 AM,7/1/1995 12:00:00 AM,11,,,Woodgrange Park,0.3,Newham,,,Newham,Manor Park,
E12 5BS,Yes,51.551315,0.046866,542013,185588,TQ420855,1/1/1980 12:00:00 AM,,12,53,29,Manor Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5BT,Yes,51.551786,0.047261,542039,185641,TQ420856,1/1/1980 12:00:00 AM,,12,92,31,Manor Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5BU,No,51.552366,0.046899,542012,185705,TQ420857,1/1/1980 12:00:00 AM,7/1/2013 12:00:00 AM,12,,,Manor Park,0.0,Newham,Thames Water,,Newham,Manor Park,
E12 5BW,Yes,51.553687,0.043886,541799,185846,TQ417858,12/1/1995 12:00:00 AM,,14,99,36,Manor Park,0.2,Newham,Thames Water,,Newham,Manor Park,
E12 5BX,Yes,51.552971,0.043176,541752,185765,TQ417857,1/1/1980 12:00:00 AM,,12,153,60,Manor Park,0.2,Newham,Thames Water,,Newham,Manor Park,
E12 5BY,No,51.553298,0.042440,541700,185800,TQ416857,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,13,,,Manor Park,0.2,Newham,,,Newham,Manor Park,
E12 5BZ,Yes,51.554247,0.042308,541688,185905,TQ416859,1/1/1980 12:00:00 AM,,15,26,13,Manor Park,0.3,Newham,Thames Water,,Newham,Manor Park,
E12 5DA,Yes,51.552829,0.045651,541924,185754,TQ419857,1/1/1980 12:00:00 AM,,12,145,16,Manor Park,0.0,Newham,Thames Water,,Newham,Manor Park,
E12 5DB,Yes,51.554665,0.045055,541877,185957,TQ418859,1/1/1980 12:00:00 AM,,13,69,31,Manor Park,0.2,Newham,Thames Water,,Newham,Manor Park,
E12 5DD,Yes,51.553753,0.045259,541894,185856,TQ418858,1/1/1980 12:00:00 AM,,14,154,53,Manor Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5DE,No,51.553298,0.042440,541700,185800,TQ416857,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,13,,,Manor Park,0.2,Newham,,,Newham,Manor Park,
E12 5DF,Yes,51.553672,0.046280,541965,185849,TQ419858,1/1/1980 12:00:00 AM,,13,87,32,Manor Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5DQ,Yes,51.558133,0.044186,541806,186341,TQ418863,1/1/1980 12:00:00 AM,,15,,,Manor Park,0.6,,Thames Water,,Newham,Little Ilford,
E12 5DS,Yes,51.561403,0.048012,542061,186712,TQ420867,1/1/1980 12:00:00 AM,,16,11,4,Manor Park,1.0,,Thames Water,,Newham,Little Ilford,
E12 5DT,Yes,51.553221,0.044788,541863,185796,TQ418857,12/1/1995 12:00:00 AM,,13,90,26,Manor Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5DU,Yes,51.553764,0.042548,541706,185852,TQ417858,1/1/1983 12:00:00 AM,,14,80,57,Manor Park,0.2,Newham,Thames Water,,Newham,Manor Park,
E12 5EP,No,51.551892,0.046229,541967,185651,TQ419856,8/1/1993 12:00:00 AM,9/1/2005 12:00:00 AM,11,,,Manor Park,0.1,Newham,,,Newham,Manor Park,
E12 5EW,Yes,51.552028,0.064136,543208,185701,TQ432857,6/1/2010 12:00:00 AM,,6,,,Ilford,0.9,Newham,Thames Water,,Newham,Little Ilford,
E12 5FB,Yes,51.552214,0.062788,543114,185719,TQ431857,6/1/2010 12:00:00 AM,,6,,,Ilford,0.9,Newham,Thames Water,,Newham,Little Ilford,
E12 5FD,Yes,51.550020,0.045407,541916,185441,TQ419854,11/1/2013 12:00:00 AM,,12,,,Woodgrange Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5HT,Yes,51.553118,0.048130,542095,185791,TQ420857,1/1/1980 12:00:00 AM,,12,75,38,Manor Park,0.1,Newham,Thames Water,,Newham,Manor Park,
E12 5HU,Yes,51.553623,0.050100,542230,185851,TQ422858,1/1/1980 12:00:00 AM,,13,76,34,Manor Park,0.3,Newham,Thames Water,,Newham,Manor Park,
E12 5HX,Yes,51.554031,0.051446,542322,185899,TQ423858,1/1/1980 12:00:00 AM,,14,98,44,Manor Park,0.4,Newham,Thames Water,,Newham,Manor Park,
E12 5HY,Yes,51.553394,0.052413,542391,185830,TQ423858,1/1/1980 12:00:00 AM,,12,132,39,Manor Park,0.4,Newham,Thames Water,,Newham,Manor Park,
E12 5HZ,Yes,51.553336,0.053160,542443,185825,TQ424858,1/1/1980 12:00:00 AM,,12,126,51,Manor Park,0.5,Newham,Thames Water,,Newham,Manor Park,
E12 5JA,Yes,51.554230,0.053994,542498,185926,TQ424859,1/1/1980 12:00:00 AM,,12,133,47,Manor Park,0.6,Newham,Thames Water,,Newham,Little Ilford,
E12 5JB,Yes,51.554692,0.055440,542597,185980,TQ425859,1/1/1980 12:00:00 AM,,12,79,23,Manor Park,0.7,Newham,Thames Water,,Newham,Little Ilford,
E12 5JD,Yes,51.553648,0.053852,542490,185861,TQ424858,1/1/1980 12:00:00 AM,,12,83,25,Manor Park,0.5,Newham,Thames Water,,Newham,Little Ilford,
E12 5JE,Yes,51.554044,0.054851,542558,185907,TQ425859,1/1/1980 12:00:00 AM,,12,99,31,Manor Park,0.6,Newham,Thames Water,,Newham,Little Ilford,
E12 5JF,Yes,51.554081,0.055271,542587,185912,TQ425859,1/1/1980 12:00:00 AM,,12,48,16,Manor Park,0.6,Newham,Thames Water,,Newham,Little Ilford,
E12 5JG,Yes,51.553930,0.057339,542731,185899,TQ427858,1/1/1980 12:00:00 AM,,11,103,35,Manor Park,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5JH,Yes,51.551340,0.057758,542768,185612,TQ427856,1/1/1980 12:00:00 AM,,10,165,36,Manor Park,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5JJ,Yes,51.551469,0.058067,542789,185627,TQ427856,1/1/1980 12:00:00 AM,,11,168,39,Manor Park,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5JL,Yes,51.552868,0.057293,542731,185781,TQ427857,1/1/1980 12:00:00 AM,,10,155,41,Manor Park,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5JN,Yes,51.553367,0.058037,542781,185838,TQ427858,1/1/1980 12:00:00 AM,,10,216,52,Manor Park,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5JP,Yes,51.554508,0.059690,542892,185968,TQ428859,1/1/1980 12:00:00 AM,,8,114,38,Ilford,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5JQ,Yes,51.552739,0.056927,542706,185766,TQ427857,1/1/1980 12:00:00 AM,,10,126,35,Manor Park,0.7,Newham,Thames Water,,Newham,Little Ilford,
E12 5JR,Yes,51.554874,0.059401,542871,186008,TQ428860,1/1/1980 12:00:00 AM,,9,103,48,Ilford,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5JT,Yes,51.554381,0.057665,542752,185950,TQ427859,1/1/1980 12:00:00 AM,,10,38,15,Manor Park,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5JU,Yes,51.554796,0.057077,542710,185995,TQ427859,1/1/1980 12:00:00 AM,,11,145,48,Manor Park,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5JW,No,51.553920,0.058336,542800,185900,TQ427859,8/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,10,,,Manor Park,0.8,Newham,,,Newham,Little Ilford,
E12 5JX,Yes,51.554611,0.056348,542660,185973,TQ426859,1/1/1980 12:00:00 AM,,11,157,47,Manor Park,0.7,Newham,Thames Water,,Newham,Little Ilford,
E12 5JY,Yes,51.553530,0.054914,542564,185850,TQ425858,1/1/1980 12:00:00 AM,,11,117,28,Manor Park,0.6,Newham,Thames Water,,Newham,Little Ilford,
E12 5JZ,No,51.553945,0.056895,542700,185900,TQ427858,3/1/1983 12:00:00 AM,7/1/1995 12:00:00 AM,11,,,Manor Park,0.7,Newham,,,Newham,Little Ilford,
E12 5LA,No,51.554230,0.051931,542355,185922,TQ423859,9/1/1991 12:00:00 AM,6/1/2000 12:00:00 AM,14,,,Manor Park,0.4,Newham,,,Newham,Manor Park,
E12 5LB,No,51.554844,0.056935,542700,186000,TQ426860,9/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,11,,,Manor Park,0.8,Newham,,,Newham,Little Ilford,
E12 5LD,No,51.554844,0.056935,542700,186000,TQ426860,8/1/1993 12:00:00 AM,1/1/1995 12:00:00 AM,11,,,Manor Park,0.8,Newham,,,Newham,Little Ilford,
E12 5LE,Yes,51.555387,0.058244,542789,186063,TQ427860,1/1/1980 12:00:00 AM,,10,171,51,Ilford,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5LF,Yes,51.555268,0.058887,542834,186051,TQ428860,1/1/1980 12:00:00 AM,,10,129,39,Ilford,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5LG,Yes,51.555860,0.059462,542872,186118,TQ428861,1/1/1980 12:00:00 AM,,10,57,24,Ilford,0.7,Newham,Thames Water,,Newham,Little Ilford,
E12 5LH,Yes,51.555848,0.062203,543062,186122,TQ430861,1/1/1980 12:00:00 AM,,8,91,35,Ilford,0.6,Newham,Thames Water,,Newham,Little Ilford,
E12 5LJ,Yes,51.555232,0.057328,542726,186044,TQ427860,5/1/1994 12:00:00 AM,,10,21,6,Manor Park,0.8,Newham,Thames Water,,Newham,Little Ilford,
E12 5LL,No,51.554818,0.058377,542800,186000,TQ428859,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,10,,,Ilford,0.9,Newham,,,Newham,Little Ilford,
E12 5LN,Yes,51.556650,0.062614,543088,186212,TQ430862,2/1/1990 12:00:00 AM,,8,,,Ilford,0.5,Newham,Thames Water,,Newham,Little Ilford,
E12 5LP,Yes,51.555353,0.065282,543277,186073,TQ432860,1/1/1980 12:00:00 AM,,6,,,Ilford,0.5,Newham,Thames Water,,Newham,Little Ilford,
E12 5LQ,Yes,51.556006,0.060378,542935,186136,TQ429861,1/1/1980 12:00:00 AM,,9,143,40,Ilford,0.7,Newham,Thames Water,,Newham,Little Ilford,
E12 5LU,Yes,51.554293,0.061685,543031,185948,TQ430859,12/1/1999 12:00:00 AM,,6,55,37,Ilford,0.7,Newham,Thames Water,,Newham,Little Ilford,
E12 5LW,No,51.555616,0.064183,543200,186100,TQ431861,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,7,,,Ilford,0.5,Newham,,,Newham,Little Ilford,
E12 5LX,Yes,51.555062,0.063942,543185,186038,TQ431860,1/1/1980 12:00:00 AM,,7,95,27,Ilford,0.6,Newham,Thames Water,,Newham,Little Ilford,
E12 5LY,Yes,51.553663,0.065277,543282,185885,TQ432858,1/1/1980 12:00:00 AM,,7,173,56,Ilford,0.7,Newham,Thames Water,,Newham,Little Ilford,
E12 5LZ,Yes,51.553241,0.064696,543243,185837,TQ432858,1/1/1980 12:00:00 AM,,6,173,62,Ilford,0.7,Newham,Thames Water,,Newham,Little Ilford,
E12 5NA,Yes,51.551642,0.065633,543313,185661,TQ433856,1/1/1980 12:00:00 AM,,6,187,56,Ilford,0.9,Newham,Thames Water,,Newham,Little Ilford,
E12 5NB,Yes,51.550786,0.065248,543289,185565,TQ432855,1/1/1980 12:00:00 AM,,5,47,18,Ilford,1.0,Newham,Thames Water,,Newham,Little Ilford,
E12 5ND,Yes,51.550672,0.065604,543314,185553,TQ433855,1/1/1980 12:00:00 AM,,5,72,23,Ilford,1.0,Newham,Thames Water,,Newham,Little Ilford,
E12 5NE,Yes,51.554171,0.065026,543263,185941,TQ432859,1/1/1980 12:00:00 AM,,6,123,33,Ilford,0.6,Newham,Thames Water,,Newham,Little Ilford,
E12 5NG,Yes,51.550093,0.065750,543326,185489,TQ433854,10/1/2003 12:00:00 AM,,6,73,31,Ilford,1.0,Newham,Thames Water,,Newham,Little Ilford,
