Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GU10 4BW,Yes,51.183390,-0.827039,482079,143338,SU820433,1/1/1980 12:00:00 AM,,112,45,19,Bentley (Hampshire),2.9,Wrecclesham,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4BZ,Yes,51.169967,-0.848503,480602,141822,SU806418,12/1/2018 12:00:00 AM,,119,,,Bentley (Hampshire),1.9,,,,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4DE,Yes,51.184767,-0.829880,481878,143488,SU818434,9/1/1991 12:00:00 AM,,107,34,14,Bentley (Hampshire),2.7,Wrecclesham,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4DF,Yes,51.185179,-0.830009,481868,143534,SU818435,1/1/1980 12:00:00 AM,,105,36,15,Bentley (Hampshire),2.7,Wrecclesham,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4DG,Yes,51.184087,-0.828438,481980,143414,SU819434,1/1/1980 12:00:00 AM,,110,18,8,Bentley (Hampshire),2.8,Wrecclesham,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4DR,Yes,51.184454,-0.832778,481676,143450,SU816434,5/1/1994 12:00:00 AM,,100,9,3,Bentley (Hampshire),2.5,Wrecclesham,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4EJ,Yes,51.181925,-0.826232,482138,143176,SU821431,1/1/1980 12:00:00 AM,,113,16,8,Bentley (Hampshire),2.9,Wrecclesham,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4EL,Yes,51.181071,-0.826268,482137,143081,SU821430,1/1/1980 12:00:00 AM,,111,15,7,Bentley (Hampshire),2.9,Wrecclesham,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4EN,Yes,51.181331,-0.827403,482057,143109,SU820431,1/1/1980 12:00:00 AM,,112,14,6,Bentley (Hampshire),2.8,Wrecclesham,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4EW,No,51.179463,-0.828269,482000,142900,SU819428,6/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,107,,,Bentley (Hampshire),2.8,,,,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4EY,Yes,51.160706,-0.832259,481754,140810,SU817408,1/1/1980 12:00:00 AM,,117,14,5,Bentley (Hampshire),3.4,Dockenfield,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4EZ,Yes,51.159654,-0.831945,481778,140693,SU817406,1/1/1980 12:00:00 AM,,107,1,1,Bentley (Hampshire),3.5,Dockenfield,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4HA,Yes,51.161956,-0.836507,481455,140944,SU814409,1/1/1980 12:00:00 AM,,119,22,6,Bentley (Hampshire),3.1,,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4JL,No,51.178890,-0.849343,480528,142813,SU805428,4/1/1987 12:00:00 AM,6/1/2000 12:00:00 AM,113,,,Bentley (Hampshire),1.3,,,,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4JY,Yes,51.190888,-0.835950,481443,144162,SU814441,1/1/1980 12:00:00 AM,,109,36,9,Bentley (Hampshire),2.5,,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4JZ,Yes,51.187466,-0.834519,481549,143783,SU815437,1/1/1980 12:00:00 AM,,114,54,20,Bentley (Hampshire),2.4,Wrecclesham,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4LA,Yes,51.187766,-0.835153,481504,143816,SU815438,1/1/1980 12:00:00 AM,,116,43,15,Bentley (Hampshire),2.4,Wrecclesham,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4LB,Yes,51.185625,-0.833836,481600,143579,SU816435,1/1/1980 12:00:00 AM,,104,70,29,Bentley (Hampshire),2.4,Wrecclesham,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4LD,Yes,51.181628,-0.841874,481045,143126,SU810431,1/1/1980 12:00:00 AM,,111,7,3,Bentley (Hampshire),1.8,,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4LE,Yes,51.182823,-0.837813,481327,143263,SU813432,1/1/1980 12:00:00 AM,,110,23,7,Bentley (Hampshire),2.1,,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4LF,No,51.168115,-0.842717,481010,141622,SU810416,8/1/1992 12:00:00 AM,10/1/2019 12:00:00 AM,116,,,Bentley (Hampshire),2.3,,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4LG,Yes,51.178500,-0.845658,480786,142774,SU807427,9/1/1991 12:00:00 AM,,110,19,6,Bentley (Hampshire),1.6,,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
GU10 4LH,Yes,51.178648,-0.852167,480331,142783,SU803427,6/1/2000 12:00:00 AM,,119,,,Bentley (Hampshire),1.1,,South East Water,Thames Water,East Hampshire,"Binsted, Bentley & Selborne",Alton Rural
