Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
G72 8YF,Yes,55.792935,-4.134800,266252,657578,NS662575,1/1/1980 12:00:00 AM,,125,63,6,Newton (Lanark),2.9,,Scottish Water,,South Lanarkshire,East Kilbride East,
G72 8YH,Yes,55.791447,-4.149780,265308,657442,NS653574,1/1/1980 12:00:00 AM,,153,3,2,Kirkhill,2.7,,Scottish Water,,South Lanarkshire,East Kilbride East,
G72 8YJ,Yes,55.798509,-4.164767,264393,658257,NS643582,1/1/1980 12:00:00 AM,,161,9,2,Kirkhill,1.7,,Scottish Water,,South Lanarkshire,East Kilbride East,
G72 8YL,Yes,55.796350,-4.172018,263931,658031,NS639580,8/1/1973 12:00:00 AM,,167,7,2,Kirkhill,2.0,,Scottish Water,,South Lanarkshire,East Kilbride West,
G72 8YN,Yes,55.804452,-4.173794,263848,658936,NS638589,12/1/2002 12:00:00 AM,,104,62,9,Kirkhill,1.1,Cambuslang,Scottish Water,,South Lanarkshire,East Kilbride East,
G72 8YQ,Yes,55.787337,-4.148915,265348,656983,NS653569,1/1/1980 12:00:00 AM,,137,5,2,East Kilbride,3.1,,Scottish Water,,South Lanarkshire,East Kilbride East,
G72 8YU,Yes,55.799521,-4.164709,264400,658369,NS644583,7/1/2002 12:00:00 AM,,152,19,9,Kirkhill,1.6,,Scottish Water,,South Lanarkshire,East Kilbride East,
G72 8YW,Yes,55.804325,-4.150872,265284,658877,NS652588,1/1/1980 12:00:00 AM,,92,2,1,Kirkhill,1.5,,Scottish Water,,South Lanarkshire,East Kilbride East,
G72 8YY,No,55.804086,-4.150921,265280,658850,NS652588,2/1/1992 12:00:00 AM,7/1/1992 12:00:00 AM,92,,,Kirkhill,1.5,,Scottish Water,,South Lanarkshire,East Kilbride East,
G72 9UE,Yes,55.783090,-4.133212,266318,656480,NS663564,12/1/2002 12:00:00 AM,,112,27,14,Blantyre,3.3,,Scottish Water,,South Lanarkshire,East Kilbride East,
G72 9UF,Yes,55.778536,-4.127618,266653,655962,NS666559,6/1/2011 12:00:00 AM,,145,,,Blantyre,3.3,,Scottish Water,,South Lanarkshire,East Kilbride East,
G73 5RA,No,55.803846,-4.182869,263277,658886,NS632588,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,122,,,Kirkhill,1.5,Cambuslang,Scottish Water,,South Lanarkshire,East Kilbride West,
G73 5RB,Yes,55.803693,-4.182892,263275,658869,NS632588,1/1/1980 12:00:00 AM,,123,7,3,Kirkhill,1.5,Cambuslang,Scottish Water,,South Lanarkshire,East Kilbride West,
G73 5RE,Yes,55.798046,-4.184044,263183,658243,NS631582,1/1/1980 12:00:00 AM,,186,1,1,Kirkhill,2.1,,Scottish Water,,South Lanarkshire,East Kilbride West,
G73 5RG,Yes,55.793958,-4.196067,262415,657812,NS624578,1/1/1980 12:00:00 AM,,199,17,8,Burnside (South Lanarkshire),2.6,,Scottish Water,,South Lanarkshire,East Kilbride West,
G73 9BU,No,55.761312,-4.176602,263521,654141,NS635541,3/1/2008 12:00:00 AM,4/1/2013 12:00:00 AM,171,,,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G73 9BY,No,55.761312,-4.176602,263521,654141,NS635541,4/1/2008 12:00:00 AM,5/1/2014 12:00:00 AM,171,,,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G73 9DH,No,55.761312,-4.176602,263521,654141,NS635541,6/1/2009 12:00:00 AM,7/1/2013 12:00:00 AM,171,,,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G73 9DL,No,55.761312,-4.176602,263521,654141,NS635541,7/1/2009 12:00:00 AM,8/1/2013 12:00:00 AM,171,,,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G73 9DP,No,55.761312,-4.176602,263521,654141,NS635541,1/1/2010 12:00:00 AM,8/1/2013 12:00:00 AM,171,,,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G73 9DQ,No,55.761312,-4.176602,263521,654141,NS635541,1/1/2010 12:00:00 AM,2/1/2014 12:00:00 AM,171,,,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G73 9EA,No,55.761312,-4.176602,263521,654141,NS635541,3/1/2011 12:00:00 AM,5/1/2013 12:00:00 AM,171,,,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G73 9EB,No,55.761312,-4.176602,263521,654141,NS635541,6/1/2012 12:00:00 AM,7/1/2013 12:00:00 AM,171,,,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G73 9EH,No,55.761312,-4.176602,263521,654141,NS635541,3/1/2013 12:00:00 AM,4/1/2014 12:00:00 AM,171,,,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AA,Yes,55.762495,-4.176253,263547,654272,NS635542,1/1/1980 12:00:00 AM,,170,,,East Kilbride,0.5,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AB,Yes,55.761967,-4.175108,263617,654211,NS636542,6/1/1996 12:00:00 AM,,170,,,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AD,Yes,55.762495,-4.176253,263547,654272,NS635542,1/1/1980 12:00:00 AM,,170,0,0,East Kilbride,0.5,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AE,Yes,55.761663,-4.179634,263332,654186,NS633541,1/1/1980 12:00:00 AM,,176,16,6,East Kilbride,0.5,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AF,Yes,55.761915,-4.181883,263192,654219,NS631542,8/1/1973 12:00:00 AM,,176,0,0,East Kilbride,0.5,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AG,Yes,55.762605,-4.178204,263425,654288,NS634542,1/1/1980 12:00:00 AM,,170,32,15,East Kilbride,0.4,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AH,Yes,55.763676,-4.177852,263451,654407,NS634544,1/1/1980 12:00:00 AM,,164,5,2,East Kilbride,0.3,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AJ,Yes,55.763263,-4.177555,263468,654360,NS634543,1/1/1980 12:00:00 AM,,167,6,3,East Kilbride,0.3,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AL,Yes,55.764326,-4.177949,263447,654479,NS634544,1/1/1980 12:00:00 AM,,163,32,15,East Kilbride,0.2,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AN,No,55.766703,-4.181223,263250,654750,NS632547,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,156,,,East Kilbride,0.1,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AP,Yes,55.765314,-4.178977,263386,654591,NS633545,1/1/1980 12:00:00 AM,,161,22,10,East Kilbride,0.1,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AQ,Yes,55.764390,-4.178862,263390,654488,NS633544,1/1/1980 12:00:00 AM,,162,45,19,East Kilbride,0.2,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AR,Yes,55.765554,-4.179886,263330,654619,NS633546,1/1/1980 12:00:00 AM,,160,48,18,East Kilbride,0.1,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AS,Yes,55.764884,-4.180914,263263,654547,NS632545,1/1/1980 12:00:00 AM,,162,28,13,East Kilbride,0.1,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AT,Yes,55.764708,-4.182753,263147,654531,NS631545,1/1/1980 12:00:00 AM,,164,63,33,East Kilbride,0.2,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AU,Yes,55.764342,-4.181601,263218,654488,NS632544,1/1/1980 12:00:00 AM,,164,25,8,East Kilbride,0.2,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AW,Yes,55.764871,-4.178649,263405,654541,NS634545,1/1/1980 12:00:00 AM,,162,13,5,East Kilbride,0.2,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AX,Yes,55.763663,-4.181387,263229,654412,NS632544,1/1/1980 12:00:00 AM,,164,8,3,East Kilbride,0.3,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AY,Yes,55.764201,-4.180413,263292,654470,NS632544,1/1/1980 12:00:00 AM,,163,40,16,East Kilbride,0.2,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1AZ,Yes,55.763725,-4.182411,263165,654421,NS631544,1/1/1980 12:00:00 AM,,167,49,24,East Kilbride,0.3,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BA,Yes,55.765188,-4.185554,262973,654590,NS629545,1/1/1980 12:00:00 AM,,162,85,38,East Kilbride,0.3,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BB,Yes,55.764564,-4.187320,262860,654524,NS628545,1/1/1980 12:00:00 AM,,168,29,14,East Kilbride,0.5,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BD,Yes,55.764481,-4.185402,262980,654511,NS629545,1/1/1980 12:00:00 AM,,168,40,15,East Kilbride,0.4,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BE,Yes,55.763593,-4.186293,262921,654414,NS629544,1/1/1980 12:00:00 AM,,174,44,21,East Kilbride,0.5,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BF,Yes,55.760874,-4.165292,264229,654070,NS642540,7/1/2010 12:00:00 AM,,183,25,7,East Kilbride,1.1,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BG,Yes,55.762478,-4.187378,262849,654292,NS628542,1/1/1980 12:00:00 AM,,176,18,6,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BH,Yes,55.763369,-4.185997,262939,654388,NS629543,1/1/1980 12:00:00 AM,,173,38,18,East Kilbride,0.5,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BJ,Yes,55.763866,-4.184367,263043,654441,NS630544,1/1/1980 12:00:00 AM,,170,4,2,East Kilbride,0.4,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BL,Yes,55.763746,-4.183767,263080,654426,NS630544,1/1/1980 12:00:00 AM,,169,12,4,East Kilbride,0.3,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BN,Yes,55.763547,-4.180297,263297,654397,NS632543,1/1/1980 12:00:00 AM,,165,65,41,East Kilbride,0.3,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BP,No,55.763747,-4.184214,263052,654427,NS630544,2/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,170,,,East Kilbride,0.4,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BQ,Yes,55.763957,-4.188099,262809,654458,NS628544,1/1/1980 12:00:00 AM,,174,15,6,East Kilbride,0.5,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BS,Yes,55.762537,-4.169864,263948,654264,NS639542,7/1/2006 12:00:00 AM,,177,11,6,East Kilbride,0.8,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BT,Yes,55.765363,-4.183332,263113,654605,NS631546,11/1/2010 12:00:00 AM,,160,21,11,East Kilbride,0.2,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BU,Yes,55.760896,-4.179036,263367,654100,NS633540,10/1/2013 12:00:00 AM,,175,,,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BW,Yes,55.763282,-4.182594,263152,654372,NS631543,1/1/1980 12:00:00 AM,,168,58,41,East Kilbride,0.3,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BX,Yes,55.763222,-4.172025,263815,654345,NS638543,5/1/2019 12:00:00 AM,,169,,,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BY,No,55.764883,-4.185537,262973,654556,NS629545,12/1/1990 12:00:00 AM,6/1/1997 12:00:00 AM,165,,,East Kilbride,0.4,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1BZ,No,55.760602,-4.183703,263073,654076,NS630540,1/1/1985 12:00:00 AM,12/1/1999 12:00:00 AM,168,,,East Kilbride,0.6,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1DA,Yes,55.765930,-4.187317,262865,654676,NS628546,1/1/1980 12:00:00 AM,,157,64,32,East Kilbride,0.4,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1DB,Yes,55.766022,-4.185696,262967,654683,NS629546,1/1/1980 12:00:00 AM,,159,39,22,East Kilbride,0.3,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
G74 1DD,Yes,55.766945,-4.185827,262962,654786,NS629547,1/1/1980 12:00:00 AM,,154,59,35,East Kilbride,0.4,East Kilbride,Scottish Water,,South Lanarkshire,East Kilbride Central North,
