Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
G43 1JT,No,55.809758,-4.299769,255973,659781,NS559597,6/1/1996 12:00:00 AM,4/1/2006 12:00:00 AM,39,,,Thornliebank,0.8,Glasgow,Scottish Water,,East Renfrewshire,Giffnock and Thornliebank,
G43 1UT,No,55.809758,-4.299769,255973,659781,NS559597,6/1/1996 12:00:00 AM,4/1/2006 12:00:00 AM,39,,,Thornliebank,0.8,Glasgow,Scottish Water,,East Renfrewshire,Giffnock and Thornliebank,
G43 1WA,No,55.809758,-4.299769,255973,659781,NS559597,12/1/2001 12:00:00 AM,10/1/2003 12:00:00 AM,39,,,Thornliebank,0.8,Glasgow,Scottish Water,,East Renfrewshire,Giffnock and Thornliebank,
G43 1YB,No,55.809758,-4.299769,255973,659781,NS559597,12/1/1997 12:00:00 AM,6/1/1998 12:00:00 AM,39,,,Thornliebank,0.8,Glasgow,Scottish Water,,East Renfrewshire,Giffnock and Thornliebank,
G43 1YH,No,55.809758,-4.299769,255973,659781,NS559597,12/1/2000 12:00:00 AM,9/1/2005 12:00:00 AM,39,,,Thornliebank,0.8,Glasgow,Scottish Water,,East Renfrewshire,Giffnock and Thornliebank,
G43 1YN,No,55.809758,-4.299769,255973,659781,NS559597,6/1/2002 12:00:00 AM,3/1/2003 12:00:00 AM,39,,,Thornliebank,0.8,Glasgow,Scottish Water,,East Renfrewshire,Giffnock and Thornliebank,
G43 1YQ,No,55.809758,-4.299769,255973,659781,NS559597,6/1/2002 12:00:00 AM,7/1/2005 12:00:00 AM,39,,,Thornliebank,0.8,Glasgow,Scottish Water,,East Renfrewshire,Giffnock and Thornliebank,
G43 1YR,No,55.809758,-4.299769,255973,659781,NS559597,6/1/2002 12:00:00 AM,11/1/2003 12:00:00 AM,39,,,Thornliebank,0.8,Glasgow,Scottish Water,,East Renfrewshire,Giffnock and Thornliebank,
G43 1YS,No,55.809758,-4.299769,255973,659781,NS559597,12/1/2002 12:00:00 AM,4/1/2006 12:00:00 AM,39,,,Thornliebank,0.8,Glasgow,Scottish Water,,East Renfrewshire,Giffnock and Thornliebank,
G43 2NW,No,55.809758,-4.299769,255973,659781,NS559597,10/1/1994 12:00:00 AM,4/1/2006 12:00:00 AM,39,,,Thornliebank,0.8,Glasgow,Scottish Water,,East Renfrewshire,Giffnock and Thornliebank,
G43 2RH,No,55.809758,-4.299769,255973,659781,NS559597,7/1/1992 12:00:00 AM,2/1/2013 12:00:00 AM,39,,,Thornliebank,0.8,Glasgow,Scottish Water,,East Renfrewshire,Giffnock and Thornliebank,
G43 2WB,No,55.809758,-4.299769,255973,659781,NS559597,9/1/2003 12:00:00 AM,2/1/2013 12:00:00 AM,39,,,Thornliebank,0.8,Glasgow,Scottish Water,,East Renfrewshire,Giffnock and Thornliebank,
G43 2WD,No,55.809758,-4.299769,255973,659781,NS559597,12/1/1997 12:00:00 AM,1/1/2004 12:00:00 AM,39,,,Thornliebank,0.8,Glasgow,Scottish Water,,East Renfrewshire,Giffnock and Thornliebank,
