Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CR2 5ER,No,51.300243,-0.096487,532800,157400,TQ327574,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,171,,,Whyteleafe South,1.4,Caterham,,,Tandridge,Portley & Queens Park,Caterham Hill
CR3 0AA,Yes,51.307715,-0.083207,533704,158255,TQ337582,1/1/1980 12:00:00 AM,,106,46,24,Whyteleafe,0.3,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AB,Yes,51.306651,-0.085791,533527,158132,TQ335581,1/1/1980 12:00:00 AM,,121,69,26,Whyteleafe,0.5,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AD,Yes,51.309768,-0.081171,533840,158487,TQ338584,1/1/1980 12:00:00 AM,,99,,,Whyteleafe,0.0,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AE,Yes,51.303163,-0.086941,533457,157742,TQ334577,1/1/1980 12:00:00 AM,,153,92,34,Whyteleafe South,0.7,Caterham,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AF,Yes,51.300853,-0.088156,533379,157483,TQ333574,1/1/1980 12:00:00 AM,,168,63,24,Whyteleafe South,0.8,Caterham,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AG,Yes,51.308275,-0.083401,533689,158317,TQ336583,1/1/1980 12:00:00 AM,,107,23,6,Whyteleafe,0.2,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AH,Yes,51.308079,-0.086234,533492,158290,TQ334582,1/1/1980 12:00:00 AM,,128,41,16,Whyteleafe,0.4,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AJ,Yes,51.306715,-0.086406,533484,158138,TQ334581,1/1/1980 12:00:00 AM,,120,63,24,Whyteleafe,0.5,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AL,Yes,51.303154,-0.077085,534144,157759,TQ341577,1/1/1980 12:00:00 AM,,108,23,7,Whyteleafe South,0.0,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AN,Yes,51.301148,-0.080311,533925,157530,TQ339575,1/1/1980 12:00:00 AM,,142,25,12,Whyteleafe South,0.3,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AP,Yes,51.300244,-0.080564,533910,157429,TQ339574,1/1/1980 12:00:00 AM,,150,29,14,Whyteleafe South,0.4,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AQ,Yes,51.301718,-0.076715,534174,157600,TQ341575,1/1/1980 12:00:00 AM,,115,44,14,Whyteleafe South,0.2,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AR,Yes,51.305221,-0.081934,533800,157980,TQ338579,1/1/1980 12:00:00 AM,,116,26,11,Whyteleafe South,0.4,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AS,Yes,51.305783,-0.085483,533551,158036,TQ335580,1/1/1980 12:00:00 AM,,133,37,15,Whyteleafe,0.6,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AT,Yes,51.310117,-0.080038,533918,158528,TQ339585,1/1/1991 12:00:00 AM,,100,,,Whyteleafe,0.1,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AU,Yes,51.308587,-0.084319,533624,158350,TQ336583,9/1/1991 12:00:00 AM,,117,52,36,Whyteleafe,0.3,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AW,No,51.279515,-0.074000,534428,155136,TQ344551,6/1/1999 12:00:00 AM,4/1/2006 12:00:00 AM,145,,,Caterham,0.4,Caterham,,,Tandridge,Harestone,Caterham Valley
CR3 0AX,Yes,51.305337,-0.076464,534181,158003,TQ341580,4/1/2008 12:00:00 AM,,112,5,4,Whyteleafe South,0.2,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0AZ,Yes,51.309373,-0.078548,534024,158448,TQ340584,6/1/2011 12:00:00 AM,,111,,,Upper Warlingham,0.1,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0BA,Yes,51.306111,-0.078626,534028,158085,TQ340580,1/1/1980 12:00:00 AM,,103,144,56,Upper Warlingham,0.3,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0BB,Yes,51.304406,-0.077176,534134,157898,TQ341578,1/1/1980 12:00:00 AM,,104,53,24,Whyteleafe South,0.1,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0BD,Yes,51.306620,-0.078404,534042,158142,TQ340581,1/1/1980 12:00:00 AM,,107,85,49,Upper Warlingham,0.2,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0BE,Yes,51.305569,-0.077386,534116,158027,TQ341580,1/1/1980 12:00:00 AM,,108,41,13,Whyteleafe South,0.2,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0BF,Yes,51.304132,-0.076384,534190,157869,TQ341578,1/1/1980 12:00:00 AM,,104,62,21,Whyteleafe South,0.1,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0BG,Yes,51.299488,-0.070152,534638,157364,TQ346573,1/1/1980 12:00:00 AM,,122,75,43,Whyteleafe South,0.6,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0BH,Yes,51.305664,-0.076622,534169,158039,TQ341580,1/1/1980 12:00:00 AM,,113,27,18,Whyteleafe South,0.2,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0BJ,Yes,51.300019,-0.072382,534481,157419,TQ344574,1/1/1980 12:00:00 AM,,112,14,6,Whyteleafe South,0.5,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0BL,Yes,51.299806,-0.072621,534465,157395,TQ344573,1/1/1980 12:00:00 AM,,110,48,17,Whyteleafe South,0.5,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0BN,Yes,51.307442,-0.078613,534025,158233,TQ340582,1/1/1980 12:00:00 AM,,110,20,8,Upper Warlingham,0.1,Whyteleafe,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0BP,Yes,51.295239,-0.079725,533983,156874,TQ339568,1/1/1980 12:00:00 AM,,162,29,10,Whyteleafe South,0.9,Caterham,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0BQ,Yes,51.297475,-0.080622,533914,157121,TQ339571,1/1/1980 12:00:00 AM,,169,57,28,Whyteleafe South,0.7,Caterham,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
CR3 0BR,Yes,51.306227,-0.074719,534300,158105,TQ342581,1/1/1980 12:00:00 AM,,133,56,30,Whyteleafe South,0.3,Warlingham,SES Water,Thames Water,Tandridge,Whyteleafe,Caterham Valley
