Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
RG17 0GW,Yes,51.447573,-1.552216,431215,172160,SU312721,8/1/2005 12:00:00 AM,,170,4,3,Hungerford,4.6,,Thames Water,,Wiltshire,Aldbourne & Ramsbury,
RG17 0LN,Yes,51.431753,-1.539971,432077,170406,SU320704,1/1/1983 12:00:00 AM,,104,16,7,Hungerford,2.7,,Thames Water,,Wiltshire,Aldbourne & Ramsbury,
RG17 0QT,Yes,51.435902,-1.538735,432160,170868,SU321708,12/1/2020 12:00:00 AM,,101,,,Hungerford,3.0,,,,Wiltshire,Aldbourne & Ramsbury,
RG17 0RE,Yes,51.384080,-1.537661,432271,165105,SU322651,1/1/1980 12:00:00 AM,,117,15,5,Hungerford,3.9,,Thames Water,,Wiltshire,Pewsey Vale East,
RG17 0RF,Yes,51.380064,-1.533980,432530,164660,SU325646,4/1/1987 12:00:00 AM,,124,,,Hungerford,4.2,,Thames Water,,Wiltshire,Pewsey Vale East,
RG17 0RG,Yes,51.385872,-1.545691,431711,165301,SU317653,1/1/1980 12:00:00 AM,,148,12,7,Bedwyn,3.7,,Thames Water,,Wiltshire,Pewsey Vale East,
RG17 0RH,Yes,51.379620,-1.544962,431766,164606,SU317646,1/1/1980 12:00:00 AM,,143,3,1,Bedwyn,3.7,,Thames Water,,Wiltshire,Pewsey Vale East,
RG17 0RJ,Yes,51.382361,-1.551042,431341,164908,SU313649,1/1/1980 12:00:00 AM,,150,8,3,Bedwyn,3.3,,Thames Water,,Wiltshire,Pewsey Vale East,
RG17 0RL,Yes,51.378004,-1.538268,432233,164429,SU322644,1/1/1980 12:00:00 AM,,131,2,1,Bedwyn,4.2,,Thames Water,,Wiltshire,Pewsey Vale East,
RG17 0RN,Yes,51.371038,-1.538870,432196,163654,SU321636,1/1/1980 12:00:00 AM,,128,13,4,Bedwyn,4.3,,Thames Water,,Wiltshire,Pewsey Vale East,
RG17 0RP,Yes,51.377578,-1.521663,433389,164389,SU333643,1/1/1980 12:00:00 AM,,160,8,3,Hungerford,4.2,,Thames Water,,Wiltshire,Pewsey Vale East,
RG17 0RQ,Yes,51.387853,-1.558275,430834,165516,SU308655,1/1/1980 12:00:00 AM,,134,13,5,Bedwyn,3.0,,Thames Water,,Wiltshire,Pewsey Vale East,
RG17 0RW,Yes,51.370985,-1.532291,432654,163651,SU326636,1/1/1980 12:00:00 AM,,130,15,6,Bedwyn,4.7,,Thames Water,,Wiltshire,Pewsey Vale East,
RG17 0RX,No,51.386231,-1.540528,432070,165343,SU320653,12/1/2001 12:00:00 AM,3/1/2012 12:00:00 AM,133,,,Hungerford,3.7,,,,Wiltshire,Pewsey Vale East,
RG17 0SB,No,51.387702,-1.555890,431000,165500,SU310654,8/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,147,,,Bedwyn,3.1,,,,Wiltshire,Pewsey Vale East,
RG17 0SE,No,51.387702,-1.555890,431000,165500,SU310654,7/1/1990 12:00:00 AM,6/1/1998 12:00:00 AM,147,,,Bedwyn,3.1,,,,Wiltshire,Pewsey Vale East,
RG17 0SS,Yes,51.423168,-1.571252,429908,169438,SU299694,1/1/1980 12:00:00 AM,,165,9,4,Hungerford,4.2,,Thames Water,,Wiltshire,Aldbourne & Ramsbury,
RG17 0SU,Yes,51.431263,-1.562171,430534,170342,SU305703,1/1/1980 12:00:00 AM,,110,63,2,Hungerford,3.9,,Thames Water,,Wiltshire,Aldbourne & Ramsbury,
RG17 0SX,Yes,51.429617,-1.545516,431693,170166,SU316701,1/1/1980 12:00:00 AM,,105,4,2,Hungerford,2.8,,Thames Water,,Wiltshire,Aldbourne & Ramsbury,
RG17 0TB,Yes,51.430909,-1.535492,432389,170314,SU323703,1/1/1980 12:00:00 AM,,105,16,7,Hungerford,2.4,,Thames Water,,Wiltshire,Aldbourne & Ramsbury,
RG17 0TD,Yes,51.431163,-1.536409,432325,170342,SU323703,1/1/1980 12:00:00 AM,,104,3,2,Hungerford,2.5,,Thames Water,,Wiltshire,Aldbourne & Ramsbury,
RG17 0TE,Yes,51.431603,-1.538160,432203,170390,SU322703,1/1/1980 12:00:00 AM,,105,29,13,Hungerford,2.6,,Thames Water,,Wiltshire,Aldbourne & Ramsbury,
RG17 0TF,Yes,51.432799,-1.540622,432031,170522,SU320705,1/1/1980 12:00:00 AM,,106,22,10,Hungerford,2.8,,Thames Water,,Wiltshire,Aldbourne & Ramsbury,
RG17 0TG,Yes,51.431552,-1.538981,432146,170384,SU321703,1/1/1980 12:00:00 AM,,104,34,15,Hungerford,2.6,,Thames Water,,Wiltshire,Aldbourne & Ramsbury,
RG17 0TH,Yes,51.433566,-1.548181,431505,170604,SU315706,1/1/1980 12:00:00 AM,,106,10,4,Hungerford,3.2,,Thames Water,,Wiltshire,Aldbourne & Ramsbury,
RG17 0TJ,Yes,51.434212,-1.550103,431371,170675,SU313706,1/1/1980 12:00:00 AM,,105,11,3,Hungerford,3.4,,Thames Water,,Wiltshire,Aldbourne & Ramsbury,
RG17 0TL,Yes,51.450307,-1.552564,431189,172464,SU311724,1/1/1980 12:00:00 AM,,172,6,3,Hungerford,4.8,,Thames Water,,Wiltshire,Aldbourne & Ramsbury,
