Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BN11 2AB,Yes,50.819983,-0.360872,515558,103551,TQ155035,1/1/1980 12:00:00 AM,,6,40,9,East Worthing,0.5,Worthing,Southern Water,,Worthing,Selden,Worthing East
BN11 2AD,Yes,50.819337,-0.361008,515550,103479,TQ155034,1/1/1980 12:00:00 AM,,5,76,20,East Worthing,0.5,Worthing,Southern Water,,Worthing,Selden,Worthing East
BN11 2AE,Yes,50.820507,-0.357205,515815,103615,TQ158036,1/1/1980 12:00:00 AM,,6,62,15,East Worthing,0.2,Worthing,Southern Water,,Worthing,Selden,Worthing East
BN11 2AF,Yes,50.821072,-0.356433,515868,103679,TQ158036,1/1/1980 12:00:00 AM,,6,75,39,East Worthing,0.1,Worthing,Southern Water,,Worthing,Selden,Worthing East
BN11 2AG,Yes,50.820027,-0.356981,515832,103562,TQ158035,1/1/1980 12:00:00 AM,,5,86,35,East Worthing,0.2,Worthing,Southern Water,,Worthing,Selden,Worthing East
BN11 2AH,Yes,50.819988,-0.355506,515936,103560,TQ159035,1/1/1980 12:00:00 AM,,5,10,9,East Worthing,0.2,Worthing,Southern Water,,Worthing,Selden,Worthing East
BN11 2AJ,Yes,50.819838,-0.355057,515968,103544,TQ159035,1/1/1980 12:00:00 AM,,5,14,7,East Worthing,0.2,Worthing,Southern Water,,Worthing,Selden,Worthing East
BN11 2AQ,Yes,50.819632,-0.357009,515831,103518,TQ158035,1/1/1980 12:00:00 AM,,4,21,10,East Worthing,0.3,Worthing,Southern Water,,Worthing,Selden,Worthing East
BN11 2AU,Yes,50.813068,-0.361583,515525,102781,TQ155027,1/1/1980 12:00:00 AM,,7,20,11,East Worthing,1.1,Worthing,Southern Water,,Worthing,Selden,Worthing East
BN11 2AY,Yes,50.814488,-0.361422,515533,102939,TQ155029,1/1/1980 12:00:00 AM,,8,49,30,East Worthing,0.9,Worthing,Southern Water,,Worthing,Selden,Worthing East
BN11 2BA,Yes,50.814750,-0.362205,515477,102967,TQ154029,1/1/1980 12:00:00 AM,,8,57,28,East Worthing,0.9,Worthing,Southern Water,,Worthing,Selden,Worthing East
BN11 2BD,No,50.812305,-0.359125,515700,102700,TQ157026,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,5,,,East Worthing,1.1,Worthing,,,Worthing,Selden,Worthing East
BN11 2BE,Yes,50.813827,-0.360438,515604,102867,TQ156028,1/1/1980 12:00:00 AM,,8,58,35,East Worthing,1.0,Worthing,Southern Water,,Worthing,Selden,Worthing East
BN11 2BF,Yes,50.815231,-0.360627,515587,103023,TQ155030,1/1/1993 12:00:00 AM,,8,46,21,East Worthing,0.8,Worthing,Southern Water,,Worthing,Selden,Worthing East
BN11 2BH,Yes,50.819949,-0.344476,516713,103573,TQ167035,12/1/2001 12:00:00 AM,,5,,,East Worthing,0.8,Worthing,,,Worthing,Selden,Worthing East
