Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
EH1 1PF,No,55.932281,-3.250038,322000,671730,NT220717,5/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,52,,,Slateford,0.7,Edinburgh,Scottish Water,,City of Edinburgh,Fountainbridge/Craiglockhart,
EH1 2AA,Yes,55.949292,-3.209415,324571,673578,NT245735,4/1/2003 12:00:00 AM,,69,,,Haymarket,0.7,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2AB,Yes,55.949627,-3.207312,324703,673613,NT247736,1/1/1980 12:00:00 AM,,71,,,Haymarket,0.8,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2AD,Yes,55.949931,-3.207882,324668,673647,NT246736,1/1/1980 12:00:00 AM,,71,0,0,Haymarket,0.8,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2AE,Yes,55.949508,-3.208413,324634,673601,NT246736,1/1/1980 12:00:00 AM,,70,5,2,Haymarket,0.7,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2AG,No,55.949500,-3.208317,324640,673600,NT246735,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,70,,,Haymarket,0.8,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2AH,No,55.949390,-3.208553,324625,673588,NT246735,1/1/1980 12:00:00 AM,5/1/2003 12:00:00 AM,70,,,Haymarket,0.7,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2AL,No,55.949500,-3.208317,324640,673600,NT246735,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,70,,,Haymarket,0.8,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2AN,Yes,55.949070,-3.208239,324644,673552,NT246735,1/1/1980 12:00:00 AM,,71,11,7,Haymarket,0.7,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2AQ,No,55.949500,-3.208317,324640,673600,NT246735,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,70,,,Haymarket,0.8,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2AS,Yes,55.948628,-3.208433,324631,673503,NT246735,1/1/1980 12:00:00 AM,,72,9,5,Haymarket,0.7,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2AT,No,55.948692,-3.208307,324639,673510,NT246735,1/1/1980 12:00:00 AM,6/1/1998 12:00:00 AM,72,,,Haymarket,0.7,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2AU,No,55.948583,-3.208368,324635,673498,NT246734,1/1/1980 12:00:00 AM,8/1/2005 12:00:00 AM,72,,,Haymarket,0.7,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2AX,No,55.948700,-3.208372,324635,673511,NT246735,1/1/1980 12:00:00 AM,11/1/2022 12:00:00 AM,72,,,Haymarket,0.7,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2AY,No,55.949500,-3.208317,324640,673600,NT246735,1/1/1980 12:00:00 AM,2/1/1995 12:00:00 AM,70,,,Haymarket,0.8,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BA,No,55.948318,-3.209721,324550,673470,NT245734,12/1/1990 12:00:00 AM,6/1/1996 12:00:00 AM,69,,,Haymarket,0.6,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BB,Yes,55.948338,-3.209545,324561,673472,NT245734,1/1/1980 12:00:00 AM,,70,5,3,Haymarket,0.6,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BD,Yes,55.948198,-3.209205,324582,673456,NT245734,1/1/1980 12:00:00 AM,,71,,,Haymarket,0.6,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BE,Yes,55.948241,-3.209334,324574,673461,NT245734,1/1/1980 12:00:00 AM,,71,,,Haymarket,0.6,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BF,No,55.948277,-3.209367,324572,673465,NT245734,5/1/1993 12:00:00 AM,12/1/1996 12:00:00 AM,70,,,Haymarket,0.6,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BG,No,55.948294,-3.209432,324568,673467,NT245734,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,70,,,Haymarket,0.6,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BH,No,55.948382,-3.209643,324555,673477,NT245734,1/1/1980 12:00:00 AM,6/1/2012 12:00:00 AM,69,,,Haymarket,0.6,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BL,No,55.948318,-3.209721,324550,673470,NT245734,7/1/1992 12:00:00 AM,12/1/1994 12:00:00 AM,69,,,Haymarket,0.6,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BP,No,55.948722,-3.209814,324545,673515,NT245735,1/1/1980 12:00:00 AM,2/1/2013 12:00:00 AM,69,,,Haymarket,0.6,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BQ,No,55.948294,-3.209432,324568,673467,NT245734,10/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,70,,,Haymarket,0.6,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BR,No,55.949040,-3.209423,324570,673550,NT245735,8/1/1973 12:00:00 AM,8/1/1976 12:00:00 AM,69,,,Haymarket,0.7,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BS,No,55.949500,-3.208317,324640,673600,NT246735,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,70,,,Haymarket,0.8,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BT,No,55.949130,-3.209426,324570,673560,NT245735,8/1/1973 12:00:00 AM,5/1/1976 12:00:00 AM,69,,,Haymarket,0.7,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
EH1 2BU,Yes,55.948963,-3.209518,324564,673542,NT245735,7/1/1992 12:00:00 AM,,69,,,Haymarket,0.7,Edinburgh,Scottish Water,,City of Edinburgh,City Centre,
