Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
EH10 4AA,Yes,55.929196,-3.208949,324561,671341,NT245713,1/1/1980 12:00:00 AM,,90,12,12,Haymarket,1.9,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
EH10 4AB,Yes,55.928910,-3.208812,324569,671309,NT245713,1/1/1980 12:00:00 AM,,89,0,0,Haymarket,2.0,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
EH10 4AD,Yes,55.929344,-3.207625,324644,671356,NT246713,1/1/1980 12:00:00 AM,,90,45,31,Haymarket,1.9,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
EH10 4AE,Yes,55.928945,-3.207036,324680,671311,NT246713,1/1/1980 12:00:00 AM,,88,20,14,Haymarket,2.0,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
EH10 4AF,Yes,55.928314,-3.207705,324637,671242,NT246712,1/1/1980 12:00:00 AM,,87,49,32,Haymarket,2.1,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
EH10 4AG,Yes,55.928096,-3.208019,324617,671218,NT246712,1/1/1980 12:00:00 AM,,86,41,28,Haymarket,2.1,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
EH10 4AH,Yes,55.929690,-3.207124,324676,671394,NT246713,1/1/1980 12:00:00 AM,,91,53,24,Haymarket,1.9,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
EH10 4AJ,Yes,55.929947,-3.207500,324653,671423,NT246714,1/1/1980 12:00:00 AM,,92,50,29,Haymarket,1.9,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
EH10 4AL,Yes,55.930270,-3.208486,324592,671460,NT245714,1/1/1980 12:00:00 AM,,94,110,55,Haymarket,1.8,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
EH10 4AN,Yes,55.930347,-3.206968,324687,671467,NT246714,1/1/1980 12:00:00 AM,,93,78,39,Haymarket,1.9,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
EH10 4AP,Yes,55.930635,-3.205104,324804,671497,NT248714,1/1/1980 12:00:00 AM,,93,69,29,Haymarket,1.9,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
EH10 4AQ,Yes,55.929168,-3.206307,324726,671335,NT247713,1/1/1980 12:00:00 AM,,89,31,15,Haymarket,2.0,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
EH10 4AR,Yes,55.929944,-3.205051,324806,671420,NT248714,1/1/1980 12:00:00 AM,,90,71,32,Haymarket,2.0,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
EH10 4AS,Yes,55.929692,-3.205955,324749,671393,NT247713,1/1/1980 12:00:00 AM,,90,55,30,Haymarket,2.0,Edinburgh,Scottish Water,,City of Edinburgh,Morningside,
