Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
EH1 1RZ,Yes,55.943218,-3.232954,323089,672928,NT230729,1/1/2004 12:00:00 AM,,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 1UF,No,55.943218,-3.232954,323089,672928,NT230729,12/1/1990 12:00:00 AM,4/1/2016 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 1UY,No,55.953105,-3.225405,323580,674020,NT235740,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,56,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 1WG,Yes,55.943218,-3.232954,323089,672928,NT230729,1/1/2007 12:00:00 AM,,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 1XG,No,55.943218,-3.232954,323089,672928,NT230729,3/1/2008 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 1YE,No,55.943218,-3.232954,323089,672928,NT230729,6/1/1996 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 1YF,No,55.943218,-3.232954,323089,672928,NT230729,2/1/2003 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 1YL,No,55.943311,-3.232669,323107,672938,NT231729,5/1/2009 12:00:00 AM,7/1/2012 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 1ZG,No,55.943218,-3.232954,323089,672928,NT230729,12/1/1996 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 1ZH,No,55.943218,-3.232954,323089,672928,NT230729,12/1/1996 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 1ZJ,No,55.943218,-3.232954,323089,672928,NT230729,12/1/1996 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 1ZL,No,55.943218,-3.232954,323089,672928,NT230729,12/1/1996 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 1ZN,No,55.943218,-3.232954,323089,672928,NT230729,6/1/1997 12:00:00 AM,5/1/2019 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 2GE,No,55.943311,-3.232669,323107,672938,NT231729,11/1/2012 12:00:00 AM,4/1/2013 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 2GF,No,55.943218,-3.232954,323089,672928,NT230729,7/1/2004 12:00:00 AM,7/1/2018 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 2LS,Yes,55.953889,-3.229226,323343,674111,NT233741,1/1/1980 12:00:00 AM,,92,,,Haymarket,1.1,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 2XU,Yes,55.943218,-3.232954,323089,672928,NT230729,6/1/2000 12:00:00 AM,,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 2YD,Yes,55.943218,-3.232954,323089,672928,NT230729,6/1/1997 12:00:00 AM,,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 2YG,No,55.943218,-3.232954,323089,672928,NT230729,12/1/2005 12:00:00 AM,7/1/2023 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 3LF,No,55.943311,-3.232669,323107,672938,NT231729,1/1/1980 12:00:00 AM,4/1/2012 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 3LG,No,55.943218,-3.232954,323089,672928,NT230729,12/1/1990 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 3WG,Yes,55.943218,-3.232954,323089,672928,NT230729,1/1/2008 12:00:00 AM,,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 3XB,No,55.943218,-3.232954,323089,672928,NT230729,12/1/1999 12:00:00 AM,12/1/2018 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AA,No,55.943311,-3.232669,323107,672938,NT231729,8/1/2008 12:00:00 AM,9/1/2014 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AF,No,55.943218,-3.232954,323089,672928,NT230729,9/1/2010 12:00:00 AM,4/1/2018 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AG,Yes,55.943218,-3.232954,323089,672928,NT230729,7/1/2013 12:00:00 AM,,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AH,No,55.943218,-3.232954,323089,672928,NT230729,5/1/2016 12:00:00 AM,3/1/2017 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AJ,Yes,55.943214,-3.232955,323089,672928,NT230729,4/1/2022 12:00:00 AM,,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AL,No,55.943214,-3.232955,323089,672928,NT230729,4/1/2017 12:00:00 AM,7/1/2017 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AN,No,55.943214,-3.232955,323089,672928,NT230729,1/1/2018 12:00:00 AM,8/1/2018 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AP,No,55.943214,-3.232955,323089,672928,NT230729,8/1/2018 12:00:00 AM,4/1/2020 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AQ,No,55.943214,-3.232955,323089,672928,NT230729,2/1/2019 12:00:00 AM,4/1/2020 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AR,No,55.943214,-3.232955,323089,672928,NT230729,6/1/2019 12:00:00 AM,7/1/2020 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AS,Yes,55.943214,-3.232955,323089,672928,NT230729,2/1/2020 12:00:00 AM,,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AT,Yes,55.943214,-3.232955,323089,672928,NT230729,12/1/2021 12:00:00 AM,,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AU,No,55.943214,-3.232955,323089,672928,NT230729,2/1/2022 12:00:00 AM,11/1/2022 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH1 9AW,Yes,55.943214,-3.232955,323089,672928,NT230729,9/1/2022 12:00:00 AM,,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH11 1DJ,No,55.943311,-3.232669,323107,672938,NT231729,7/1/2002 12:00:00 AM,7/1/2002 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH11 1GZ,No,55.943311,-3.232669,323107,672938,NT231729,6/1/2002 12:00:00 AM,6/1/2008 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH11 1QD,No,55.943311,-3.232669,323107,672938,NT231729,7/1/2002 12:00:00 AM,7/1/2002 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
EH11 1TD,No,55.943311,-3.232669,323107,672938,NT231729,6/1/2002 12:00:00 AM,6/1/2008 12:00:00 AM,47,,,Haymarket,0.9,Edinburgh,Scottish Water,,City of Edinburgh,Corstorphine/Murrayfield,
