Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BR5 2SP,Yes,51.401379,0.090643,545524,169001,TQ455690,1/1/1980 12:00:00 AM,,94,6,3,St Mary Cray,1.3,Bromley,Thames Water,,Bromley,Chislehurst,
BR5 2SR,Yes,51.403371,0.089843,545462,169221,TQ454692,1/1/1980 12:00:00 AM,,93,95,33,St Mary Cray,1.5,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AA,No,51.416161,0.067962,543900,170600,TQ439706,1/1/1980 12:00:00 AM,6/1/1997 12:00:00 AM,89,,,Chislehurst,1.4,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AB,Yes,51.416732,0.068761,543954,170665,TQ439706,1/1/1980 12:00:00 AM,,88,5,3,Chislehurst,1.5,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AD,No,51.416161,0.067962,543900,170600,TQ439706,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,89,,,Chislehurst,1.4,Bromley,,,Bromley,Chislehurst,
BR7 5AE,Yes,51.417493,0.067889,543891,170748,TQ438707,1/1/1980 12:00:00 AM,,85,11,5,Chislehurst,1.5,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AF,Yes,51.418043,0.067339,543851,170808,TQ438708,1/1/1980 12:00:00 AM,,82,18,11,Chislehurst,1.5,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AG,Yes,51.419394,0.065648,543729,170955,TQ437709,1/1/1980 12:00:00 AM,,80,19,13,Elmstead Woods,1.5,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AH,No,51.416161,0.067962,543900,170600,TQ439706,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,89,,,Chislehurst,1.4,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AJ,Yes,51.415936,0.067980,543902,170575,TQ439705,1/1/1980 12:00:00 AM,,90,25,17,Chislehurst,1.4,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AL,No,51.417051,0.068448,543931,170700,TQ439706,1/1/1980 12:00:00 AM,5/1/2018 12:00:00 AM,87,,,Chislehurst,1.5,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AN,Yes,51.418186,0.067877,543888,170825,TQ438708,1/1/1980 12:00:00 AM,,83,23,13,Chislehurst,1.6,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AP,Yes,51.418156,0.068555,543935,170823,TQ439708,1/1/1980 12:00:00 AM,,83,,,Chislehurst,1.6,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AQ,Yes,51.419678,0.066938,543818,170989,TQ438709,1/1/1980 12:00:00 AM,,80,47,20,Elmstead Woods,1.6,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AS,No,51.418531,0.067666,543872,170863,TQ438708,1/1/1980 12:00:00 AM,1/1/2023 12:00:00 AM,82,,,Chislehurst,1.6,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AT,Yes,51.416531,0.067892,543894,170641,TQ438706,12/1/1994 12:00:00 AM,,88,24,14,Chislehurst,1.4,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AU,No,51.420326,0.055622,543029,171039,TQ430710,7/1/1995 12:00:00 AM,8/1/2010 12:00:00 AM,92,,,Elmstead Woods,0.9,Bromley,,,Bromley,Chislehurst,
BR7 5AW,No,51.417958,0.068043,543900,170800,TQ439708,1/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,83,,,Chislehurst,1.6,Bromley,,,Bromley,Chislehurst,
BR7 5AX,Yes,51.416971,0.067926,543895,170690,TQ438706,12/1/1994 12:00:00 AM,,86,7,6,Chislehurst,1.5,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AY,Yes,51.419290,0.068488,543927,170949,TQ439709,1/1/1980 12:00:00 AM,,80,87,48,Elmstead Woods,1.7,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5AZ,Yes,51.418639,0.068677,543942,170877,TQ439708,1/1/1980 12:00:00 AM,,82,43,24,Chislehurst,1.6,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5BA,Yes,51.419635,0.066277,543772,170983,TQ437709,1/1/1980 12:00:00 AM,,79,,,Elmstead Woods,1.6,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5BB,No,51.418907,0.065209,543700,170900,TQ437708,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,80,,,Elmstead Woods,1.5,Bromley,,,Bromley,Chislehurst,
BR7 5BD,No,51.418882,0.066646,543800,170900,TQ437709,1/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,81,,,Elmstead Woods,1.6,Bromley,,,Bromley,Chislehurst,
BR7 5BE,No,51.418272,0.067079,543832,170833,TQ438708,1/1/1980 12:00:00 AM,1/1/2023 12:00:00 AM,82,,,Chislehurst,1.6,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5BF,Yes,51.414762,0.050324,542678,170410,TQ426704,6/1/2008 12:00:00 AM,,79,89,38,Elmstead Woods,0.5,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5BG,Yes,51.418680,0.064293,543637,170873,TQ436708,1/1/1980 12:00:00 AM,,81,69,26,Elmstead Woods,1.4,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5BH,Yes,51.416871,0.067476,543864,170678,TQ438706,1/1/1980 12:00:00 AM,,86,57,29,Chislehurst,1.4,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5BJ,Yes,51.416626,0.060964,543412,170638,TQ434706,7/1/1995 12:00:00 AM,,85,19,5,Elmstead Woods,1.2,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5BL,No,51.419765,0.066053,543756,170997,TQ437709,1/1/1980 12:00:00 AM,11/1/2015 12:00:00 AM,79,,,Elmstead Woods,1.5,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5BN,Yes,51.417741,0.066034,543761,170772,TQ437707,1/1/1980 12:00:00 AM,,82,31,22,Chislehurst,1.5,Bromley,Thames Water,,Bromley,Chislehurst,
BR7 5BP,No,51.416237,0.063650,543600,170600,TQ435706,1/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,81,,,Chislehurst,1.3,Bromley,,,Bromley,Chislehurst,
BR7 5BQ,Yes,51.419352,0.064956,543681,170949,TQ436709,1/1/1980 12:00:00 AM,,80,117,47,Elmstead Woods,1.5,Bromley,Thames Water,,Bromley,Chislehurst,
