Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
E4 7XB,No,51.642399,-0.014262,537500,195600,TQ374956,5/1/1994 12:00:00 AM,1/1/1995 12:00:00 AM,14,,,Ponders End,1.4,,,,Enfield,Ponders End,
E4 7XH,No,51.642399,-0.014262,537500,195600,TQ374956,8/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,14,,,Ponders End,1.4,,,,Enfield,Ponders End,
E4 7XR,No,51.642399,-0.014262,537500,195600,TQ374956,12/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,14,,,Ponders End,1.4,,,,Enfield,Ponders End,
EN1 1AA,Yes,51.651916,-0.077106,533124,196542,TQ331965,2/1/1990 12:00:00 AM,,34,,,Enfield Town,0.2,Enfield,Thames Water,,Enfield,Town,
EN1 1AB,No,51.651933,-0.077091,533125,196544,TQ331965,6/1/1996 12:00:00 AM,6/1/2008 12:00:00 AM,34,,,Enfield Town,0.2,Enfield,,,Enfield,Town,
EN1 1AD,No,51.651933,-0.077091,533125,196544,TQ331965,12/1/1996 12:00:00 AM,8/1/2004 12:00:00 AM,34,,,Enfield Town,0.2,Enfield,,,Enfield,Town,
EN1 1AE,No,51.645660,-0.066342,533887,195866,TQ338958,1/1/1993 12:00:00 AM,12/1/1999 12:00:00 AM,24,,,Bush Hill Park,0.5,Enfield,,,Enfield,Southbury,
EN1 1AF,No,51.649533,-0.064544,534000,196300,TQ339962,1/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,23,,,Southbury,0.8,Enfield,,,Enfield,Southbury,
EN1 1AG,No,51.651933,-0.077091,533125,196544,TQ331965,1/1/1993 12:00:00 AM,8/1/2010 12:00:00 AM,34,,,Enfield Town,0.2,Enfield,,,Enfield,Town,
EN1 1AH,No,51.651933,-0.077091,533125,196544,TQ331965,12/1/1996 12:00:00 AM,2/1/2004 12:00:00 AM,34,,,Enfield Town,0.2,Enfield,,,Enfield,Town,
EN1 1AJ,No,51.654224,-0.058923,534375,196832,TQ343968,5/1/1994 12:00:00 AM,1/1/2015 12:00:00 AM,26,,,Southbury,0.8,Enfield,,,Enfield,Carterhatch,
EN1 1AL,No,51.645606,-0.066359,533886,195860,TQ338958,7/1/1995 12:00:00 AM,12/1/1997 12:00:00 AM,24,,,Bush Hill Park,0.5,Enfield,,,Enfield,Southbury,
EN1 1AN,No,51.645606,-0.066359,533886,195860,TQ338958,6/1/1996 12:00:00 AM,6/1/1998 12:00:00 AM,24,,,Bush Hill Park,0.5,Enfield,,,Enfield,Southbury,
EN1 1AP,No,51.651933,-0.077091,533125,196544,TQ331965,10/1/2010 12:00:00 AM,5/1/2012 12:00:00 AM,34,,,Enfield Town,0.2,Enfield,,,Enfield,Town,
EN1 1AQ,No,51.645615,-0.066344,533887,195861,TQ338958,12/1/1997 12:00:00 AM,12/1/1998 12:00:00 AM,24,,,Bush Hill Park,0.5,Enfield,,,Enfield,Southbury,
EN1 1AR,No,51.651933,-0.077091,533125,196544,TQ331965,12/1/1997 12:00:00 AM,8/1/2007 12:00:00 AM,34,,,Enfield Town,0.2,Enfield,,,Enfield,Town,
