Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CM16 4AA,Yes,51.700005,0.112977,546118,202253,TL461022,1/1/1980 12:00:00 AM,,109,,,Epping,0.7,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AB,Yes,51.695252,0.105532,545619,201710,TL456017,1/1/1980 12:00:00 AM,,109,23,10,Epping,0.6,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AD,No,51.696018,0.108189,545800,201800,TL457018,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,108,,,Epping,0.5,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AE,Yes,51.696565,0.108244,545802,201861,TL458018,1/1/1980 12:00:00 AM,,108,19,9,Epping,0.5,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AF,Yes,51.697549,0.110069,545925,201974,TL459019,1/1/1980 12:00:00 AM,,109,7,3,Epping,0.5,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AG,Yes,51.698202,0.110766,545971,202048,TL459020,1/1/1980 12:00:00 AM,,110,,,Epping,0.5,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AH,Yes,51.696042,0.107088,545724,201800,TL457018,4/1/2017 12:00:00 AM,,109,,,Epping,0.5,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AJ,Yes,51.700010,0.113003,546120,202254,TL461022,7/1/2017 12:00:00 AM,,109,,,Epping,0.7,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AL,No,51.696044,0.106744,545700,201800,TL457018,8/1/1993 12:00:00 AM,1/1/1995 12:00:00 AM,108,,,Epping,0.6,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AN,No,51.700041,0.113007,546120,202257,TL461022,12/1/2000 12:00:00 AM,10/1/2015 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AP,Yes,51.700807,0.114184,546199,202345,TL461023,1/1/1980 12:00:00 AM,,109,8,3,Epping,0.8,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AQ,Yes,51.699236,0.112055,546057,202166,TL460021,1/1/1980 12:00:00 AM,,109,14,6,Epping,0.6,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AR,Yes,51.699795,0.112692,546099,202229,TL460022,6/1/1981 12:00:00 AM,,109,,,Epping,0.7,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AS,No,51.698326,0.110873,545978,202062,TL459020,6/1/1999 12:00:00 AM,4/1/2016 12:00:00 AM,109,,,Epping,0.6,Epping,Affinity Water,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AT,No,51.695321,0.110458,545959,201727,TL459017,7/1/1995 12:00:00 AM,6/1/2000 12:00:00 AM,100,,,Epping,0.3,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AU,Yes,51.700162,0.113288,546139,202271,TL461022,10/1/1985 12:00:00 AM,,109,1,1,Epping,0.7,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AW,No,51.700041,0.113007,546120,202257,TL461022,12/1/1997 12:00:00 AM,5/1/2002 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AX,No,51.695265,0.110542,545965,201721,TL459017,12/1/1998 12:00:00 AM,1/1/2001 12:00:00 AM,99,,,Epping,0.3,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4AY,Yes,51.695211,0.104028,545515,201702,TL455017,1/1/1980 12:00:00 AM,,109,20,11,Epping,0.7,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4AZ,No,51.700041,0.113007,546120,202257,TL461022,6/1/1998 12:00:00 AM,4/1/2006 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4BA,Yes,51.696556,0.107288,545736,201858,TL457018,1/1/1980 12:00:00 AM,,107,31,15,Epping,0.6,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4BB,No,51.695265,0.110542,545965,201721,TL459017,2/1/1990 12:00:00 AM,1/1/2001 12:00:00 AM,99,,,Epping,0.3,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4BD,Yes,51.697914,0.109056,545854,202013,TL458020,1/1/1980 12:00:00 AM,,107,19,8,Epping,0.6,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4BE,No,51.697789,0.109719,545900,202000,TL459020,1/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,109,,,Epping,0.5,Epping,,,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4BG,No,51.700041,0.113007,546120,202257,TL461022,12/1/1996 12:00:00 AM,3/1/2002 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4BH,No,51.699035,0.110949,545981,202141,TL459021,12/1/1998 12:00:00 AM,3/1/2024 12:00:00 AM,109,,,Epping,0.6,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4BJ,No,51.698661,0.111207,546000,202100,TL460020,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,109,,,Epping,0.6,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4BL,Yes,51.699288,0.111132,545993,202170,TL459021,1/1/1980 12:00:00 AM,,109,,,Epping,0.6,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4BN,No,51.700183,0.111610,546023,202270,TL460022,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,108,,,Epping,0.7,Epping,,,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4BP,Yes,51.700012,0.112094,546057,202252,TL460022,1/1/1980 12:00:00 AM,,108,9,5,Epping,0.7,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4BQ,Yes,51.699035,0.110949,545981,202141,TL459021,1/1/1980 12:00:00 AM,,109,,,Epping,0.6,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4BS,Yes,51.700239,0.112510,546085,202278,TL460022,1/1/1980 12:00:00 AM,,108,,,Epping,0.7,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4BT,Yes,51.700601,0.113161,546129,202320,TL461023,1/1/1980 12:00:00 AM,,108,,,Epping,0.8,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4BU,No,51.695321,0.110458,545959,201727,TL459017,6/1/1997 12:00:00 AM,6/1/1998 12:00:00 AM,100,,,Epping,0.3,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4BW,No,51.699560,0.111248,546000,202200,TL459022,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,108,,,Epping,0.7,Epping,,,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4BX,No,51.700695,0.113125,546126,202330,TL461023,1/1/1980 12:00:00 AM,7/1/2021 12:00:00 AM,108,,,Epping,0.8,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4BY,No,51.700720,0.113271,546136,202333,TL461023,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,108,,,Epping,0.8,Epping,,,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4BZ,Yes,51.701504,0.114433,546214,202423,TL462024,1/1/1980 12:00:00 AM,,105,,,Epping,0.9,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4DA,Yes,51.700812,0.113402,546145,202344,TL461023,1/1/1980 12:00:00 AM,,108,9,4,Epping,0.8,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4DB,Yes,51.694415,0.101271,545327,201608,TL453016,1/1/1980 12:00:00 AM,,111,23,14,Epping,0.9,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4DD,Yes,51.694523,0.102040,545380,201622,TL453016,1/1/1980 12:00:00 AM,,111,4,2,Epping,0.8,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4DE,Yes,51.693248,0.098655,545150,201473,TL451014,1/1/1980 12:00:00 AM,,112,13,4,Epping,1.0,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4DF,Yes,51.693034,0.098038,545108,201448,TL451014,1/1/1980 12:00:00 AM,,112,8,4,Epping,1.1,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4DG,Yes,51.692170,0.096059,544974,201348,TL449013,1/1/1980 12:00:00 AM,,113,2,1,Epping,1.2,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4DH,Yes,51.690697,0.092417,544727,201177,TL447011,1/1/1980 12:00:00 AM,,111,30,14,Epping,1.5,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4DJ,Yes,51.688885,0.087875,544419,200966,TL444009,1/1/1980 12:00:00 AM,,112,5,2,Epping,1.9,,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,North Weald and Nazeing
CM16 4DL,Yes,51.690301,0.093976,544836,201136,TL448011,1/1/1980 12:00:00 AM,,112,29,1,Epping,1.4,Epping,Thames Water,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4DN,No,51.700005,0.112977,546118,202253,TL461022,6/1/1997 12:00:00 AM,2/1/2017 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4DP,No,51.700565,0.112858,546108,202315,TL461023,1/1/1980 12:00:00 AM,10/1/2019 12:00:00 AM,108,,,Epping,0.8,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4DQ,Yes,51.692075,0.095603,544943,201337,TL449013,1/1/1980 12:00:00 AM,,112,25,9,Epping,1.3,Epping,Thames Water,,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4DR,No,51.695321,0.110458,545959,201727,TL459017,6/1/1999 12:00:00 AM,12/1/1999 12:00:00 AM,100,,,Epping,0.3,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4DS,No,51.700005,0.112977,546118,202253,TL461022,6/1/1999 12:00:00 AM,5/1/2024 12:00:00 AM,109,,,Epping,0.7,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4DT,No,51.695321,0.110458,545959,201727,TL459017,12/1/1999 12:00:00 AM,9/1/2000 12:00:00 AM,100,,,Epping,0.3,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4DU,Yes,51.690087,0.096368,545002,201117,TL450011,1/1/1980 12:00:00 AM,,110,8,3,Epping,1.3,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4DW,No,51.695265,0.110542,545965,201721,TL459017,12/1/1999 12:00:00 AM,6/1/2001 12:00:00 AM,99,,,Epping,0.3,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4DX,No,51.695265,0.110528,545964,201721,TL459017,12/1/1995 12:00:00 AM,12/1/1997 12:00:00 AM,99,,,Epping,0.3,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4DY,Yes,51.692564,0.101471,545347,201403,TL453014,1/1/1980 12:00:00 AM,,105,53,25,Epping,0.9,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4DZ,Yes,51.690964,0.098159,545123,201218,TL451012,1/1/1980 12:00:00 AM,,109,54,29,Epping,1.1,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4EA,Yes,51.690405,0.096730,545026,201153,TL450011,1/1/1980 12:00:00 AM,,110,25,9,Epping,1.2,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4EB,No,51.689011,0.097736,545100,201000,TL450010,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,103,,,Epping,1.2,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4ED,Yes,51.687449,0.094568,544886,200820,TL448008,1/1/1980 12:00:00 AM,,107,29,11,Epping,1.5,Epping,Affinity Water,Thames Water,Epping Forest,Theydon Bois with Passingford,Epping and Theydon Bois
CM16 4EE,Yes,51.688054,0.096433,545013,200891,TL450008,1/1/1980 12:00:00 AM,,103,11,4,Epping,1.4,Epping,Affinity Water,Thames Water,Epping Forest,Theydon Bois with Passingford,Epping and Theydon Bois
CM16 4EF,Yes,51.685766,0.095370,544947,200634,TL449006,1/1/1980 12:00:00 AM,,95,37,13,Epping,1.5,Epping,Affinity Water,Thames Water,Epping Forest,Theydon Bois with Passingford,Epping and Theydon Bois
CM16 4EG,No,51.700041,0.113007,546120,202257,TL461022,6/1/1999 12:00:00 AM,6/1/2004 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4EH,Yes,51.682876,0.094571,544901,200311,TL449003,1/1/1980 12:00:00 AM,,83,,,Theydon Bois,1.3,,Affinity Water,Thames Water,Epping Forest,Theydon Bois with Passingford,Epping and Theydon Bois
CM16 4EJ,Yes,51.685374,0.097481,545094,200595,TL450005,1/1/1980 12:00:00 AM,,88,9,5,Epping,1.5,Epping,Affinity Water,Thames Water,Epping Forest,Theydon Bois with Passingford,Epping and Theydon Bois
CM16 4EL,Yes,51.689151,0.102702,545443,201025,TL454010,1/1/1980 12:00:00 AM,,85,88,29,Epping,0.9,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4EN,No,51.700041,0.113007,546120,202257,TL461022,12/1/1999 12:00:00 AM,10/1/2015 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4EP,Yes,51.688863,0.106263,545690,201001,TL456010,1/1/1980 12:00:00 AM,,75,110,36,Epping,0.7,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4EQ,No,51.700041,0.113007,546120,202257,TL461022,6/1/2000 12:00:00 AM,12/1/2001 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4ER,Yes,51.688434,0.108864,545871,200958,TL458009,1/1/1980 12:00:00 AM,,74,113,44,Epping,0.7,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4ES,No,51.700005,0.112977,546118,202253,TL461022,6/1/2000 12:00:00 AM,5/1/2017 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4ET,No,51.695265,0.110542,545965,201721,TL459017,6/1/2000 12:00:00 AM,7/1/2001 12:00:00 AM,99,,,Epping,0.3,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4EU,No,51.700041,0.113007,546120,202257,TL461022,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4EX,No,51.700041,0.113007,546120,202257,TL461022,1/1/1992 12:00:00 AM,8/1/2008 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4EY,No,51.695321,0.110458,545959,201727,TL459017,1/1/1992 12:00:00 AM,9/1/2000 12:00:00 AM,100,,,Epping,0.3,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4EZ,No,51.700005,0.112977,546118,202253,TL461022,4/1/2010 12:00:00 AM,4/1/2020 12:00:00 AM,109,,,Epping,0.7,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4FA,Yes,51.699954,0.113623,546163,202249,TL461022,4/1/2018 12:00:00 AM,,108,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4FB,No,51.700041,0.113007,546120,202257,TL461022,12/1/2000 12:00:00 AM,3/1/2002 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4FD,Yes,51.694417,0.112225,546084,201630,TL460016,12/1/2000 12:00:00 AM,,90,21,16,Epping,0.1,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4FE,Yes,51.694433,0.112584,546109,201633,TL461016,12/1/2000 12:00:00 AM,,89,2,1,Epping,0.1,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4FF,Yes,51.694213,0.112519,546105,201608,TL461016,12/1/2000 12:00:00 AM,,87,35,23,Epping,0.1,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4FG,Yes,51.694149,0.111862,546060,201600,TL460015,12/1/2000 12:00:00 AM,,89,29,24,Epping,0.1,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4FH,No,51.688434,0.108864,545871,200958,TL458009,12/1/2000 12:00:00 AM,7/1/2001 12:00:00 AM,74,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4FJ,Yes,51.695817,0.104632,545555,201771,TL455017,7/1/2010 12:00:00 AM,,109,,,Epping,0.7,Epping,Affinity Water,Thames Water,Epping Forest,Epping West & Rural,Epping and Theydon Bois
CM16 4FL,Yes,51.688898,0.102806,545451,200998,TL454009,6/1/2014 12:00:00 AM,,84,,,Epping,0.9,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4FN,Yes,51.698601,0.111360,546011,202094,TL460020,9/1/2018 12:00:00 AM,,107,,,Epping,0.6,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4GD,No,51.700041,0.113007,546120,202257,TL461022,12/1/2000 12:00:00 AM,8/1/2009 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4GG,No,51.700005,0.112977,546118,202253,TL461022,12/1/2000 12:00:00 AM,2/1/2022 12:00:00 AM,109,,,Epping,0.7,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HA,Yes,51.697856,0.110775,545973,202010,TL459020,1/1/1980 12:00:00 AM,,109,9,6,Epping,0.5,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HB,No,51.696890,0.109677,545900,201900,TL458018,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,108,,,Epping,0.5,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HD,No,51.696890,0.109677,545900,201900,TL458018,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,108,,,Epping,0.5,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HE,No,51.696890,0.109677,545900,201900,TL458018,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,108,,,Epping,0.5,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HF,Yes,51.697281,0.110940,545986,201946,TL459019,1/1/1980 12:00:00 AM,,108,10,3,Epping,0.4,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HG,Yes,51.696476,0.113012,546132,201861,TL461018,1/1/1980 12:00:00 AM,,99,20,7,Epping,0.3,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HH,Yes,51.695889,0.113856,546192,201797,TL461017,1/1/1980 12:00:00 AM,,95,36,0,Epping,0.2,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HJ,Yes,51.695343,0.114713,546253,201738,TL462017,1/1/1980 12:00:00 AM,,90,19,11,Epping,0.2,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HL,Yes,51.694684,0.114350,546230,201664,TL462016,1/1/1980 12:00:00 AM,,89,88,59,Epping,0.1,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HN,Yes,51.696015,0.112643,546108,201809,TL461018,1/1/1980 12:00:00 AM,,98,44,18,Epping,0.3,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HP,No,51.695321,0.110458,545959,201727,TL459017,12/1/1998 12:00:00 AM,9/1/2000 12:00:00 AM,100,,,Epping,0.3,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HQ,No,51.695940,0.112527,546100,201800,TL460018,12/1/1998 12:00:00 AM,10/1/2000 12:00:00 AM,98,,,Epping,0.3,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HR,No,51.700041,0.113007,546120,202257,TL461022,6/1/2001 12:00:00 AM,5/1/2002 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HS,Yes,51.697910,0.110778,545973,202016,TL459020,10/1/2006 12:00:00 AM,,109,14,9,Epping,0.5,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HT,No,51.700005,0.112977,546118,202253,TL461022,6/1/1999 12:00:00 AM,5/1/2017 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HW,Yes,51.693739,0.113871,546200,201558,TL461015,1/1/1980 12:00:00 AM,,82,1,1,Epping,0.0,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HX,Yes,51.696241,0.110790,545979,201830,TL459018,1/1/1980 12:00:00 AM,,104,67,25,Epping,0.4,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HY,Yes,51.694674,0.111163,546010,201657,TL460016,1/1/1980 12:00:00 AM,,95,9,2,Epping,0.2,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4HZ,Yes,51.695129,0.110116,545936,201705,TL459017,1/1/1980 12:00:00 AM,,100,54,19,Epping,0.3,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JA,Yes,51.695815,0.109233,545873,201780,TL458017,1/1/1980 12:00:00 AM,,106,26,14,Epping,0.4,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JB,Yes,51.695557,0.111337,546019,201755,TL460017,1/1/1980 12:00:00 AM,,99,75,31,Epping,0.3,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JD,Yes,51.695268,0.112409,546094,201725,TL460017,1/1/1980 12:00:00 AM,,95,31,13,Epping,0.2,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JE,Yes,51.694995,0.112856,546126,201696,TL461016,1/1/1980 12:00:00 AM,,92,15,7,Epping,0.2,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JF,Yes,51.693708,0.110643,545977,201548,TL459015,1/1/1980 12:00:00 AM,,91,59,22,Epping,0.2,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JG,Yes,51.692063,0.109319,545891,201362,TL458013,1/1/1980 12:00:00 AM,,92,58,31,Epping,0.4,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JH,Yes,51.690266,0.108023,545807,201160,TL458011,1/1/1980 12:00:00 AM,,86,31,11,Epping,0.6,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JJ,No,51.694143,0.112443,546100,201600,TL460016,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,87,,,Epping,0.1,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JL,No,51.700041,0.113007,546120,202257,TL461022,12/1/1996 12:00:00 AM,9/1/2003 12:00:00 AM,109,,,Epping,0.7,Epping,,,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JN,Yes,51.692284,0.110302,545958,201389,TL459013,1/1/1980 12:00:00 AM,,89,59,27,Epping,0.3,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JP,Yes,51.688776,0.110356,545973,200999,TL459009,1/1/1980 12:00:00 AM,,73,51,22,Epping,0.6,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JQ,Yes,51.691139,0.108947,545868,201259,TL458012,1/1/1980 12:00:00 AM,,88,27,12,Epping,0.4,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JR,Yes,51.690423,0.107293,545756,201176,TL457011,1/1/1980 12:00:00 AM,,86,57,26,Epping,0.6,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JS,Yes,51.691379,0.108119,545810,201284,TL458012,1/1/1980 12:00:00 AM,,92,25,12,Epping,0.5,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JT,Yes,51.689940,0.108602,545848,201125,TL458011,1/1/1980 12:00:00 AM,,84,7,6,Epping,0.6,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JU,Yes,51.689321,0.109036,545880,201057,TL458010,1/1/1980 12:00:00 AM,,79,77,27,Epping,0.6,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JW,Yes,51.690783,0.111231,546027,201224,TL460012,1/1/1980 12:00:00 AM,,79,109,44,Epping,0.4,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JX,Yes,51.690353,0.109185,545887,201172,TL458011,1/1/1980 12:00:00 AM,,84,43,11,Epping,0.5,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JY,Yes,51.694018,0.109905,545925,201581,TL459015,1/1/1980 12:00:00 AM,,94,92,33,Epping,0.3,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
CM16 4JZ,Yes,51.694310,0.109166,545873,201612,TL458016,1/1/1980 12:00:00 AM,,98,88,32,Epping,0.3,Epping,Affinity Water,Thames Water,Epping Forest,Epping East,Epping and Theydon Bois
