Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
KT10 0AA,Yes,51.376586,-0.337268,515823,165482,TQ158654,1/1/1980 12:00:00 AM,,16,88,32,Hinchley Wood,0.3,West Molesey,Thames Water,,Elmbridge,Hinchley Wood and Weston Green,"Hinchley Wood, Claygate and Oxshott"
KT10 0AB,Yes,51.379169,-0.334890,515982,165773,TQ159657,1/1/1980 12:00:00 AM,,14,54,21,Hinchley Wood,0.6,West Molesey,Thames Water,,Elmbridge,Hinchley Wood and Weston Green,"Hinchley Wood, Claygate and Oxshott"
KT10 0AD,Yes,51.376460,-0.336578,515871,165469,TQ158654,1/1/1980 12:00:00 AM,,16,103,30,Hinchley Wood,0.3,West Molesey,Thames Water,,Elmbridge,Hinchley Wood and Weston Green,"Hinchley Wood, Claygate and Oxshott"
KT10 0AE,Yes,51.378316,-0.334979,515978,165678,TQ159656,1/1/1980 12:00:00 AM,,15,6,3,Hinchley Wood,0.5,West Molesey,Thames Water,,Elmbridge,Hinchley Wood and Weston Green,"Hinchley Wood, Claygate and Oxshott"
KT10 0AF,Yes,51.376816,-0.338188,515758,165506,TQ157655,12/1/1996 12:00:00 AM,,15,38,34,Hinchley Wood,0.3,West Molesey,Thames Water,,Elmbridge,Hinchley Wood and Weston Green,"Hinchley Wood, Claygate and Oxshott"
KT10 0AG,Yes,51.379412,-0.333539,516075,165802,TQ160658,1/1/1980 12:00:00 AM,,15,31,9,Hinchley Wood,0.7,West Molesey,Thames Water,,Elmbridge,Hinchley Wood and Weston Green,"Hinchley Wood, Claygate and Oxshott"
KT10 0AH,Yes,51.377601,-0.332053,516183,165603,TQ161656,1/1/1980 12:00:00 AM,,17,55,17,Hinchley Wood,0.7,West Molesey,Thames Water,,Elmbridge,Hinchley Wood and Weston Green,"Hinchley Wood, Claygate and Oxshott"
KT10 0AJ,Yes,51.377580,-0.327441,516504,165608,TQ165656,1/1/1980 12:00:00 AM,,19,85,31,Hinchley Wood,1.0,West Molesey,Thames Water,,Elmbridge,Hinchley Wood and Weston Green,"Hinchley Wood, Claygate and Oxshott"
KT10 0AL,Yes,51.377087,-0.326267,516587,165555,TQ165655,1/1/1980 12:00:00 AM,,24,81,28,Hinchley Wood,1.0,West Molesey,Thames Water,,Elmbridge,Hinchley Wood and Weston Green,"Hinchley Wood, Claygate and Oxshott"
KT10 0AN,Yes,51.377043,-0.327590,516495,165548,TQ164655,1/1/1980 12:00:00 AM,,20,72,23,Hinchley Wood,0.9,West Molesey,Thames Water,,Elmbridge,Hinchley Wood and Weston Green,"Hinchley Wood, Claygate and Oxshott"
