Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
PO14 1AA,Yes,50.853017,-1.192394,456946,106255,SU569062,1/1/1980 12:00:00 AM,,14,,,Fareham,0.0,Fareham,Portsmouth Water,Southern Water,Fareham,Avenue,Fareham Town
PO14 1AB,Yes,50.851779,-1.192925,456910,106117,SU569061,1/1/1980 12:00:00 AM,,13,131,55,Fareham,0.2,Fareham,Portsmouth Water,Southern Water,Fareham,Fort Fareham,Fareham Town
PO14 1AD,Yes,50.850663,-1.191552,457008,105994,SU570059,1/1/1980 12:00:00 AM,,13,135,49,Fareham,0.3,Fareham,Portsmouth Water,Southern Water,Fareham,Fort Fareham,Fareham Town
PO14 1AE,Yes,50.849284,-1.190994,457049,105841,SU570058,1/1/1980 12:00:00 AM,,10,105,39,Fareham,0.4,Fareham,Portsmouth Water,Southern Water,Fareham,Fort Fareham,Fareham Town
PO14 1AF,Yes,50.848433,-1.190270,457101,105747,SU571057,1/1/1980 12:00:00 AM,,10,56,25,Fareham,0.5,Fareham,Portsmouth Water,Southern Water,Fareham,Fort Fareham,Fareham Town
PO14 1AG,No,50.843288,-1.187390,457310,105177,SU573051,6/1/2001 12:00:00 AM,7/1/2002 12:00:00 AM,11,,,Fareham,1.1,Fareham,,,Fareham,Fort Fareham,Fareham Town
PO14 1AH,Yes,50.840575,-1.189129,457191,104874,SU571048,1/1/1980 12:00:00 AM,,13,11,3,Fareham,1.4,Fareham,Portsmouth Water,Southern Water,Fareham,Fort Fareham,Fareham Town
PO14 1AJ,Yes,50.840686,-1.184454,457520,104890,SU575048,6/1/2001 12:00:00 AM,,9,,,Fareham,1.5,Fareham,Portsmouth Water,Southern Water,Fareham,Fort Fareham,Fareham Town
PO14 1AL,Yes,50.840709,-1.185221,457466,104892,SU574048,2/1/2020 12:00:00 AM,,9,,,Fareham,1.5,Fareham,Portsmouth Water,Southern Water,Fareham,Fort Fareham,Fareham Town
PO14 1AN,Yes,50.837355,-1.185209,457471,104519,SU574045,1/1/1980 12:00:00 AM,,9,,,Fareham,1.8,Fareham,Portsmouth Water,Southern Water,Fareham,Fort Fareham,Fareham Town
PO14 1AP,No,50.840820,-1.184351,457527,104905,SU575049,10/1/2002 12:00:00 AM,4/1/2012 12:00:00 AM,9,,,Fareham,1.5,Fareham,Portsmouth Water,,Fareham,Fort Fareham,Fareham Town
PO14 1AQ,Yes,50.852848,-1.194129,456824,106235,SU568062,1/1/2008 12:00:00 AM,,14,44,27,Fareham,0.1,Fareham,Portsmouth Water,Southern Water,Fareham,Avenue,Fareham Town
PO14 1AR,Yes,50.838165,-1.182764,457642,104611,SU576046,1/1/1980 12:00:00 AM,,7,,,Fareham,1.8,Fareham,Portsmouth Water,Southern Water,Fareham,Fort Fareham,Fareham Town
PO14 1AT,No,50.837181,-1.184798,457500,104500,SU575044,7/1/1983 12:00:00 AM,5/1/1994 12:00:00 AM,9,,,Fareham,1.8,Fareham,,,Fareham,Fort Fareham,Fareham Town
PO14 1BF,No,50.843288,-1.187390,457310,105177,SU573051,6/1/2001 12:00:00 AM,7/1/2002 12:00:00 AM,11,,,Fareham,1.1,Fareham,,,Fareham,Fort Fareham,Fareham Town
