Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GU10 1BF,No,51.214570,-0.801678,483795,146834,SU837468,6/1/2001 12:00:00 AM,6/1/2003 12:00:00 AM,73,,,Farnham,0.7,Farnham,,,Waverley,Farnham Castle,Farnham Central
GU10 1FA,Yes,51.211842,-0.768703,486103,146569,SU861465,4/1/2012 12:00:00 AM,,61,,,Farnham,1.7,Runfold,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1FD,Yes,51.223197,-0.755683,486991,147847,SU869478,10/1/2007 12:00:00 AM,,76,5,1,Aldershot,2.6,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1FE,Yes,51.211739,-0.767417,486193,146559,SU861465,8/1/2010 12:00:00 AM,,65,9,3,Farnham,1.7,Runfold,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1FG,Yes,51.224856,-0.756773,486912,148030,SU869480,5/1/2016 12:00:00 AM,,74,,,Aldershot,2.4,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham North
GU10 1FH,Yes,51.211336,-0.766712,486243,146515,SU862465,8/1/2010 12:00:00 AM,,65,,,Farnham,1.8,Runfold,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1FN,Yes,51.227885,-0.758464,486788,148365,SU867483,12/1/2018 12:00:00 AM,,75,,,Aldershot,2.1,Badshot Lea,,,Waverley,Farnham Moor Park,Farnham North
GU10 1NL,No,51.212841,-0.751542,487300,146700,SU872467,1/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,112,,,Farnham,2.8,Runfold,,,Waverley,Farnham Moor Park,Farnham Central
GU10 1NP,Yes,51.218613,-0.770369,485974,147320,SU859473,7/1/2003 12:00:00 AM,,67,13,5,Farnham,1.7,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1NR,Yes,51.219039,-0.773884,485728,147363,SU857473,1/1/1980 12:00:00 AM,,76,3,1,Farnham,1.5,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1NS,Yes,51.218263,-0.771281,485911,147280,SU859472,1/1/1980 12:00:00 AM,,66,13,4,Farnham,1.6,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1NT,Yes,51.218092,-0.770243,485984,147262,SU859472,1/1/1980 12:00:00 AM,,72,2,1,Farnham,1.7,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1NU,No,51.220200,-0.767094,486200,147500,SU861475,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,74,,,Farnham,2.0,,,,Waverley,Farnham Moor Park,Farnham Central
GU10 1NX,Yes,51.220837,-0.765258,486327,147573,SU863475,1/1/1980 12:00:00 AM,,80,14,5,Farnham,2.1,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1NZ,Yes,51.220484,-0.766829,486218,147532,SU862475,1/1/1980 12:00:00 AM,,77,2,2,Farnham,2.0,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1PA,Yes,51.220431,-0.766844,486217,147526,SU862475,1/1/1980 12:00:00 AM,,77,4,2,Farnham,2.0,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1PB,Yes,51.220038,-0.760282,486676,147490,SU866474,1/1/1980 12:00:00 AM,,85,10,2,Farnham,2.4,Runfold,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1PD,No,51.224679,-0.765542,486300,148000,SU863479,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,89,,,Farnham,2.3,Badshot Lea,,,Waverley,Farnham Moor Park,Farnham North
GU10 1PE,Yes,51.220974,-0.756330,486950,147599,SU869475,1/1/1980 12:00:00 AM,,83,6,2,Farnham,2.7,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1PF,Yes,51.220938,-0.755529,487006,147596,SU870475,1/1/1980 12:00:00 AM,,81,3,2,Farnham,2.8,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1PG,Yes,51.220187,-0.750627,487350,147518,SU873475,1/1/1980 12:00:00 AM,,83,51,23,Aldershot,3.0,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1PH,Yes,51.221679,-0.754965,487044,147679,SU870476,1/1/1980 12:00:00 AM,,78,36,13,Aldershot,2.8,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1PJ,Yes,51.225369,-0.751873,487253,148093,SU872480,1/1/1980 12:00:00 AM,,77,12,4,Aldershot,2.4,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham Central
GU10 1PL,Yes,51.225414,-0.756998,486895,148092,SU868480,1/1/1980 12:00:00 AM,,73,46,16,Aldershot,2.3,,South East Water,Thames Water,Waverley,Farnham Moor Park,Farnham North
