Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BS10 6AD,Yes,51.517084,-2.595095,358804,179964,ST588799,4/1/2024 12:00:00 AM,,61,,,Patchway,2.4,Bristol,Bristol Water,,South Gloucestershire,Charlton & Cribbs,
BS10 6FG,Yes,51.516642,-2.595349,358786,179915,ST587799,6/1/2019 12:00:00 AM,,71,,,Patchway,2.5,Bristol,,,South Gloucestershire,Charlton & Cribbs,
BS10 6LB,Yes,51.517529,-2.597767,358619,180015,ST586800,1/1/1980 12:00:00 AM,,65,25,15,Patchway,2.6,Bristol,Bristol Water,,South Gloucestershire,Charlton & Cribbs,
BS10 6LY,Yes,51.515692,-2.595104,358802,179809,ST588798,1/1/1980 12:00:00 AM,,68,8,3,Patchway,2.5,Bristol,,,South Gloucestershire,Charlton & Cribbs,
BS10 6SW,Yes,51.515404,-2.609165,357826,179785,ST578797,1/1/1980 12:00:00 AM,,60,63,25,Patchway,3.4,Bristol,Bristol Water,,South Gloucestershire,Charlton & Cribbs,
BS10 6UA,Yes,51.514123,-2.609941,357771,179643,ST577796,7/1/2007 12:00:00 AM,,54,47,16,Filton Abbey Wood,3.4,Bristol,Bristol Water,,South Gloucestershire,Charlton & Cribbs,
BS10 7DD,No,51.523209,-2.609111,357837,180653,ST578806,6/1/1997 12:00:00 AM,8/1/2016 12:00:00 AM,52,,,Patchway,3.2,Patchway,Bristol Water,,South Gloucestershire,Charlton & Cribbs,
BS10 7FF,Yes,51.524890,-2.605402,358096,180838,ST580808,12/1/2010 12:00:00 AM,,53,,,Patchway,3.0,Patchway,,,South Gloucestershire,Charlton & Cribbs,
BS10 7FL,Yes,51.519519,-2.620102,357071,180249,ST570802,2/1/2012 12:00:00 AM,,41,,,Patchway,4.0,Patchway,Bristol Water,,South Gloucestershire,Charlton & Cribbs,
BS10 7FP,Yes,51.515253,-2.615434,357391,179772,ST573797,9/1/2023 12:00:00 AM,,80,,,Patchway,3.8,Bristol,Bristol Water,,South Gloucestershire,Charlton & Cribbs,
BS10 7FW,Yes,51.520787,-2.616330,357334,180388,ST573803,2/1/2017 12:00:00 AM,,47,,,Patchway,3.8,Patchway,,,South Gloucestershire,Charlton & Cribbs,
BS10 7FY,Yes,51.521555,-2.613991,357497,180472,ST574804,2/1/2022 12:00:00 AM,,49,,,Patchway,3.6,Patchway,,,South Gloucestershire,Charlton & Cribbs,
BS10 7FZ,Yes,51.521001,-2.614964,357429,180411,ST574804,8/1/2021 12:00:00 AM,,45,,,Patchway,3.7,Patchway,,,South Gloucestershire,Charlton & Cribbs,
BS10 7GA,Yes,51.514734,-2.616594,357310,179715,ST573797,5/1/2023 12:00:00 AM,,5,,,Filton Abbey Wood,3.9,Bristol,,,South Gloucestershire,Charlton & Cribbs,
BS10 7GF,Yes,51.517908,-2.626726,356610,180074,ST566800,2/1/2024 12:00:00 AM,,46,,,Sea Mills,4.5,Bristol,,,South Gloucestershire,Charlton & Cribbs,
BS10 7GG,Yes,51.518537,-2.626807,356605,180144,ST566801,10/1/2022 12:00:00 AM,,45,,,Patchway,4.5,Bristol,,,South Gloucestershire,Charlton & Cribbs,
BS10 7GH,Yes,51.518644,-2.627053,356588,180156,ST565801,3/1/2024 12:00:00 AM,,47,,,Patchway,4.5,,,,South Gloucestershire,Charlton & Cribbs,
BS10 7GJ,Yes,51.518596,-2.627614,356549,180151,ST565801,9/1/2023 12:00:00 AM,,48,,,Sea Mills,4.6,,,,South Gloucestershire,Charlton & Cribbs,
BS10 7GN,Yes,51.523409,-2.618758,357168,180681,ST571806,2/1/2024 12:00:00 AM,,54,,,Patchway,3.9,,,,South Gloucestershire,Charlton & Cribbs,
