Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CT18 7AA,Yes,51.100905,1.165072,621689,138276,TR216382,1/1/1980 12:00:00 AM,,111,56,24,Folkestone West,2.0,,Affinity Water,Southern Water,Folkestone and Hythe,East Folkestone,Folkestone East
CT18 7AB,Yes,51.100956,1.157378,621150,138258,TR211382,1/1/1980 12:00:00 AM,,126,3,2,Folkestone West,1.8,,Affinity Water,Southern Water,Folkestone and Hythe,Cheriton,"Cheriton, Sandgate & Hythe East"
CT18 7EG,Yes,51.099974,1.179354,622693,138216,TR226382,1/1/1980 12:00:00 AM,,159,34,13,Folkestone Central,2.0,,Affinity Water,Southern Water,Folkestone and Hythe,East Folkestone,Folkestone East
CT18 7EQ,Yes,51.103196,1.172989,622232,138555,TR222385,1/1/1980 12:00:00 AM,,120,14,7,Folkestone Central,2.3,,Affinity Water,Southern Water,Folkestone and Hythe,East Folkestone,Folkestone East
CT18 7FW,No,51.078582,1.177256,622649,135831,TR226358,6/1/2001 12:00:00 AM,6/1/2003 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7GA,Yes,51.096014,1.199993,624157,137838,TR241378,5/1/2002 12:00:00 AM,,164,23,14,Folkestone Central,2.6,Capel-le-Ferne,Affinity Water,,Folkestone and Hythe,Folkestone Harbour,Folkestone East
CT18 7GB,No,51.078582,1.177256,622649,135831,TR226358,6/1/2001 12:00:00 AM,3/1/2004 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7GD,No,51.078582,1.177256,622649,135831,TR226358,6/1/2000 12:00:00 AM,2/1/2009 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7GG,No,51.078616,1.177176,622643,135835,TR226358,11/1/2016 12:00:00 AM,11/1/2017 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,Affinity Water,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7GJ,No,51.078582,1.177256,622649,135831,TR226358,12/1/1998 12:00:00 AM,11/1/2006 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7GL,No,51.078612,1.177144,622641,135834,TR226358,6/1/1998 12:00:00 AM,4/1/2024 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,Affinity Water,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7GP,No,51.078582,1.177256,622649,135831,TR226358,12/1/2000 12:00:00 AM,6/1/2003 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7GQ,No,51.078582,1.177256,622649,135831,TR226358,12/1/2000 12:00:00 AM,2/1/2006 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7GR,No,51.078582,1.177256,622649,135831,TR226358,12/1/1999 12:00:00 AM,7/1/2004 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7GT,No,51.078582,1.177256,622649,135831,TR226358,12/1/2000 12:00:00 AM,6/1/2003 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7GU,No,51.078582,1.177256,622649,135831,TR226358,12/1/2000 12:00:00 AM,2/1/2009 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7JH,Yes,51.096423,1.198522,624052,137879,TR240378,1/1/1980 12:00:00 AM,,165,8,4,Folkestone Central,2.5,Capel-le-Ferne,Affinity Water,Southern Water,Folkestone and Hythe,Folkestone Harbour,Folkestone East
CT18 7JJ,Yes,51.097847,1.201594,624260,138047,TR242380,1/1/1980 12:00:00 AM,,165,43,20,Folkestone Central,2.8,Capel-le-Ferne,Affinity Water,Southern Water,Folkestone and Hythe,Folkestone Harbour,Folkestone East
CT18 7NX,No,51.078582,1.177256,622649,135831,TR226358,12/1/2001 12:00:00 AM,6/1/2008 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7RX,No,51.078582,1.177256,622649,135831,TR226358,1/1/2008 12:00:00 AM,1/1/2010 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7WD,Yes,51.078616,1.177176,622643,135835,TR226358,2/1/2019 12:00:00 AM,,41,,,Folkestone Central,0.7,Folkestone,Affinity Water,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7WE,No,51.078582,1.177256,622649,135831,TR226358,7/1/2002 12:00:00 AM,6/1/2003 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7WP,No,51.078582,1.177256,622649,135831,TR226358,8/1/2002 12:00:00 AM,8/1/2005 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7WT,No,51.078582,1.177256,622649,135831,TR226358,5/1/2003 12:00:00 AM,6/1/2011 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7WW,No,51.078582,1.177256,622649,135831,TR226358,3/1/2005 12:00:00 AM,5/1/2006 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7WX,No,51.078582,1.177256,622649,135831,TR226358,3/1/2005 12:00:00 AM,4/1/2007 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7WY,No,51.078582,1.177256,622649,135831,TR226358,1/1/2005 12:00:00 AM,1/1/2011 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7WZ,No,51.078582,1.177256,622649,135831,TR226358,11/1/2003 12:00:00 AM,2/1/2010 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7XQ,No,51.078582,1.177256,622649,135831,TR226358,9/1/2003 12:00:00 AM,2/1/2006 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 7XT,No,51.078582,1.177256,622649,135831,TR226358,7/1/2003 12:00:00 AM,7/1/2006 12:00:00 AM,41,,,Folkestone Central,0.7,Folkestone,,,Folkestone and Hythe,Folkestone Central,Folkestone West
CT18 8AL,No,51.090481,1.125953,619000,137000,TR190369,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,63,,,Folkestone West,2.1,Folkestone,,,Folkestone and Hythe,Cheriton,"Cheriton, Sandgate & Hythe East"
CT18 8AN,Yes,51.090242,1.124466,618897,136969,TR188369,1/1/1980 12:00:00 AM,,65,,,Folkestone West,2.1,Folkestone,Affinity Water,Southern Water,Folkestone and Hythe,Cheriton,"Cheriton, Sandgate & Hythe East"
CT18 8AW,No,51.092353,1.123223,618800,137200,TR188371,1/1/1993 12:00:00 AM,12/1/1995 12:00:00 AM,55,,,Folkestone West,2.3,Folkestone,,,Folkestone and Hythe,Cheriton,"Cheriton, Sandgate & Hythe East"
