Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GL14 1AA,Yes,51.802458,-2.450237,369051,211631,SO690116,1/1/1980 12:00:00 AM,,35,42,17,Lydney,11.3,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AB,Yes,51.803751,-2.453078,368856,211776,SO688117,1/1/1980 12:00:00 AM,,39,25,14,Lydney,11.3,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AD,Yes,51.802553,-2.450587,369027,211642,SO690116,1/1/1980 12:00:00 AM,,38,16,10,Lydney,11.3,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AE,Yes,51.801201,-2.451298,368977,211492,SO689114,4/1/2008 12:00:00 AM,,33,3,1,Lydney,11.1,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AF,Yes,51.802388,-2.451992,368930,211624,SO689116,1/1/1980 12:00:00 AM,,40,37,19,Lydney,11.2,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AG,Yes,51.802417,-2.448483,369172,211626,SO691116,12/1/1995 12:00:00 AM,,19,36,12,Cam and Dursley,11.3,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AH,Yes,51.803624,-2.452613,368888,211762,SO688117,1/1/1980 12:00:00 AM,,39,4,2,Lydney,11.3,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AJ,Yes,51.804697,-2.452479,368898,211881,SO688118,1/1/1980 12:00:00 AM,,36,36,23,Lydney,11.4,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AL,Yes,51.805028,-2.452961,368865,211918,SO688119,1/1/1980 12:00:00 AM,,36,40,18,Lydney,11.4,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AN,Yes,51.804774,-2.453451,368831,211890,SO688118,1/1/1980 12:00:00 AM,,38,27,10,Lydney,11.4,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AP,Yes,51.801993,-2.449624,369093,211579,SO690115,1/1/1980 12:00:00 AM,,29,11,7,Lydney,11.2,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AQ,Yes,51.802915,-2.453055,368857,211683,SO688116,1/1/1980 12:00:00 AM,,37,11,0,Lydney,11.2,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AR,Yes,51.803048,-2.448692,369158,211696,SO691116,1/1/1980 12:00:00 AM,,21,12,5,Cam and Dursley,11.3,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AS,No,51.803975,-2.450992,369000,211800,SO690118,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,34,,,Lydney,11.4,Newnham (Forest of Dean),,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AT,Yes,51.807464,-2.450722,369021,212188,SO690121,1/1/1980 12:00:00 AM,,25,,,Lydney,11.7,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AU,Yes,51.803308,-2.448259,369188,211725,SO691117,1/1/1980 12:00:00 AM,,18,8,4,Cam and Dursley,11.3,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AW,Yes,51.804771,-2.454263,368775,211890,SO687118,1/1/1980 12:00:00 AM,,39,22,6,Lydney,11.4,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AX,Yes,51.804085,-2.447991,369207,211811,SO692118,1/1/1980 12:00:00 AM,,18,31,20,Cam and Dursley,11.4,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AY,Yes,51.802289,-2.448989,369137,211612,SO691116,6/1/1997 12:00:00 AM,,25,8,4,Cam and Dursley,11.3,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1AZ,Yes,51.803307,-2.449187,369124,211725,SO691117,1/1/1980 12:00:00 AM,,26,13,5,Cam and Dursley,11.4,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BA,Yes,51.803144,-2.449447,369106,211707,SO691117,1/1/1980 12:00:00 AM,,29,14,8,Cam and Dursley,11.4,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BB,Yes,51.804022,-2.449557,369099,211805,SO690118,1/1/1980 12:00:00 AM,,27,39,19,Cam and Dursley,11.4,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BD,No,51.804612,-2.448910,369144,211870,SO691118,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,23,,,Cam and Dursley,11.5,Newnham (Forest of Dean),,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BE,Yes,51.804811,-2.448564,369168,211892,SO691118,1/1/1980 12:00:00 AM,,22,8,2,Cam and Dursley,11.5,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BG,Yes,51.805065,-2.448131,369198,211920,SO691119,1/1/1980 12:00:00 AM,,20,23,9,Cam and Dursley,11.5,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BH,Yes,51.805339,-2.446974,369278,211950,SO692119,1/1/1980 12:00:00 AM,,15,18,9,Cam and Dursley,11.5,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BJ,Yes,51.806808,-2.447627,369234,212114,SO692121,1/1/1980 12:00:00 AM,,16,25,12,Cam and Dursley,11.6,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BL,No,51.806359,-2.448289,369188,212064,SO691120,4/1/1985 12:00:00 AM,8/1/2014 12:00:00 AM,19,4,1,Cam and Dursley,11.6,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BN,Yes,51.806718,-2.447655,369232,212104,SO692121,4/1/1985 12:00:00 AM,,18,1,1,Cam and Dursley,11.6,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BP,Yes,51.805853,-2.453651,368818,212010,SO688120,9/1/1991 12:00:00 AM,,34,56,20,Lydney,11.5,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BQ,Yes,51.806210,-2.447273,369258,212047,SO692120,1/1/1980 12:00:00 AM,,19,2,2,Cam and Dursley,11.6,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BS,Yes,51.805062,-2.448799,369152,211920,SO691119,1/1/1980 12:00:00 AM,,21,27,12,Cam and Dursley,11.5,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BT,Yes,51.806556,-2.448509,369173,212086,SO691120,6/1/2001 12:00:00 AM,,20,6,3,Cam and Dursley,11.6,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BU,Yes,51.804599,-2.449969,369071,211869,SO690118,1/1/1980 12:00:00 AM,,26,19,9,Lydney,11.5,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BW,Yes,51.805442,-2.448150,369197,211962,SO691119,1/1/1980 12:00:00 AM,,20,11,5,Cam and Dursley,11.5,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BX,Yes,51.804866,-2.449870,369078,211899,SO690118,1/1/1980 12:00:00 AM,,25,2,1,Lydney,11.5,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BY,Yes,51.803795,-2.450266,369050,211780,SO690117,1/1/1980 12:00:00 AM,,32,32,16,Lydney,11.4,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1BZ,Yes,51.805064,-2.449872,369078,211921,SO690119,1/1/1980 12:00:00 AM,,25,8,4,Lydney,11.5,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DA,Yes,51.805535,-2.449688,369091,211973,SO690119,1/1/1980 12:00:00 AM,,23,24,10,Cam and Dursley,11.6,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DB,Yes,51.805460,-2.450601,369028,211965,SO690119,1/1/1980 12:00:00 AM,,26,14,5,Lydney,11.6,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DD,Yes,51.805716,-2.451720,368951,211994,SO689119,1/1/1980 12:00:00 AM,,29,26,10,Lydney,11.5,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DE,Yes,51.806009,-2.452680,368885,212027,SO688120,1/1/1980 12:00:00 AM,,31,,,Lydney,11.5,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DF,Yes,51.806580,-2.453035,368861,212091,SO688120,1/1/1980 12:00:00 AM,,29,53,24,Lydney,11.6,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DG,Yes,51.807062,-2.452372,368907,212144,SO689121,1/1/1980 12:00:00 AM,,27,30,11,Lydney,11.7,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DH,Yes,51.808005,-2.452729,368883,212249,SO688122,2/1/2008 12:00:00 AM,,27,19,6,Lydney,11.7,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DJ,Yes,51.803728,-2.452077,368925,211773,SO689117,1/1/1980 12:00:00 AM,,39,40,22,Lydney,11.3,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DL,Yes,51.804262,-2.453533,368825,211833,SO688118,1/1/1980 12:00:00 AM,,39,23,16,Lydney,11.3,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DN,Yes,51.805892,-2.448053,369204,212012,SO692120,1/1/1993 12:00:00 AM,,19,6,4,Cam and Dursley,11.6,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DP,Yes,51.805132,-2.451584,368960,211929,SO689119,2/1/1990 12:00:00 AM,,31,31,13,Lydney,11.5,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DQ,Yes,51.807790,-2.451886,368941,212225,SO689122,1/1/1980 12:00:00 AM,,26,16,11,Lydney,11.7,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DR,No,51.802160,-2.455325,368700,211600,SO686116,8/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,25,,,Lydney,11.1,,,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DS,Yes,51.798965,-2.453654,368813,211244,SO688112,1/1/1980 12:00:00 AM,,17,4,1,Lydney,10.8,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DT,Yes,51.799600,-2.454574,368750,211315,SO687113,1/1/1980 12:00:00 AM,,21,15,5,Lydney,10.8,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DU,Yes,51.798542,-2.457681,368535,211199,SO685111,1/1/1980 12:00:00 AM,,27,5,2,Lydney,10.6,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DW,Yes,51.804396,-2.451330,368977,211847,SO689118,2/1/1990 12:00:00 AM,,34,62,26,Lydney,11.4,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DX,Yes,51.797746,-2.457339,368558,211110,SO685111,1/1/1980 12:00:00 AM,,26,14,4,Lydney,10.6,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DY,Yes,51.796676,-2.457445,368550,210991,SO685109,1/1/1980 12:00:00 AM,,28,9,1,Lydney,10.5,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1DZ,Yes,51.787356,-2.456582,368603,209954,SO686099,1/1/1980 12:00:00 AM,,27,16,5,Lydney,9.6,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EA,Yes,51.785791,-2.460452,368335,209782,SO683097,1/1/1980 12:00:00 AM,,28,,,Lydney,9.3,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EB,Yes,51.786124,-2.453235,368833,209816,SO688098,1/1/1980 12:00:00 AM,,18,6,3,Lydney,9.6,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1ED,Yes,51.787381,-2.451494,368954,209955,SO689099,1/1/1980 12:00:00 AM,,18,28,9,Lydney,9.8,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EE,Yes,51.784071,-2.456404,368613,209589,SO686095,1/1/1980 12:00:00 AM,,22,4,1,Lydney,9.3,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EF,Yes,51.780676,-2.471286,367584,209218,SO675092,1/1/1980 12:00:00 AM,,70,79,15,Lydney,8.5,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EG,Yes,51.778417,-2.449983,369052,208957,SO690089,1/1/1980 12:00:00 AM,,18,9,3,Lydney,9.1,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EH,Yes,51.771798,-2.437556,369905,208216,SO699082,1/1/1980 12:00:00 AM,,26,9,3,Cam and Dursley,8.1,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EJ,Yes,51.773053,-2.432278,370270,208353,SO702083,1/1/1980 12:00:00 AM,,25,10,7,Cam and Dursley,8.0,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EL,Yes,51.774592,-2.429350,370473,208523,SO704085,1/1/1980 12:00:00 AM,,26,18,9,Cam and Dursley,8.0,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EN,Yes,51.777500,-2.433117,370215,208848,SO702088,1/1/1980 12:00:00 AM,,27,7,3,Cam and Dursley,8.4,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EP,Yes,51.767067,-2.424323,370815,207684,SO708076,1/1/1980 12:00:00 AM,,12,14,6,Cam and Dursley,7.1,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EQ,Yes,51.780314,-2.437044,369946,209163,SO699091,1/1/1980 12:00:00 AM,,13,6,2,Cam and Dursley,8.8,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1ER,Yes,51.768515,-2.433973,370150,207849,SO701078,1/1/1980 12:00:00 AM,,21,17,6,Cam and Dursley,7.7,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1ES,Yes,51.761026,-2.449477,369075,207023,SO690070,1/1/1980 12:00:00 AM,,17,23,7,Lydney,7.6,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1ET,Yes,51.758112,-2.454375,368735,206701,SO687067,1/1/1980 12:00:00 AM,,25,4,2,Lydney,7.2,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EU,Yes,51.759411,-2.457908,368492,206847,SO684068,1/1/1980 12:00:00 AM,,15,2,1,Lydney,7.1,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EW,Yes,51.770816,-2.425720,370721,208102,SO707081,1/1/1980 12:00:00 AM,,20,39,15,Cam and Dursley,7.5,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EX,Yes,51.805444,-2.452457,368900,211964,SO689119,1/1/2007 12:00:00 AM,,33,10,3,Lydney,11.5,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EY,Yes,51.807973,-2.448625,369166,212244,SO691122,12/1/2021 12:00:00 AM,,33,,,Cam and Dursley,11.8,Newnham (Forest of Dean),,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1EZ,Yes,51.807625,-2.448012,369208,212205,SO692122,11/1/2022 12:00:00 AM,,23,,,Cam and Dursley,11.7,Newnham (Forest of Dean),,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1FA,Yes,51.807712,-2.448724,369159,212215,SO691122,2/1/2023 12:00:00 AM,,24,,,Cam and Dursley,11.8,Newnham (Forest of Dean),,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1FB,Yes,51.807367,-2.449489,369106,212177,SO691121,4/1/2022 12:00:00 AM,,25,,,Cam and Dursley,11.8,Newnham (Forest of Dean),,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1FD,Yes,51.807568,-2.446445,369316,212198,SO693121,12/1/2021 12:00:00 AM,,33,,,Cam and Dursley,11.7,Newnham (Forest of Dean),,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1FE,Yes,51.805601,-2.452909,368869,211982,SO688119,2/1/2021 12:00:00 AM,,33,,,Lydney,11.5,Newnham (Forest of Dean),,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1FF,Yes,51.803017,-2.456059,368650,211696,SO686116,7/1/2022 12:00:00 AM,,33,,,Lydney,11.1,,,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1HG,Yes,51.807151,-2.455056,368722,212155,SO687121,1/1/1980 12:00:00 AM,,34,2,1,Lydney,11.6,Newnham (Forest of Dean),Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1HH,Yes,51.807411,-2.463689,368127,212188,SO681121,1/1/1980 12:00:00 AM,,65,34,10,Lydney,11.3,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1HJ,Yes,51.806887,-2.467324,367876,212131,SO678121,1/1/1980 12:00:00 AM,,95,24,5,Lydney,11.2,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
GL14 1HL,Yes,51.805917,-2.473826,367427,212026,SO674120,1/1/1980 12:00:00 AM,,108,6,3,Lydney,10.9,,Severn Trent,,Forest of Dean,Newnham,Blakeney and Bream
