Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BA10 0JW,Yes,51.147616,-2.388878,372895,138778,ST728387,1/1/1980 12:00:00 AM,,123,32,12,Bruton,5.7,,Wessex Water,,Somerset,Mendip Central and East,Mendip Central and East
BA10 0QD,Yes,51.133782,-2.445515,368924,137262,ST689372,1/1/1980 12:00:00 AM,,131,15,5,Bruton,2.5,,,,Somerset,Mendip South,Mendip South
BA10 0QG,Yes,51.145023,-2.423451,370475,138503,ST704385,1/1/1980 12:00:00 AM,,183,1,1,Bruton,4.1,,,,Somerset,Mendip South,Mendip South
BA10 0QH,Yes,51.121035,-2.470597,367160,135855,ST671358,1/1/1980 12:00:00 AM,,164,20,6,Bruton,1.9,,,,Somerset,Mendip South,Mendip South
BA10 0QJ,Yes,51.131094,-2.460066,367904,136969,ST679369,1/1/1980 12:00:00 AM,,152,9,2,Bruton,2.3,,,,Somerset,Mendip South,Mendip South
BA10 0QL,Yes,51.127541,-2.459617,367933,136574,ST679365,1/1/1980 12:00:00 AM,,113,8,3,Bruton,2.0,,,,Somerset,Mendip South,Mendip South
BA10 0QR,Yes,51.127227,-2.470745,367154,136544,ST671365,10/1/2011 12:00:00 AM,,183,,,Bruton,2.4,,,,Somerset,Mendip South,Mendip South
BA11 1AA,No,51.231627,-2.321197,377670,148098,ST776480,1/1/1980 12:00:00 AM,12/1/1997 12:00:00 AM,71,,,Frome,0.9,Frome,,,Somerset,Frome West,Frome West
BA11 1AB,Yes,51.231636,-2.321197,377670,148099,ST776480,1/1/1980 12:00:00 AM,,71,10,5,Frome,0.9,Frome,Bristol Water,,Somerset,Frome West,Frome West
BA11 1AD,No,51.231636,-2.321197,377670,148099,ST776480,2/1/1990 12:00:00 AM,10/1/2009 12:00:00 AM,71,,,Frome,0.9,Frome,Bristol Water,,Somerset,Frome West,Frome West
BA11 1AE,Yes,51.231274,-2.321825,377626,148059,ST776480,1/1/1980 12:00:00 AM,,74,,,Frome,0.9,Frome,Bristol Water,,Somerset,Frome West,Frome West
BA11 1AF,Yes,51.231270,-2.321650,377638,148058,ST776480,1/1/1980 12:00:00 AM,,73,1,0,Frome,0.9,Frome,Bristol Water,,Somerset,Frome West,Frome West
BA11 1AG,Yes,51.230833,-2.321879,377622,148010,ST776480,1/1/1980 12:00:00 AM,,79,,,Frome,0.9,Frome,Bristol Water,,Somerset,Frome West,Frome West
BA11 1AH,Yes,51.230879,-2.321550,377645,148015,ST776480,1/1/1980 12:00:00 AM,,76,,,Frome,0.9,Frome,Bristol Water,,Somerset,Frome West,Frome West
BA11 1AJ,Yes,51.231105,-2.321265,377665,148040,ST776480,1/1/1980 12:00:00 AM,,73,,,Frome,0.9,Frome,Bristol Water,,Somerset,Frome West,Frome West
