Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
FY0 1BR,No,53.754603,-3.008010,333634,429165,SD336291,2/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,7,,,St Annes-On-The-Sea,1.4,Lytham St Anne's,,,Fylde,Heyhouses,St. Annes South
FY0 1YN,No,53.754836,-3.009123,333561,429192,SD335291,2/1/1990 12:00:00 AM,6/1/1999 12:00:00 AM,7,,,St Annes-On-The-Sea,1.3,Lytham St Anne's,,,Fylde,Heyhouses,St. Annes South
FY0 1YS,No,53.754514,-3.007826,333646,429155,SD336291,4/1/1987 12:00:00 AM,5/1/2017 12:00:00 AM,7,,,St Annes-On-The-Sea,1.4,Lytham St Anne's,,,Fylde,Heyhouses,St. Annes South
FY0 1YY,No,53.754603,-3.008010,333634,429165,SD336291,2/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,7,,,St Annes-On-The-Sea,1.4,Lytham St Anne's,,,Fylde,Heyhouses,St. Annes South
FY0 1ZX,No,53.754603,-3.008010,333634,429165,SD336291,2/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,7,,,St Annes-On-The-Sea,1.4,Lytham St Anne's,,,Fylde,Heyhouses,St. Annes South
FY0 1ZY,No,53.754603,-3.008010,333634,429165,SD336291,2/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,7,,,St Annes-On-The-Sea,1.4,Lytham St Anne's,,,Fylde,Heyhouses,St. Annes South
FY0 1ZZ,No,53.754603,-3.008010,333634,429165,SD336291,2/1/2000 12:00:00 AM,9/1/2000 12:00:00 AM,7,,,St Annes-On-The-Sea,1.4,Lytham St Anne's,,,Fylde,Heyhouses,St. Annes South
FY3 0AA,Yes,53.824336,-3.001404,334179,436917,SD341369,1/1/1980 12:00:00 AM,,20,11,6,Layton (Lancs),2.2,Blackpool,United Utilities,,Fylde,Staining,Fylde West
FY3 0AB,Yes,53.824753,-3.003085,334069,436965,SD340369,1/1/1980 12:00:00 AM,,20,12,4,Layton (Lancs),2.1,Blackpool,United Utilities,,Fylde,Staining,Fylde West
FY3 0AD,Yes,53.824976,-3.003379,334050,436990,SD340369,1/1/1980 12:00:00 AM,,19,10,4,Layton (Lancs),2.1,Blackpool,United Utilities,,Fylde,Staining,Fylde West
