Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DN17 3AP,Yes,53.510927,-0.740866,483598,402320,SE835023,1/1/1980 12:00:00 AM,,5,17,7,Althorpe,8.3,,Anglian Water,,West Lindsey,Scotter and Blyton,Scotter Rural
DN17 3AR,Yes,53.509302,-0.741020,483591,402139,SE835021,6/1/1999 12:00:00 AM,,5,11,5,Althorpe,8.5,,Anglian Water,,West Lindsey,Scotter and Blyton,Scotter Rural
DN17 3AS,Yes,53.506058,-0.745473,483302,401773,SE833017,9/1/1991 12:00:00 AM,,3,34,14,Althorpe,8.9,,Anglian Water,,West Lindsey,Scotter and Blyton,Scotter Rural
DN17 3AT,Yes,53.506661,-0.730727,484279,401857,SE842018,1/1/1980 12:00:00 AM,,4,12,5,Althorpe,8.8,,Anglian Water,,West Lindsey,Scotter and Blyton,Scotter Rural
DN17 3AW,Yes,53.518962,-0.738215,483758,403217,SE837032,1/1/1980 12:00:00 AM,,5,17,7,Althorpe,7.4,,Anglian Water,,West Lindsey,Scotter and Blyton,Scotter Rural
DN20 8ST,Yes,53.575283,-0.436200,503644,409879,TA036098,1/1/1980 12:00:00 AM,,49,8,2,Barnetby,1.7,,Anglian Water,,North Lincolnshire,Brigg & Wolds,North Wolds
DN20 8SU,Yes,53.558776,-0.452098,502631,408020,TA026080,1/1/1980 12:00:00 AM,,32,21,10,Brigg,2.5,,Anglian Water,,West Lindsey,Kelsey Wold,North Wolds
DN20 8SX,Yes,53.559363,-0.453013,502569,408084,TA025080,1/1/1980 12:00:00 AM,,34,2,1,Brigg,2.5,,Anglian Water,,West Lindsey,Kelsey Wold,North Wolds
DN20 9FH,Yes,53.544200,-0.479781,500832,406359,TA008063,4/1/2010 12:00:00 AM,,10,35,11,Brigg,0.7,,Anglian Water,,West Lindsey,Kelsey Wold,North Wolds
DN20 9FQ,Yes,53.549088,-0.465286,501781,406923,TA017069,4/1/2016 12:00:00 AM,,2,,,Brigg,1.4,,Anglian Water,,West Lindsey,Kelsey Wold,North Wolds
DN20 9GZ,Yes,53.548133,-0.465833,501747,406816,TA017068,8/1/2011 12:00:00 AM,,10,,,Brigg,1.3,,Anglian Water,,West Lindsey,Kelsey Wold,North Wolds
DN20 9HE,Yes,53.549840,-0.464590,501825,407008,TA018070,1/1/1980 12:00:00 AM,,9,7,3,Brigg,1.4,,Anglian Water,,West Lindsey,Kelsey Wold,North Wolds
DN20 9HF,Yes,53.552884,-0.453661,502542,407362,TA025073,1/1/1980 12:00:00 AM,,15,11,6,Brigg,2.2,,Anglian Water,,West Lindsey,Kelsey Wold,North Wolds
DN20 9HG,Yes,53.557139,-0.441665,503326,407853,TA033078,1/1/1980 12:00:00 AM,,12,7,3,Barnetby,2.9,,Anglian Water,,West Lindsey,Kelsey Wold,North Wolds
DN20 9HH,Yes,53.553572,-0.433494,503876,407468,TA038074,1/1/1980 12:00:00 AM,,11,8,3,Barnetby,2.9,,Anglian Water,,West Lindsey,Kelsey Wold,North Wolds
DN20 9HJ,No,53.565436,-0.425143,504400,408800,TA043088,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,15,,,Barnetby,1.5,,,,West Lindsey,Kelsey Wold,North Wolds
DN20 9HL,Yes,53.552946,-0.428309,504221,407406,TA042074,1/1/1980 12:00:00 AM,,12,12,6,Barnetby,2.8,,Anglian Water,,West Lindsey,Kelsey Wold,North Wolds
DN20 9HN,Yes,53.550607,-0.436128,503709,407134,TA037071,1/1/1980 12:00:00 AM,,7,4,2,Barnetby,3.2,,Anglian Water,,West Lindsey,Kelsey Wold,North Wolds
DN21 1AA,Yes,53.389635,-0.773515,481665,388789,SK816887,1/1/1980 12:00:00 AM,,9,,,Gainsborough Lea Road,0.5,Gainsborough,Anglian Water,,West Lindsey,Gainsborough South-West,Gainsborough Trent
DN21 1AB,Yes,53.388952,-0.771760,481783,388715,SK817887,1/1/1980 12:00:00 AM,,9,69,35,Gainsborough Lea Road,0.4,Gainsborough,Anglian Water,,West Lindsey,Gainsborough South-West,Gainsborough Trent
DN21 1AD,Yes,53.388869,-0.772409,481740,388705,SK817887,1/1/1980 12:00:00 AM,,8,37,16,Gainsborough Lea Road,0.4,Gainsborough,Anglian Water,,West Lindsey,Gainsborough South-West,Gainsborough Trent
DN21 1AE,No,53.388830,-0.773011,481700,388700,SK817887,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,8,,,Gainsborough Lea Road,0.4,Gainsborough,,,West Lindsey,Gainsborough South-West,Gainsborough Trent
DN21 1AF,Yes,53.386932,-0.769970,481906,388492,SK819884,1/1/1980 12:00:00 AM,,11,11,5,Gainsborough Lea Road,0.1,Gainsborough,Anglian Water,,West Lindsey,Gainsborough South-West,Gainsborough Trent
DN21 1AG,No,53.388830,-0.773011,481700,388700,SK817887,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,8,,,Gainsborough Lea Road,0.4,Gainsborough,,,West Lindsey,Gainsborough South-West,Gainsborough Trent
DN21 1AH,Yes,53.385932,-0.773591,481667,388377,SK816883,1/1/1980 12:00:00 AM,,6,52,16,Gainsborough Lea Road,0.3,Gainsborough,Anglian Water,,West Lindsey,Gainsborough South-West,Gainsborough Trent
DN21 1AJ,Yes,53.385488,-0.769441,481944,388332,SK819883,1/1/1980 12:00:00 AM,,10,,,Gainsborough Lea Road,0.1,Gainsborough,Anglian Water,,West Lindsey,Gainsborough South-West,Gainsborough Trent
DN21 1AL,Yes,53.384869,-0.768662,481997,388264,SK819882,1/1/1980 12:00:00 AM,,9,20,8,Gainsborough Lea Road,0.1,Gainsborough,Anglian Water,,West Lindsey,Gainsborough South-West,Gainsborough Trent
DN21 1AN,Yes,53.383460,-0.767468,482079,388109,SK820881,1/1/1980 12:00:00 AM,,9,99,48,Gainsborough Lea Road,0.3,Gainsborough,Anglian Water,,West Lindsey,Gainsborough South-West,Gainsborough Trent
DN21 1AP,Yes,53.380961,-0.765691,482202,387833,SK822878,1/1/1980 12:00:00 AM,,11,72,38,Gainsborough Lea Road,0.6,Gainsborough,Anglian Water,,West Lindsey,Gainsborough South-West,Gainsborough Trent
DN21 1AQ,Yes,53.380486,-0.765810,482195,387780,SK821877,3/1/1988 12:00:00 AM,,10,26,12,Gainsborough Lea Road,0.6,Gainsborough,Anglian Water,,West Lindsey,Gainsborough South-West,Gainsborough Trent
DN21 1AR,Yes,53.380120,-0.764317,482295,387741,SK822877,1/1/1980 12:00:00 AM,,15,97,34,Gainsborough Lea Road,0.7,Gainsborough,Anglian Water,,West Lindsey,Gainsborough South-West,Gainsborough Trent
DN21 1AS,No,53.382477,-0.767180,482100,388000,SK821879,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,9,,,Gainsborough Lea Road,0.4,Gainsborough,,,West Lindsey,Gainsborough South-West,Gainsborough Trent
