Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NG14 5AA,Yes,52.982769,-1.044405,464254,343252,SK642432,4/1/1985 12:00:00 AM,,22,24,8,Burton Joyce,0.2,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AB,Yes,52.985549,-1.039297,464593,343566,SK645435,1/1/1980 12:00:00 AM,,21,8,3,Burton Joyce,0.3,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AD,Yes,52.985920,-1.039631,464570,343607,SK645436,1/1/1980 12:00:00 AM,,21,15,5,Burton Joyce,0.3,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AE,Yes,52.986364,-1.040008,464544,343656,SK645436,1/1/1980 12:00:00 AM,,22,25,9,Burton Joyce,0.3,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AF,Yes,52.985903,-1.040597,464505,343604,SK645436,1/1/1980 12:00:00 AM,,22,15,6,Burton Joyce,0.3,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AG,Yes,52.985806,-1.042151,464401,343592,SK644435,1/1/1980 12:00:00 AM,,23,7,3,Burton Joyce,0.3,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AH,Yes,52.984743,-1.041936,464417,343474,SK644434,1/1/1980 12:00:00 AM,,21,21,9,Burton Joyce,0.2,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AJ,Yes,52.985175,-1.044161,464267,343520,SK642435,1/1/1980 12:00:00 AM,,23,48,21,Burton Joyce,0.3,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AL,Yes,52.983907,-1.044144,464270,343379,SK642433,1/1/1980 12:00:00 AM,,23,13,6,Burton Joyce,0.2,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AN,Yes,52.984593,-1.040003,464547,343459,SK645434,1/1/1980 12:00:00 AM,,21,61,21,Burton Joyce,0.1,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AP,Yes,52.984016,-1.042056,464410,343393,SK644433,1/1/1980 12:00:00 AM,,22,55,19,Burton Joyce,0.1,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AQ,Yes,52.983579,-1.043374,464322,343343,SK643433,1/1/1980 12:00:00 AM,,22,4,2,Burton Joyce,0.2,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AR,Yes,52.984401,-1.045191,464199,343433,SK641434,1/1/1980 12:00:00 AM,,23,42,15,Burton Joyce,0.3,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AS,Yes,52.984101,-1.046985,464079,343398,SK640433,1/1/1980 12:00:00 AM,,24,58,23,Burton Joyce,0.4,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AT,Yes,52.982278,-1.049542,463910,343193,SK639431,1/1/1980 12:00:00 AM,,23,40,15,Burton Joyce,0.6,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AU,Yes,52.981484,-1.052509,463712,343102,SK637431,1/1/1980 12:00:00 AM,,28,27,10,Burton Joyce,0.8,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
NG14 5AW,Yes,52.982283,-1.052191,463732,343191,SK637431,1/1/1980 12:00:00 AM,,30,30,12,Burton Joyce,0.8,Carlton (Gedling),Severn Trent,,Gedling,Trent Valley,Carlton East
