Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
G1 1AE,Yes,55.862350,-4.246689,259489,665523,NS594655,1/1/2024 12:00:00 AM,,11,,,Glasgow Queen Street,0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1BA,No,55.860886,-4.241472,259810,665350,NS598653,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,34,,,High Street (Glasgow),0.2,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1BX,No,55.861510,-4.246702,259485,665430,NS594654,6/1/1998 12:00:00 AM,8/1/2014 12:00:00 AM,32,,,Glasgow Queen Street,0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1DE,No,55.868634,-4.241903,259811,666213,NS598662,1/1/2002 12:00:00 AM,3/1/2002 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1DF,No,55.868634,-4.241903,259811,666213,NS598662,6/1/1996 12:00:00 AM,8/1/2001 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1DH,No,55.868634,-4.241903,259811,666213,NS598662,6/1/1996 12:00:00 AM,1/1/2004 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1DY,No,55.868634,-4.241903,259811,666213,NS598662,5/1/2008 12:00:00 AM,8/1/2009 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1EH,No,55.868634,-4.241903,259811,666213,NS598662,12/1/1990 12:00:00 AM,1/1/2004 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1HQ,No,55.868634,-4.241903,259811,666213,NS598662,5/1/1993 12:00:00 AM,11/1/2002 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1HS,No,55.868634,-4.241903,259811,666213,NS598662,12/1/1995 12:00:00 AM,1/1/2004 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1JD,No,55.868634,-4.241903,259811,666213,NS598662,6/1/2007 12:00:00 AM,7/1/2007 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1JE,Yes,55.868740,-4.243491,259712,666228,NS597662,6/1/1998 12:00:00 AM,,49,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1JF,No,55.861702,-4.247512,259435,665453,NS594654,1/1/1980 12:00:00 AM,6/1/2023 12:00:00 AM,31,0,0,Glasgow Queen Street,0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1JH,Yes,55.862247,-4.246681,259489,665512,NS594655,1/1/1980 12:00:00 AM,,37,,,Glasgow Queen Street,0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1JJ,No,55.861954,-4.247447,259440,665481,NS594654,1/1/1980 12:00:00 AM,1/1/2013 12:00:00 AM,32,,,Glasgow Queen Street,0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1JN,No,55.861945,-4.247656,259427,665480,NS594654,12/1/1997 12:00:00 AM,9/1/2020 12:00:00 AM,32,0,0,Glasgow Queen Street,0.2,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1JP,Yes,55.861931,-4.247480,259438,665478,NS594654,11/1/2023 12:00:00 AM,,22,,,Glasgow Queen Street,0.2,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1JR,No,55.861694,-4.246473,259500,665450,NS595654,1/1/1980 12:00:00 AM,2/1/1995 12:00:00 AM,34,,,Glasgow Queen Street,0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1LR,No,55.868634,-4.241903,259811,666213,NS598662,12/1/1986 12:00:00 AM,12/1/2010 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1PS,No,55.868634,-4.241903,259811,666213,NS598662,12/1/1990 12:00:00 AM,7/1/2013 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1QE,Yes,55.860777,-4.241546,259805,665338,NS598653,1/1/1980 12:00:00 AM,,32,0,0,High Street (Glasgow),0.2,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1QF,Yes,55.859733,-4.240338,259877,665219,NS598652,1/1/1980 12:00:00 AM,,22,0,0,High Street (Glasgow),0.0,Glasgow,Scottish Water,,Glasgow City,Calton,
G1 1QX,Yes,55.861580,-4.248450,259376,665441,NS593654,5/1/2011 12:00:00 AM,,31,,,Glasgow Queen Street,0.2,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1QY,No,55.868634,-4.241903,259811,666213,NS598662,6/1/1996 12:00:00 AM,1/1/2004 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1RF,Yes,55.860967,-4.244132,259644,665364,NS596653,1/1/1980 12:00:00 AM,,31,0,0,High Street (Glasgow),0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1RG,No,55.861368,-4.244601,259616,665410,NS596654,1/1/1980 12:00:00 AM,1/1/2013 12:00:00 AM,35,,,High Street (Glasgow),0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1RJ,No,55.861694,-4.246473,259500,665450,NS595654,6/1/1986 12:00:00 AM,6/1/1996 12:00:00 AM,34,,,Glasgow Queen Street,0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1RL,No,55.868634,-4.241903,259811,666213,NS598662,4/1/2007 12:00:00 AM,5/1/2008 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1RQ,No,55.861199,-4.244047,259650,665390,NS596653,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,34,,,High Street (Glasgow),0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1RS,Yes,55.861245,-4.244691,259610,665396,NS596653,1/1/1980 12:00:00 AM,,35,0,0,High Street (Glasgow),0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1RY,No,55.861199,-4.244047,259650,665390,NS596653,7/1/1992 12:00:00 AM,12/1/1994 12:00:00 AM,34,,,High Street (Glasgow),0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1SE,No,55.861199,-4.244047,259650,665390,NS596653,5/1/1977 12:00:00 AM,7/1/1992 12:00:00 AM,34,,,High Street (Glasgow),0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1US,No,55.868634,-4.241903,259811,666213,NS598662,6/1/1996 12:00:00 AM,8/1/2002 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1WA,No,55.868634,-4.241903,259811,666213,NS598662,1/1/2002 12:00:00 AM,3/1/2002 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1WB,No,55.868634,-4.241903,259811,666213,NS598662,12/1/2001 12:00:00 AM,1/1/2002 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1WE,No,55.868634,-4.241903,259811,666213,NS598662,7/1/2003 12:00:00 AM,4/1/2009 12:00:00 AM,48,,,Glasgow Queen Street,0.9,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 1XH,Yes,55.861109,-4.243547,259681,665379,NS596653,12/1/1996 12:00:00 AM,,33,,,High Street (Glasgow),0.3,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
