Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
G1 2AA,No,55.862479,-4.251185,259208,665547,NS592655,1/1/1980 12:00:00 AM,1/1/2004 12:00:00 AM,28,,,Glasgow Queen Street,0.0,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 2AB,No,55.862145,-4.253259,259077,665514,NS590655,1/1/2015 12:00:00 AM,9/1/2018 12:00:00 AM,29,,,Glasgow Queen Street,0.1,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 2AE,No,55.863575,-4.251696,259180,665670,NS591656,8/1/1973 12:00:00 AM,11/1/1991 12:00:00 AM,37,,,Glasgow Queen Street,0.2,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 2AF,Yes,55.862049,-4.250827,259229,665498,NS592654,1/1/1980 12:00:00 AM,,29,0,0,Glasgow Queen Street,0.0,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 2AG,No,55.862054,-4.250841,259228,665499,NS592654,1/1/1980 12:00:00 AM,12/1/2018 12:00:00 AM,26,,,Glasgow Queen Street,0.0,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 2AH,Yes,55.862130,-4.252571,259120,665511,NS591655,1/1/1980 12:00:00 AM,,28,0,0,Glasgow Queen Street,0.1,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 2AJ,Yes,55.862379,-4.252729,259111,665539,NS591655,1/1/1980 12:00:00 AM,,30,0,0,Glasgow Queen Street,0.1,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 2AQ,Yes,55.862945,-4.251771,259173,665600,NS591656,1/1/1980 12:00:00 AM,,33,0,0,Glasgow Queen Street,0.1,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 2AT,No,55.863471,-4.252489,259130,665660,NS591656,8/1/1973 12:00:00 AM,12/1/1980 12:00:00 AM,35,,,Glasgow Queen Street,0.2,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
G1 2AW,No,55.862479,-4.251185,259208,665547,NS592655,8/1/1973 12:00:00 AM,7/1/1992 12:00:00 AM,28,,,Glasgow Queen Street,0.0,Glasgow,Scottish Water,,Glasgow City,Anderston/City/Yorkhill,
