Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
BA10 0AA,Yes,51.112261,-2.453879,368324,134872,ST683348,1/1/1980 12:00:00 AM,,68,22,8,Bruton,0.5,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AB,Yes,51.112486,-2.453967,368318,134897,ST683348,1/1/1980 12:00:00 AM,,70,22,9,Bruton,0.5,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AD,No,51.112382,-2.454380,368289,134886,ST682348,1/1/1980 12:00:00 AM,5/1/2013 12:00:00 AM,70,,,Bruton,0.5,Bruton,,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AE,Yes,51.111832,-2.454804,368259,134825,ST682348,1/1/1980 12:00:00 AM,,67,15,8,Bruton,0.5,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AF,Yes,51.119587,-2.447736,368759,135684,ST687356,3/1/2010 12:00:00 AM,,97,82,27,Bruton,0.9,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AG,Yes,51.111723,-2.455074,368240,134813,ST682348,1/1/1980 12:00:00 AM,,68,,,Bruton,0.6,Bruton,,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AH,Yes,51.112029,-2.455020,368244,134847,ST682348,1/1/1980 12:00:00 AM,,69,21,10,Bruton,0.6,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AJ,Yes,51.110591,-2.457849,368045,134688,ST680346,1/1/1980 12:00:00 AM,,64,22,8,Bruton,0.8,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AL,Yes,51.110877,-2.457608,368062,134720,ST680347,1/1/1980 12:00:00 AM,,65,39,16,Bruton,0.7,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AN,Yes,51.111378,-2.455928,368180,134775,ST681347,1/1/1980 12:00:00 AM,,69,17,6,Bruton,0.6,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AP,Yes,51.110344,-2.458360,368009,134661,ST680346,1/1/1980 12:00:00 AM,,62,2,1,Bruton,0.8,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AQ,No,51.110699,-2.457064,368100,134700,ST680346,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,65,,,Bruton,0.7,Bruton,,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AR,Yes,51.110488,-2.458890,367972,134677,ST679346,1/1/1980 12:00:00 AM,,63,,,Bruton,0.8,Bruton,,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AS,Yes,51.110980,-2.456624,368131,134731,ST681347,1/1/1980 12:00:00 AM,,68,30,28,Bruton,0.7,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AT,Yes,51.110058,-2.457857,368044,134629,ST680346,1/1/1980 12:00:00 AM,,61,16,8,Bruton,0.8,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AU,Yes,51.110949,-2.458366,368009,134728,ST680347,1/1/1980 12:00:00 AM,,68,3,2,Bruton,0.8,Bruton,,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AW,Yes,51.111485,-2.456257,368157,134787,ST681347,1/1/1980 12:00:00 AM,,71,16,9,Bruton,0.6,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AX,No,51.111587,-2.455373,368219,134798,ST682347,1/1/1980 12:00:00 AM,9/1/2009 12:00:00 AM,68,,,Bruton,0.6,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AY,Yes,51.112240,-2.459379,367939,134872,ST679348,1/1/1980 12:00:00 AM,,72,3,2,Bruton,0.9,Bruton,,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0AZ,Yes,51.111068,-2.459410,367936,134742,ST679347,1/1/1980 12:00:00 AM,,68,21,10,Bruton,0.9,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BA,Yes,51.109400,-2.461251,367806,134557,ST678345,1/1/1980 12:00:00 AM,,73,4,1,Bruton,1.0,,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BB,Yes,51.110000,-2.458771,367980,134623,ST679346,1/1/1980 12:00:00 AM,,63,12,4,Bruton,0.8,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BD,No,51.057353,-2.409923,371367,128748,ST713287,6/1/2011 12:00:00 AM,7/1/2012 12:00:00 AM,101,,,Templecombe,6.2,Wincanton,,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BE,Yes,51.109393,-2.457751,368051,134555,ST680345,7/1/1990 12:00:00 AM,,61,19,12,Bruton,0.8,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BG,Yes,51.110295,-2.459331,367941,134656,ST679346,1/1/1980 12:00:00 AM,,66,18,7,Bruton,0.9,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BH,Yes,51.110664,-2.459320,367942,134697,ST679346,1/1/1980 12:00:00 AM,,67,6,2,Bruton,0.9,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BJ,Yes,51.110856,-2.461494,367790,134719,ST677347,1/1/1980 12:00:00 AM,,77,18,7,Bruton,1.0,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BL,No,51.109778,-2.462769,367700,134600,ST676346,1/1/1993 12:00:00 AM,7/1/1997 12:00:00 AM,81,,,Bruton,1.1,,,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BN,Yes,51.110400,-2.462346,367730,134669,ST677346,1/1/1980 12:00:00 AM,,79,,,Bruton,1.1,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BP,Yes,51.108592,-2.457771,368049,134466,ST680344,1/1/1980 12:00:00 AM,,64,4,1,Bruton,0.8,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BQ,Yes,51.109921,-2.459213,367949,134614,ST679346,1/1/1980 12:00:00 AM,,64,,,Bruton,0.9,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BR,Yes,51.107216,-2.457929,368037,134313,ST680343,1/1/1980 12:00:00 AM,,70,6,3,Bruton,0.9,Bruton,,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BS,Yes,51.103617,-2.458608,367987,133913,ST679339,1/1/1980 12:00:00 AM,,96,3,1,Bruton,1.2,,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BT,Yes,51.106994,-2.459413,367933,134289,ST679342,1/1/1980 12:00:00 AM,,73,120,41,Bruton,1.0,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BU,Yes,51.107274,-2.456801,368116,134319,ST681343,1/1/1980 12:00:00 AM,,68,27,11,Bruton,0.8,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BW,Yes,51.112866,-2.468428,367306,134946,ST673349,1/1/1980 12:00:00 AM,,92,12,5,Bruton,1.5,,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BX,Yes,51.107615,-2.459362,367937,134358,ST679343,1/1/1980 12:00:00 AM,,66,51,17,Bruton,1.0,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BY,Yes,51.107792,-2.458549,367994,134377,ST679343,1/1/1980 12:00:00 AM,,64,2,1,Bruton,0.9,Bruton,,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0BZ,Yes,51.107659,-2.457391,368075,134362,ST680343,1/1/1980 12:00:00 AM,,67,28,16,Bruton,0.8,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0DA,Yes,51.106249,-2.461419,367792,134207,ST677342,1/1/1980 12:00:00 AM,,78,98,31,Bruton,1.2,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0DB,Yes,51.106675,-2.465880,367480,134256,ST674342,1/1/1980 12:00:00 AM,,64,8,2,Bruton,1.4,,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0DD,Yes,51.103078,-2.465101,367532,133856,ST675338,1/1/1980 12:00:00 AM,,81,62,20,Bruton,1.6,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0DE,Yes,51.104732,-2.463790,367625,134039,ST676340,1/1/1980 12:00:00 AM,,71,4,2,Bruton,1.4,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0DF,Yes,51.105352,-2.463181,367668,134108,ST676341,1/1/1980 12:00:00 AM,,77,226,0,Bruton,1.3,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0DG,Yes,51.111912,-2.457276,368086,134835,ST680348,1/1/1980 12:00:00 AM,,73,32,14,Bruton,0.7,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0DH,Yes,51.112724,-2.457598,368064,134925,ST680349,1/1/1980 12:00:00 AM,,77,6,2,Bruton,0.7,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0DJ,Yes,51.113867,-2.458809,367980,135053,ST679350,1/1/1980 12:00:00 AM,,85,32,12,Bruton,0.9,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0DL,Yes,51.104932,-2.462477,367717,134061,ST677340,7/1/1990 12:00:00 AM,,83,44,16,Bruton,1.3,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
BA10 0DN,Yes,51.111529,-2.457258,368087,134792,ST680347,1/1/1980 12:00:00 AM,,70,6,2,Bruton,0.7,Bruton,Wessex Water,,Somerset,Wincanton & Bruton,Wincanton and Bruton
