Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
GU10 1AA,Yes,51.233412,-0.732006,488625,149011,SU886490,1/1/1980 12:00:00 AM,,74,20,8,Ash,2.2,Ash and Ash Vale,South East Water,Thames Water,Guildford,Pilgrims,Shalford
GU10 1AB,Yes,51.234461,-0.733367,488528,149126,SU885491,1/1/1980 12:00:00 AM,,72,116,41,Ash,2.2,Ash and Ash Vale,South East Water,Thames Water,Guildford,Pilgrims,Shalford
GU10 1AD,Yes,51.233646,-0.733719,488505,149035,SU885490,1/1/1980 12:00:00 AM,,74,11,6,Ash,2.3,Ash and Ash Vale,South East Water,Thames Water,Guildford,Pilgrims,Shalford
GU10 1AE,Yes,51.233950,-0.731200,488680,149072,SU886490,1/1/1980 12:00:00 AM,,76,3,2,Ash,2.2,Ash and Ash Vale,South East Water,Thames Water,Guildford,Pilgrims,Shalford
GU10 1AF,Yes,51.236457,-0.732524,488583,149349,SU885493,1/1/1980 12:00:00 AM,,72,24,7,Ash,2.0,Ash and Ash Vale,South East Water,Thames Water,Guildford,Pilgrims,Shalford
GU10 1AG,Yes,51.236561,-0.732149,488609,149361,SU886493,1/1/1980 12:00:00 AM,,73,15,7,Ash,2.0,Ash and Ash Vale,South East Water,Thames Water,Guildford,Pilgrims,Shalford
GU10 1AH,Yes,51.241818,-0.734354,488445,149943,SU884499,8/1/1992 12:00:00 AM,,73,18,10,Ash,1.7,Ash and Ash Vale,South East Water,Thames Water,Guildford,Ash South,Shalford
GU10 1AJ,Yes,51.239009,-0.733973,488477,149631,SU884496,1/1/1980 12:00:00 AM,,73,89,38,Ash,1.9,Ash and Ash Vale,South East Water,Thames Water,Guildford,Ash South,Shalford
GU10 1AL,Yes,51.237694,-0.733823,488490,149485,SU884494,9/1/1991 12:00:00 AM,,71,64,38,Ash,2.0,Ash and Ash Vale,South East Water,Thames Water,Guildford,Pilgrims,Shalford
GU10 1AN,No,51.239641,-0.735058,488400,149700,SU884497,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,72,,,Aldershot,1.9,Ash and Ash Vale,,,Guildford,Ash South,Shalford
GU10 1AP,Yes,51.240642,-0.735303,488381,149811,SU883498,1/1/1980 12:00:00 AM,,72,24,9,Aldershot,1.8,Ash and Ash Vale,South East Water,Thames Water,Guildford,Ash South,Shalford
GU10 1AQ,Yes,51.236593,-0.733437,488519,149363,SU885493,1/1/1980 12:00:00 AM,,73,12,5,Ash,2.0,Ash and Ash Vale,South East Water,Thames Water,Guildford,Pilgrims,Shalford
GU10 1AR,Yes,51.239487,-0.733512,488508,149685,SU885496,1/1/1980 12:00:00 AM,,73,100,46,Ash,1.8,Ash and Ash Vale,South East Water,Thames Water,Guildford,Ash South,Shalford
GU10 1AS,Yes,51.241388,-0.734480,488437,149895,SU884498,1/1/1980 12:00:00 AM,,72,10,4,Ash,1.8,Ash and Ash Vale,South East Water,Thames Water,Guildford,Ash South,Shalford
GU10 1AT,Yes,51.241208,-0.735273,488382,149874,SU883498,1/1/1980 12:00:00 AM,,72,12,7,Aldershot,1.8,Ash and Ash Vale,South East Water,Thames Water,Guildford,Ash South,Shalford
GU10 1AU,Yes,51.241157,-0.733040,488538,149871,SU885498,1/1/1980 12:00:00 AM,,73,74,33,Ash,1.7,Ash and Ash Vale,South East Water,Thames Water,Guildford,Ash South,Shalford
GU10 1AW,Yes,51.238371,-0.734019,488475,149560,SU884495,6/1/1997 12:00:00 AM,,71,37,16,Ash,1.9,Ash and Ash Vale,South East Water,Thames Water,Guildford,Ash South,Shalford
GU10 1AX,Yes,51.241754,-0.730875,488688,149940,SU886499,1/1/1980 12:00:00 AM,,74,77,30,Ash,1.5,Ash and Ash Vale,South East Water,Thames Water,Guildford,Ash South,Shalford
GU10 1AY,Yes,51.234275,-0.732814,488567,149106,SU885491,1/1/1980 12:00:00 AM,,73,88,45,Ash,2.2,Ash and Ash Vale,South East Water,Thames Water,Guildford,Pilgrims,Shalford
GU10 1AZ,Yes,51.233752,-0.733472,488522,149047,SU885490,1/1/1980 12:00:00 AM,,74,22,12,Ash,2.3,Ash and Ash Vale,South East Water,Thames Water,Guildford,Pilgrims,Shalford
GU10 1BA,Yes,51.238575,-0.730475,488722,149587,SU887495,1/1/1980 12:00:00 AM,,79,27,11,Ash,1.7,Ash and Ash Vale,South East Water,Thames Water,Guildford,Ash South,Shalford
GU10 1BB,Yes,51.240045,-0.731695,488634,149749,SU886497,1/1/1980 12:00:00 AM,,78,65,39,Ash,1.7,Ash and Ash Vale,South East Water,Thames Water,Guildford,Ash South,Shalford
GU10 1BD,Yes,51.239215,-0.732262,488596,149656,SU885496,1/1/1980 12:00:00 AM,,77,74,29,Ash,1.8,Ash and Ash Vale,South East Water,Thames Water,Guildford,Ash South,Shalford
