Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
SA1 1WF,No,51.587935,-4.015025,260500,189600,SS605895,1/1/1991 12:00:00 AM,6/1/1996 12:00:00 AM,77,,,Swansea,6.5,Swansea,,,Swansea,West Cross,
SA1 1WJ,No,51.587935,-4.015025,260500,189600,SS605895,12/1/1999 12:00:00 AM,10/1/2000 12:00:00 AM,77,,,Swansea,6.5,Swansea,,,Swansea,West Cross,
SA1 1XE,No,51.646293,-4.020504,260300,196100,SS602961,1/1/1993 12:00:00 AM,7/1/1995 12:00:00 AM,22,,,Gowerton,1.1,Gowerton,,,Swansea,Waunarlwydd,
SA1 1XG,No,51.643597,-4.020384,260300,195800,SS602958,7/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,26,,,Gowerton,1.2,Gowerton,,,Swansea,Waunarlwydd,
SA1 6AG,Yes,51.632403,-3.975929,263342,194471,SS633944,3/1/2011 12:00:00 AM,,102,,,Swansea,2.5,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6AH,Yes,51.632496,-3.974647,263431,194479,SS634944,8/1/2011 12:00:00 AM,,100,,,Swansea,2.4,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6AJ,Yes,51.633471,-3.974978,263411,194588,SS634945,6/1/2012 12:00:00 AM,,105,,,Swansea,2.5,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6AW,Yes,51.632533,-3.975111,263399,194484,SS633944,7/1/2010 12:00:00 AM,,101,,,Swansea,2.5,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6LP,Yes,51.630470,-3.976196,263318,194257,SS633942,1/1/1980 12:00:00 AM,,128,41,16,Swansea,2.5,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6LW,Yes,51.629642,-3.978385,263164,194169,SS631941,1/1/1980 12:00:00 AM,,146,74,39,Swansea,2.6,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6QS,Yes,51.630781,-3.975891,263340,194291,SS633942,1/1/1980 12:00:00 AM,,122,58,30,Swansea,2.5,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6QT,Yes,51.631334,-3.978300,263175,194357,SS631943,1/1/1980 12:00:00 AM,,115,21,9,Swansea,2.6,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6RA,Yes,51.634407,-3.974369,263456,194691,SS634946,6/1/2001 12:00:00 AM,,110,114,43,Swansea,2.5,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6RB,Yes,51.633825,-3.974536,263443,194627,SS634946,6/1/2001 12:00:00 AM,,107,17,6,Swansea,2.5,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6RD,Yes,51.634160,-3.973336,263527,194662,SS635946,6/1/2001 12:00:00 AM,,105,31,14,Swansea,2.4,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6RE,Yes,51.634902,-3.973079,263547,194744,SS635947,12/1/2001 12:00:00 AM,,108,35,13,Swansea,2.4,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6RF,Yes,51.633026,-3.976823,263282,194542,SS632945,6/1/2001 12:00:00 AM,,104,153,82,Swansea,2.6,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6RG,Yes,51.633786,-3.977915,263209,194629,SS632946,6/1/2002 12:00:00 AM,,107,194,66,Swansea,2.7,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6SB,Yes,51.633542,-3.973435,263518,194593,SS635945,1/1/1993 12:00:00 AM,,103,,,Swansea,2.4,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6SD,Yes,51.633669,-3.979235,263117,194618,SS631946,2/1/2003 12:00:00 AM,,104,33,11,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6SF,Yes,51.632580,-3.980637,263017,194500,SS630944,1/1/1980 12:00:00 AM,,102,41,19,Swansea,2.8,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA1 6SG,Yes,51.633035,-3.978229,263185,194546,SS631945,4/1/2003 12:00:00 AM,,105,44,22,Swansea,2.7,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA18 2RG,Yes,51.772451,-3.992831,262598,210077,SN625100,1/1/1980 12:00:00 AM,,31,64,29,Pantyffynnon,0.8,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2RH,Yes,51.772497,-3.993833,262529,210084,SN625100,1/1/1980 12:00:00 AM,,27,74,33,Pantyffynnon,0.8,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2RJ,Yes,51.771004,-3.991158,262709,209913,SN627099,8/1/2008 12:00:00 AM,,44,4,2,Pantyffynnon,1.0,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2RL,Yes,51.768949,-3.995691,262390,209693,SN623096,1/1/1980 12:00:00 AM,,25,2,2,Pantyffynnon,1.1,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2RN,Yes,51.769417,-3.990997,262715,209736,SN627097,1/1/1980 12:00:00 AM,,60,52,23,Pantyffynnon,1.1,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2RP,Yes,51.763693,-3.992890,262567,209103,SN625091,1/1/1980 12:00:00 AM,,85,31,16,Pantyffynnon,1.7,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2RR,Yes,51.759157,-3.998921,262137,208610,SN621086,1/1/1980 12:00:00 AM,,73,18,7,Pantyffynnon,2.2,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2RS,Yes,51.753956,-4.001159,261967,208036,SN619080,1/1/1980 12:00:00 AM,,32,6,1,Pantyffynnon,2.8,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2RT,Yes,51.755283,-3.998865,262129,208179,SN621081,1/1/1980 12:00:00 AM,,122,13,6,Pantyffynnon,2.6,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2RU,Yes,51.761680,-4.000660,262025,208894,SN620088,1/1/1980 12:00:00 AM,,21,2,1,Pantyffynnon,1.9,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2RY,Yes,51.762086,-3.992717,262574,208924,SN625089,1/1/1980 12:00:00 AM,,100,10,4,Pantyffynnon,1.9,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2SA,Yes,51.762800,-3.990401,262736,208999,SN627089,1/1/1980 12:00:00 AM,,117,3,1,Pantyffynnon,1.9,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2SB,Yes,51.763300,-3.981428,263357,209038,SN633090,1/1/1980 12:00:00 AM,,148,1,1,Pantyffynnon,2.1,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2SD,Yes,51.758518,-3.993014,262543,208528,SN625085,1/1/1980 12:00:00 AM,,144,3,1,Pantyffynnon,2.3,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2SE,Yes,51.758646,-3.987161,262947,208531,SN629085,1/1/1980 12:00:00 AM,,184,8,3,Pantyffynnon,2.4,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA18 2SF,Yes,51.755680,-3.989600,262770,208206,SN627082,1/1/1980 12:00:00 AM,,206,1,1,Pantyffynnon,2.6,,Dwr Cymru Welsh Water,,Swansea,Pontarddulais,
SA2 0FE,Yes,51.634945,-3.977181,263263,194756,SS632947,12/1/2001 12:00:00 AM,,114,98,38,Swansea,2.7,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA2 0FG,Yes,51.631243,-3.982338,262895,194354,SS628943,1/1/1980 12:00:00 AM,,112,87,37,Swansea,2.9,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA2 0FH,Yes,51.635231,-3.981500,262965,194796,SS629947,1/1/1980 12:00:00 AM,,107,57,21,Swansea,3.0,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
SA2 0FJ,Yes,51.635094,-3.981975,262932,194782,SS629947,1/1/1980 12:00:00 AM,,103,,,Swansea,3.0,Swansea,Dwr Cymru Welsh Water,,Swansea,Cockett,
