Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
NG13 0GW,Yes,52.927289,-0.759814,483467,337373,SK834373,9/1/2008 12:00:00 AM,,46,4,1,Bottesford,3.0,,Anglian Water,,South Kesteven,Belvoir,Grantham Barrowby
NG13 0LD,No,52.909668,-0.640640,491515,335558,SK915355,12/1/2000 12:00:00 AM,7/1/2017 12:00:00 AM,62,,,Grantham,0.4,Grantham,,,South Kesteven,Grantham St Wulfram's,Grantham West
NG13 0WD,No,52.909785,-0.640577,491519,335571,SK915355,2/1/2010 12:00:00 AM,2/1/2015 12:00:00 AM,62,,,Grantham,0.4,Grantham,,,South Kesteven,Grantham St Wulfram's,Grantham West
NG13 0WG,No,52.909690,-0.640635,491515,335560,SK915355,11/1/2019 12:00:00 AM,7/1/2022 12:00:00 AM,62,,,Grantham,0.4,Grantham,,,South Kesteven,Grantham St Wulfram's,Grantham West
NG13 0WQ,Yes,52.909668,-0.640640,491515,335558,SK915355,2/1/2008 12:00:00 AM,,62,,,Grantham,0.4,Grantham,,,South Kesteven,Grantham St Wulfram's,Grantham West
NG13 0WR,No,52.909668,-0.640640,491515,335558,SK915355,1/1/2007 12:00:00 AM,2/1/2020 12:00:00 AM,62,,,Grantham,0.4,Grantham,,,South Kesteven,Grantham St Wulfram's,Grantham West
NG13 0WW,Yes,52.909690,-0.640635,491515,335560,SK915355,7/1/2018 12:00:00 AM,,28,,,Grantham,0.4,Grantham,,,South Kesteven,Grantham St Wulfram's,Grantham West
NG13 0XA,No,52.909690,-0.640635,491515,335560,SK915355,6/1/2018 12:00:00 AM,1/1/2019 12:00:00 AM,62,,,Grantham,0.4,Grantham,,,South Kesteven,Grantham St Wulfram's,Grantham West
NG13 0YY,No,52.909690,-0.640635,491515,335560,SK915355,11/1/2021 12:00:00 AM,12/1/2022 12:00:00 AM,62,,,Grantham,0.4,Grantham,,,South Kesteven,Grantham St Wulfram's,Grantham West
NG13 0YZ,Yes,52.909690,-0.640635,491515,335560,SK915355,7/1/2020 12:00:00 AM,,62,,,Grantham,0.4,Grantham,,,South Kesteven,Grantham St Wulfram's,Grantham West
