Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DA11 0AA,Yes,51.442612,0.367717,564647,174172,TQ646741,1/1/1980 12:00:00 AM,,21,,,Gravesend,0.2,Gravesend,Southern Water,,Gravesham,Town,Northfleet & Gravesend West
DA11 0AB,Yes,51.442579,0.366247,564545,174165,TQ645741,1/1/1980 12:00:00 AM,,20,6,3,Gravesend,0.1,Gravesend,Southern Water,,Gravesham,Town,Northfleet & Gravesend West
DA11 0AD,Yes,51.442549,0.365066,564463,174159,TQ644741,1/1/1980 12:00:00 AM,,20,8,4,Gravesend,0.2,Gravesend,Southern Water,,Gravesham,Town,Northfleet & Gravesend West
DA11 0AE,Yes,51.442328,0.365701,564508,174136,TQ645741,1/1/1980 12:00:00 AM,,19,11,4,Gravesend,0.1,Gravesend,Southern Water,,Gravesham,Town,Northfleet & Gravesend West
DA11 0AF,Yes,51.442268,0.367756,564651,174134,TQ646741,1/1/1980 12:00:00 AM,,21,,,Gravesend,0.1,Gravesend,Southern Water,,Gravesham,Town,Northfleet & Gravesend West
DA11 0AG,No,51.441949,0.368444,564700,174100,TQ646741,1/1/1980 12:00:00 AM,1/1/1995 12:00:00 AM,21,,,Gravesend,0.1,Gravesend,,,Gravesham,Town,Northfleet & Gravesend West
DA11 0AH,Yes,51.444846,0.365255,564468,174415,TQ644744,1/1/1980 12:00:00 AM,,9,89,64,Gravesend,0.4,Gravesend,Southern Water,,Gravesham,Town,Northfleet & Gravesend West
DA11 0AJ,No,51.442154,0.364512,564426,174114,TQ644741,5/1/1994 12:00:00 AM,9/1/2020 12:00:00 AM,20,,,Gravesend,0.2,Gravesend,Thames Water,Southern Water,Gravesham,Pelham,Northfleet & Gravesend West
DA11 0AL,No,51.442719,0.364570,564428,174177,TQ644741,1/1/1980 12:00:00 AM,6/1/2008 12:00:00 AM,19,,,Gravesend,0.2,Gravesend,,,Gravesham,Town,Northfleet & Gravesend West
DA11 0AN,Yes,51.444778,0.364663,564427,174406,TQ644744,2/1/1990 12:00:00 AM,,10,43,27,Gravesend,0.4,Gravesend,Southern Water,,Gravesham,Town,Northfleet & Gravesend West
DA11 0AP,Yes,51.444278,0.369774,564784,174362,TQ647743,7/1/2006 12:00:00 AM,,11,23,16,Gravesend,0.4,Gravesend,Southern Water,,Gravesham,Town,Gravesend East
DA11 0AQ,Yes,51.442201,0.363061,564325,174116,TQ643741,3/1/2004 12:00:00 AM,,20,23,10,Gravesend,0.3,Gravesend,Southern Water,,Gravesham,Pelham,Northfleet & Gravesend West
DA11 0AR,Yes,51.442266,0.367871,564659,174134,TQ646741,1/1/1980 12:00:00 AM,,21,,,Gravesend,0.1,Gravesend,Thames Water,Southern Water,Gravesham,Town,Northfleet & Gravesend West
DA11 0AS,Yes,51.442343,0.368537,564705,174144,TQ647741,1/1/1980 12:00:00 AM,,21,,,Gravesend,0.2,Gravesend,Southern Water,,Gravesham,Town,Northfleet & Gravesend West
DA11 0AT,No,51.442154,0.364512,564426,174114,TQ644741,1/1/1995 12:00:00 AM,2/1/2024 12:00:00 AM,20,,,Gravesend,0.2,Gravesend,Southern Water,,Gravesham,Pelham,Northfleet & Gravesend West
DA11 0AU,Yes,51.441780,0.367917,564664,174080,TQ646740,1/1/1980 12:00:00 AM,,20,,,Gravesend,0.1,Gravesend,Southern Water,,Gravesham,Town,Northfleet & Gravesend West
DA11 0AW,Yes,51.442039,0.363067,564326,174098,TQ643740,3/1/2004 12:00:00 AM,,20,22,10,Gravesend,0.3,Gravesend,Southern Water,,Gravesham,Pelham,Northfleet & Gravesend West
DA11 0AX,Yes,51.438092,0.362604,564308,173658,TQ643736,12/1/2008 12:00:00 AM,,24,22,11,Gravesend,0.5,Gravesend,Southern Water,,Gravesham,Pelham,Northfleet & Gravesend West
DA11 0AY,Yes,51.443130,0.369240,564751,174233,TQ647742,1/1/1980 12:00:00 AM,,19,8,4,Gravesend,0.3,Gravesend,Southern Water,,Gravesham,Town,Northfleet & Gravesend West
