Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
DN31 1AA,Yes,53.565809,-0.084143,526981,409395,TA269093,12/1/1996 12:00:00 AM,,8,,,Grimsby Town,0.3,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1AB,Yes,53.565721,-0.085989,526859,409382,TA268093,7/1/2015 12:00:00 AM,,11,,,Grimsby Town,0.3,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1AE,Yes,53.568817,-0.088417,526689,409722,TA266097,4/1/2012 12:00:00 AM,,2,,,Grimsby Town,0.6,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1AF,Yes,53.565641,-0.080608,527216,409383,TA272093,2/1/2021 12:00:00 AM,,4,,,Grimsby Town,0.5,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1AZ,No,53.572173,-0.077376,527410,410115,TA274101,3/1/2009 12:00:00 AM,5/1/2010 12:00:00 AM,2,,,Grimsby Docks,0.3,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1BA,Yes,53.565788,-0.082845,527067,409395,TA270093,1/1/1980 12:00:00 AM,,6,5,2,Grimsby Town,0.4,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1BB,No,53.564951,-0.083895,527000,409300,TA269093,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,6,,,Grimsby Town,0.3,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1BD,No,53.570169,-0.081907,527116,409884,TA271098,1/1/1980 12:00:00 AM,11/1/2011 12:00:00 AM,5,,,Grimsby Docks,0.6,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1BE,No,53.570169,-0.081907,527116,409884,TA271098,6/1/2003 12:00:00 AM,10/1/2011 12:00:00 AM,5,,,Grimsby Docks,0.6,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1BF,No,53.564951,-0.083895,527000,409300,TA269093,12/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,6,,,Grimsby Town,0.3,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1BG,Yes,53.565627,-0.083487,527025,409376,TA270093,1/1/1980 12:00:00 AM,,7,,,Grimsby Town,0.3,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1BH,No,53.565519,-0.084035,526989,409363,TA269093,1/1/1980 12:00:00 AM,4/1/2003 12:00:00 AM,8,,,Grimsby Town,0.3,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1BJ,Yes,53.572363,-0.080282,527217,410131,TA272101,1/1/1980 12:00:00 AM,,3,,,Grimsby Docks,0.4,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1BL,Yes,53.565508,-0.084615,526951,409361,TA269093,1/1/1980 12:00:00 AM,,9,6,2,Grimsby Town,0.3,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1BN,No,53.564641,-0.087578,526757,409259,TA267092,1/1/1980 12:00:00 AM,5/1/2016 12:00:00 AM,11,,,Grimsby Town,0.1,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1BP,No,53.565270,-0.084771,526941,409334,TA269093,1/1/1992 12:00:00 AM,7/1/2004 12:00:00 AM,9,,,Grimsby Town,0.3,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1BQ,No,53.564951,-0.083895,527000,409300,TA269093,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,6,,,Grimsby Town,0.3,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1BW,No,53.565888,-0.084638,526948,409403,TA269094,1/1/1980 12:00:00 AM,6/1/2009 12:00:00 AM,10,,,Grimsby Town,0.3,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1DA,Yes,53.565607,-0.085602,526885,409370,TA268093,1/1/1980 12:00:00 AM,,11,,,Grimsby Town,0.3,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1DB,Yes,53.566161,-0.082557,527085,409437,TA270094,2/1/1990 12:00:00 AM,,5,,,Grimsby Town,0.4,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1DD,Yes,53.566161,-0.082557,527085,409437,TA270094,6/1/1996 12:00:00 AM,,5,,,Grimsby Town,0.4,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1DE,No,53.572173,-0.077376,527410,410115,TA274101,8/1/2004 12:00:00 AM,11/1/2009 12:00:00 AM,2,,,Grimsby Docks,0.3,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1DF,No,53.565286,-0.088002,526727,409330,TA267093,9/1/1991 12:00:00 AM,11/1/2016 12:00:00 AM,12,,,Grimsby Town,0.2,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1DG,Yes,53.565117,-0.086409,526833,409314,TA268093,1/1/1980 12:00:00 AM,,10,,,Grimsby Town,0.2,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1DH,No,53.564125,-0.088462,526700,409200,TA267092,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,10,,,Grimsby Town,0.1,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1DJ,No,53.570841,-0.080669,527196,409961,TA271099,1/1/1993 12:00:00 AM,5/1/2003 12:00:00 AM,4,,,Grimsby Docks,0.5,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1DL,Yes,53.565428,-0.086355,526836,409349,TA268093,1/1/1980 12:00:00 AM,,10,,,Grimsby Town,0.2,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1DP,Yes,53.564910,-0.087566,526757,409289,TA267092,1/1/1980 12:00:00 AM,,11,,,Grimsby Town,0.2,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1DQ,No,53.565023,-0.088422,526700,409300,TA266093,1/1/1993 12:00:00 AM,1/1/1995 12:00:00 AM,12,,,Grimsby Town,0.2,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1DR,No,53.565023,-0.088422,526700,409300,TA266093,1/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,12,,,Grimsby Town,0.2,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1DT,Yes,53.564473,-0.087737,526747,409240,TA267092,1/1/1980 12:00:00 AM,,11,,,Grimsby Town,0.1,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1DW,No,53.565429,-0.087362,526769,409347,TA267093,1/1/1980 12:00:00 AM,10/1/2020 12:00:00 AM,11,,,Grimsby Town,0.2,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1DX,No,53.564125,-0.088462,526700,409200,TA267092,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,10,,,Grimsby Town,0.1,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1DY,No,53.564149,-0.089971,526600,409200,TA266092,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,8,,,Grimsby Town,0.2,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1DZ,No,53.565927,-0.081978,527124,409412,TA271094,1/1/1980 12:00:00 AM,3/1/2017 12:00:00 AM,4,,,Grimsby Town,0.4,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1EA,No,53.565873,-0.081966,527125,409406,TA271094,1/1/1980 12:00:00 AM,12/1/1997 12:00:00 AM,4,,,Grimsby Town,0.4,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1EB,Yes,53.564669,-0.088770,526678,409260,TA266092,1/1/1980 12:00:00 AM,,11,,,Grimsby Town,0.2,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1ED,Yes,53.565961,-0.086513,526824,409408,TA268094,1/1/1980 12:00:00 AM,,10,,,Grimsby Town,0.3,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1EE,Yes,53.564983,-0.088741,526679,409295,TA266092,9/1/1991 12:00:00 AM,,10,,,Grimsby Town,0.2,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1EF,No,53.565873,-0.085363,526900,409400,TA269093,4/1/1987 12:00:00 AM,1/1/1995 12:00:00 AM,12,,,Grimsby Town,0.3,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1EG,No,53.564262,-0.088064,526726,409216,TA267092,1/1/1980 12:00:00 AM,6/1/2000 12:00:00 AM,10,,,Grimsby Town,0.1,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1EH,No,53.564125,-0.088462,526700,409200,TA267092,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,10,,,Grimsby Town,0.1,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1EJ,No,53.565738,-0.085928,526863,409384,TA268093,1/1/1980 12:00:00 AM,7/1/2006 12:00:00 AM,11,,,Grimsby Town,0.3,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1EL,Yes,53.566059,-0.086850,526801,409418,TA268094,1/1/1980 12:00:00 AM,,10,,,Grimsby Town,0.3,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1EN,No,53.565897,-0.086872,526800,409400,TA268093,1/1/1980 12:00:00 AM,6/1/1997 12:00:00 AM,11,,,Grimsby Town,0.3,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1EP,Yes,53.564292,-0.090106,526591,409216,TA265092,1/1/1980 12:00:00 AM,,8,5,4,Grimsby Town,0.2,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1EQ,No,53.565898,-0.088020,526724,409398,TA267093,1/1/1980 12:00:00 AM,6/1/1999 12:00:00 AM,11,,,Grimsby Town,0.3,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1ER,No,53.564975,-0.085404,526900,409300,TA268093,4/1/1986 12:00:00 AM,7/1/1995 12:00:00 AM,8,,,Grimsby Town,0.2,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1ES,No,53.564669,-0.088770,526678,409260,TA266092,1/1/1980 12:00:00 AM,6/1/2022 12:00:00 AM,11,,,Grimsby Town,0.2,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1ET,No,53.572173,-0.077376,527410,410115,TA274101,12/1/2001 12:00:00 AM,8/1/2010 12:00:00 AM,2,,,Grimsby Docks,0.3,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1EU,No,53.564709,-0.087923,526734,409266,TA267092,1/1/1980 12:00:00 AM,5/1/2015 12:00:00 AM,11,,,Grimsby Town,0.2,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1EW,Yes,53.564492,-0.088370,526705,409241,TA267092,1/1/1980 12:00:00 AM,,11,,,Grimsby Town,0.1,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1EX,No,53.564076,-0.085445,526900,409200,TA268091,1/1/1980 12:00:00 AM,12/1/1984 12:00:00 AM,6,,,Grimsby Town,0.1,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1EY,Yes,53.564723,-0.084857,526937,409273,TA269092,1/1/1980 12:00:00 AM,,6,1,1,Grimsby Town,0.2,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1EZ,No,53.564636,-0.088953,526666,409256,TA266092,5/1/1994 12:00:00 AM,7/1/1997 12:00:00 AM,10,,,Grimsby Town,0.2,Grimsby,,,North East Lincolnshire,West Marsh,
DN31 1FB,Yes,53.566397,-0.082712,527074,409463,TA270094,6/1/2002 12:00:00 AM,,4,2,1,Grimsby Town,0.4,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1FQ,Yes,53.572682,-0.092925,526379,410144,TA263101,1/1/1995 12:00:00 AM,,3,,,Grimsby Town,1.1,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1GA,Yes,53.565441,-0.084794,526939,409353,TA269093,6/1/1998 12:00:00 AM,,9,,,Grimsby Town,0.3,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1GB,Yes,53.571507,-0.079581,527266,410037,TA272100,12/1/1999 12:00:00 AM,,3,,,Grimsby Docks,0.4,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
DN31 1HA,Yes,53.564764,-0.084568,526956,409278,TA269092,1/1/1980 12:00:00 AM,,6,,,Grimsby Town,0.2,Grimsby,Anglian Water,,North East Lincolnshire,West Marsh,
