Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
CM17 0AA,Yes,51.783171,0.132258,547180,211540,TL471115,1/1/1980 12:00:00 AM,,64,4,2,Harlow Mill,0.8,Harlow,Affinity Water,Thames Water,Harlow,Old Harlow,Harlow North
CM17 0AB,Yes,51.783058,0.131021,547095,211525,TL470115,1/1/1980 12:00:00 AM,,64,7,4,Harlow Mill,0.8,Harlow,Affinity Water,Thames Water,Harlow,Old Harlow,Harlow North
CM17 0AD,Yes,51.782803,0.131734,547145,211498,TL471114,1/1/1980 12:00:00 AM,,65,73,36,Harlow Mill,0.8,Harlow,Affinity Water,Thames Water,Harlow,Old Harlow,Harlow North
CM17 0AE,Yes,51.783027,0.128801,546942,211517,TL469115,1/1/1980 12:00:00 AM,,61,68,29,Harlow Mill,0.9,Harlow,Affinity Water,Thames Water,Harlow,Old Harlow,Harlow North
CM17 0AF,Yes,51.783310,0.129377,546981,211550,TL469115,1/1/1980 12:00:00 AM,,62,17,6,Harlow Mill,0.8,Harlow,Affinity Water,Thames Water,Harlow,Old Harlow,Harlow North
CM17 0AG,Yes,51.784173,0.129058,546956,211645,TL469116,1/1/1980 12:00:00 AM,,60,123,44,Harlow Mill,0.7,Harlow,Affinity Water,Thames Water,Harlow,Old Harlow,Harlow North
CM17 0AH,Yes,51.783539,0.131797,547147,211580,TL471115,1/1/1980 12:00:00 AM,,63,18,11,Harlow Mill,0.8,Harlow,Affinity Water,Thames Water,Harlow,Old Harlow,Harlow North
CM17 0AJ,Yes,51.783630,0.131089,547098,211589,TL470115,1/1/1980 12:00:00 AM,,63,6,1,Harlow Mill,0.8,Harlow,Affinity Water,Thames Water,Harlow,Old Harlow,Harlow North
CM17 0AL,Yes,51.783743,0.130458,547054,211600,TL470116,1/1/1980 12:00:00 AM,,63,5,3,Harlow Mill,0.7,Harlow,Affinity Water,Thames Water,Harlow,Old Harlow,Harlow North
CM17 0AN,Yes,51.783364,0.132499,547196,211562,TL471115,1/1/1980 12:00:00 AM,,63,2,2,Harlow Mill,0.8,Harlow,Affinity Water,Thames Water,Harlow,Old Harlow,Harlow North
CM17 0AP,Yes,51.784045,0.133140,547238,211639,TL472116,1/1/1980 12:00:00 AM,,61,5,3,Harlow Mill,0.7,Harlow,Affinity Water,Thames Water,Harlow,Old Harlow,Harlow North
CM17 0AQ,Yes,51.783332,0.130294,547044,211554,TL470115,1/1/1980 12:00:00 AM,,63,20,11,Harlow Mill,0.8,Harlow,Affinity Water,Thames Water,Harlow,Old Harlow,Harlow North
