Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Water Company,Sewage Company,District,Ward,County Electoral Division
HA3 0HA,No,51.582386,-0.317104,516700,188400,TQ166883,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,54,,,Kenton,0.1,Harrow,,,Harrow,Kenton West,
HA3 5EF,No,51.601589,-0.339497,515100,190500,TQ151905,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,69,,,Harrow and Wealdstone,1.1,Harrow,,,Harrow,Harrow Weald,
HA3 5EG,Yes,51.602897,-0.339190,515118,190646,TQ151906,6/1/1998 12:00:00 AM,,72,42,2,Harrow and Wealdstone,1.2,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5EH,No,51.603407,-0.340875,515000,190700,TQ149907,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,72,,,Headstone Lane,1.1,Harrow,,,Harrow,Harrow Weald,
HA3 5EL,Yes,51.603285,-0.339291,515110,190689,TQ151906,1/1/1980 12:00:00 AM,,73,28,8,Headstone Lane,1.2,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5EN,No,51.602487,-0.339464,515100,190600,TQ151905,8/1/1993 12:00:00 AM,1/1/1995 12:00:00 AM,72,,,Harrow and Wealdstone,1.2,Harrow,,,Harrow,Harrow Weald,
HA3 5EP,No,51.603366,-0.337988,515200,190700,TQ152907,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,72,,,Harrow and Wealdstone,1.2,Harrow,,,Harrow,Harrow Weald,
HA3 5EQ,Yes,51.603949,-0.339801,515073,190762,TQ150907,1/1/1980 12:00:00 AM,,73,53,15,Headstone Lane,1.2,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5ER,No,51.604241,-0.340079,515053,190794,TQ150907,6/1/1998 12:00:00 AM,11/1/2015 12:00:00 AM,73,,,Headstone Lane,1.2,Harrow,,,Harrow,Harrow Weald,
HA3 5ES,Yes,51.603502,-0.339962,515063,190712,TQ150907,1/1/1980 12:00:00 AM,,73,25,11,Headstone Lane,1.2,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5EU,Yes,51.602771,-0.340465,515030,190630,TQ150906,1/1/1980 12:00:00 AM,,73,48,22,Headstone Lane,1.1,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5EX,Yes,51.602548,-0.341874,514933,190603,TQ149906,1/1/1980 12:00:00 AM,,72,68,26,Headstone Lane,1.0,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5EY,Yes,51.601619,-0.344203,514774,190496,TQ147904,1/1/1980 12:00:00 AM,,67,64,20,Headstone Lane,0.9,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5EZ,Yes,51.600927,-0.345939,514656,190416,TQ146904,1/1/1980 12:00:00 AM,,64,58,19,Headstone Lane,0.8,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5HA,Yes,51.600750,-0.347585,514542,190394,TQ145903,1/1/1980 12:00:00 AM,,64,38,13,Headstone Lane,0.7,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5HB,Yes,51.600517,-0.347045,514580,190369,TQ145903,1/1/1980 12:00:00 AM,,63,71,20,Headstone Lane,0.7,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5HD,Yes,51.601077,-0.344685,514742,190435,TQ147904,1/1/1980 12:00:00 AM,,66,95,33,Headstone Lane,0.9,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5HE,Yes,51.602034,-0.342187,514913,190545,TQ149905,1/1/1980 12:00:00 AM,,71,19,6,Headstone Lane,1.0,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5HF,Yes,51.601872,-0.340469,515032,190530,TQ150905,1/1/1980 12:00:00 AM,,71,75,30,Harrow and Wealdstone,1.1,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5HG,Yes,51.601633,-0.339452,515103,190505,TQ151905,1/1/1980 12:00:00 AM,,69,21,6,Harrow and Wealdstone,1.1,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5HH,Yes,51.601209,-0.341908,514934,190454,TQ149904,1/1/1980 12:00:00 AM,,70,144,54,Headstone Lane,1.0,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5HQ,Yes,51.601838,-0.341206,514981,190525,TQ149905,1/1/1980 12:00:00 AM,,71,73,29,Headstone Lane,1.1,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5JH,Yes,51.602654,-0.352584,514191,190598,TQ141905,1/1/1980 12:00:00 AM,,61,87,24,Headstone Lane,0.3,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5JJ,Yes,51.602724,-0.351816,514244,190607,TQ142906,1/1/1980 12:00:00 AM,,63,86,24,Headstone Lane,0.4,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5JL,Yes,51.604102,-0.342395,514893,190775,TQ148907,1/1/1980 12:00:00 AM,,69,111,33,Headstone Lane,1.0,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5JN,Yes,51.603582,-0.343078,514847,190716,TQ148907,1/1/1980 12:00:00 AM,,68,60,19,Headstone Lane,1.0,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5JP,Yes,51.603476,-0.341955,514925,190706,TQ149907,1/1/1980 12:00:00 AM,,70,107,43,Headstone Lane,1.0,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5JR,Yes,51.602903,-0.342164,514912,190642,TQ149906,1/1/1980 12:00:00 AM,,71,92,30,Headstone Lane,1.0,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5JS,Yes,51.601931,-0.344611,514745,190530,TQ147905,1/1/1980 12:00:00 AM,,66,59,18,Headstone Lane,0.9,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5JT,Yes,51.602064,-0.345126,514709,190544,TQ147905,1/1/1980 12:00:00 AM,,65,70,25,Headstone Lane,0.8,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5JU,Yes,51.602970,-0.344977,514717,190645,TQ147906,1/1/1980 12:00:00 AM,,67,76,32,Headstone Lane,0.8,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5JW,Yes,51.603400,-0.344254,514766,190694,TQ147906,1/1/1980 12:00:00 AM,,68,58,21,Headstone Lane,0.9,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5JX,Yes,51.603551,-0.345346,514690,190709,TQ146907,1/1/1980 12:00:00 AM,,68,89,25,Headstone Lane,0.8,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5JY,Yes,51.603945,-0.346502,514609,190751,TQ146907,1/1/1980 12:00:00 AM,,73,99,32,Headstone Lane,0.7,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5JZ,Yes,51.603839,-0.349191,514423,190735,TQ144907,1/1/1980 12:00:00 AM,,72,60,20,Headstone Lane,0.6,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5LA,Yes,51.604181,-0.349280,514416,190773,TQ144907,1/1/1980 12:00:00 AM,,73,29,12,Headstone Lane,0.6,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5LB,Yes,51.604236,-0.348036,514502,190781,TQ145907,1/1/1980 12:00:00 AM,,74,46,12,Headstone Lane,0.6,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5LD,Yes,51.604328,-0.346257,514625,190794,TQ146907,1/1/1980 12:00:00 AM,,74,52,19,Headstone Lane,0.8,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5LE,Yes,51.604471,-0.343002,514850,190815,TQ148908,1/1/1980 12:00:00 AM,,70,121,45,Headstone Lane,1.0,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5LF,Yes,51.603823,-0.340427,515030,190747,TQ150907,1/1/1980 12:00:00 AM,,72,13,11,Headstone Lane,1.1,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5LG,Yes,51.603790,-0.342565,514882,190740,TQ148907,2/1/1990 12:00:00 AM,,69,30,9,Headstone Lane,1.0,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5LY,Yes,51.600650,-0.350736,514324,190378,TQ143903,1/1/1980 12:00:00 AM,,64,44,16,Headstone Lane,0.5,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5LZ,Yes,51.602047,-0.352881,514172,190530,TQ141905,1/1/1980 12:00:00 AM,,60,74,21,Headstone Lane,0.3,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NA,Yes,51.602459,-0.354035,514091,190574,TQ140905,1/1/1980 12:00:00 AM,,61,115,45,Headstone Lane,0.2,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NB,Yes,51.603056,-0.354952,514026,190639,TQ140906,1/1/1980 12:00:00 AM,,62,82,30,Headstone Lane,0.1,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5ND,Yes,51.601343,-0.350798,514318,190455,TQ143904,1/1/1980 12:00:00 AM,,63,27,9,Headstone Lane,0.4,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NE,Yes,51.600841,-0.350224,514359,190400,TQ143904,1/1/1980 12:00:00 AM,,65,37,16,Headstone Lane,0.5,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NF,Yes,51.601575,-0.350010,514372,190482,TQ143904,1/1/1980 12:00:00 AM,,66,106,35,Headstone Lane,0.5,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NG,Yes,51.602071,-0.350757,514319,190536,TQ143905,1/1/1980 12:00:00 AM,,64,39,11,Headstone Lane,0.4,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NH,Yes,51.603458,-0.350923,514304,190690,TQ143906,1/1/1980 12:00:00 AM,,66,24,8,Headstone Lane,0.4,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NJ,Yes,51.603229,-0.350404,514341,190665,TQ143906,1/1/1980 12:00:00 AM,,68,46,14,Headstone Lane,0.5,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NL,Yes,51.603178,-0.351482,514266,190658,TQ142906,1/1/1980 12:00:00 AM,,65,41,16,Headstone Lane,0.4,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NN,Yes,51.603088,-0.355933,513958,190641,TQ139906,7/1/1990 12:00:00 AM,,63,26,20,Headstone Lane,0.1,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NP,Yes,51.602157,-0.353700,514115,190541,TQ141905,1/1/1980 12:00:00 AM,,60,25,16,Headstone Lane,0.2,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NQ,Yes,51.602628,-0.351343,514277,190597,TQ142905,1/1/1980 12:00:00 AM,,64,48,14,Headstone Lane,0.4,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NR,Yes,51.601355,-0.352256,514217,190454,TQ142904,1/1/1980 12:00:00 AM,,61,42,9,Headstone Lane,0.3,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NS,Yes,51.602516,-0.355550,513986,190578,TQ139905,1/1/1980 12:00:00 AM,,61,151,34,Headstone Lane,0.1,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NT,Yes,51.601387,-0.353266,514147,190456,TQ141904,1/1/1980 12:00:00 AM,,60,136,41,Headstone Lane,0.3,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5NW,Yes,51.602497,-0.354633,514050,190577,TQ140905,1/1/1980 12:00:00 AM,,61,14,8,Headstone Lane,0.2,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5PR,Yes,51.602249,-0.348729,514459,190559,TQ144905,1/1/1980 12:00:00 AM,,67,126,49,Headstone Lane,0.6,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5PS,Yes,51.602030,-0.349127,514432,190534,TQ144905,1/1/1980 12:00:00 AM,,67,152,55,Headstone Lane,0.5,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5PT,Yes,51.602399,-0.347843,514520,190577,TQ145905,1/1/1980 12:00:00 AM,,67,122,44,Headstone Lane,0.6,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5PU,Yes,51.601218,-0.346766,514598,190447,TQ145904,1/1/1980 12:00:00 AM,,63,27,8,Headstone Lane,0.7,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5PX,Yes,51.602428,-0.347351,514554,190581,TQ145905,1/1/1980 12:00:00 AM,,67,56,20,Headstone Lane,0.7,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
HA3 5PY,Yes,51.603396,-0.347807,514520,190688,TQ145906,1/1/1980 12:00:00 AM,,71,26,7,Headstone Lane,0.6,Harrow,Affinity Water,Thames Water,Harrow,Harrow Weald,
